Protein,114.1,115.1,116.1,117.1,114.2,115.2,116.2,117.2,TAIR8
AT1G07810,0.275,0.276,0.241,0.209,0.350667,0.238667,0.202667,0.208,ER
AT1G08470,0.242,0.301,0.230333,0.226667,0.367,0.2295,0.202,0.201,ER
AT1G11680,0.2862,0.328933,0.198333,0.186667,0.408444,0.245111,0.185778,0.160444,ER
AT1G18260,0.2892,0.3222,0.2147,0.1739,0.4102,0.249,0.1932,0.1476,ER
AT1G18700,0.2754,0.332,0.2078,0.1848,0.3895,0.2365,0.2044,0.1694,ER
AT1G19370,0.24,0.296667,0.223333,0.24,0.423667,0.230333,0.174,0.171667,ER
AT1G20330,0.237417,0.310417,0.2435,0.208583,0.361375,0.2545,0.200125,0.183625,ER
AT1G21750,0.332,0.279667,0.222,0.166,0.4515,0.200375,0.17725,0.171125,ER
AT1G27980,0.31875,0.2965,0.214,0.1705,0.454333,0.224,0.184667,0.136667,ER
AT1G32210,0.2435,0.3015,0.2415,0.2135,0.316,0.266,0.224,0.194,ER
AT1G34130,0.268625,0.311625,0.2185,0.20125,0.395111,0.238222,0.188333,0.178,ER
AT1G35620,0.296,0.316538,0.209231,0.178308,0.421167,0.244,0.1815,0.153333,ER
AT1G44170,0.31725,0.29375,0.201375,0.18775,0.401667,0.233167,0.184833,0.18,ER
AT1G51760,0.39725,0.2465,0.16825,0.18825,0.45975,0.2145,0.18325,0.14225,ER
AT1G52600,0.266286,0.278429,0.233857,0.221429,0.389,0.239,0.202,0.169333,ER
AT1G54990,0.262267,0.302,0.2276,0.207867,0.372357,0.260071,0.196143,0.1715,ER
AT1G56340,0.336733,0.303267,0.201133,0.1588,0.487167,0.201833,0.165333,0.145333,ER
AT1G61790,0.3063,0.3127,0.2155,0.1656,0.3695,0.222333,0.204167,0.204667,ER
AT1G64090,0.303917,0.322083,0.222333,0.151667,0.42425,0.26875,0.17275,0.1345,ER
AT1G64950,0.252,0.283,0.2185,0.246,0.33975,0.25175,0.2055,0.2035,ER
AT1G65270,0.2614,0.2938,0.2336,0.2112,0.438,0.227833,0.197167,0.137167,ER
AT1G65820,0.275071,0.308143,0.215714,0.200857,0.382833,0.251667,0.183667,0.181833,ER
AT1G67490,0.2454,0.3168,0.242,0.1956,0.365444,0.230556,0.205,0.198889,ER
AT1G67730,0.271923,0.278808,0.227731,0.221731,0.332,0.259692,0.204923,0.203538,ER
AT1G70770,0.230273,0.299614,0.231864,0.2385,0.356483,0.230586,0.213379,0.199517,ER
AT1G71220,0.342667,0.290667,0.199417,0.167333,0.45808,0.22176,0.1702,0.14996,ER
AT1G71780,0.28,0.313667,0.227333,0.178667,0.416667,0.251667,0.188333,0.143667,ER
