Protein.ID,Sum.of.peptides.used.for.identification.across.all.four.LOPIT.experiments,LOPIT1_Protein.mascot.score,LOPIT1_No.of.distinct.peptides.identified,LOPIT1A_No.Of.MSMS.spectra.quantified,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_No.Of.MSMS.spectra.quantified,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2_Protein.mascot.score,LOPI2_No.of.distinct.peptides.identified,LOPIT2A_No.Of.MSMS.spectra.quantified,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_No.Of.MSMS.spectra.quantified,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3_Protein.mascot.score,LOPI3_No.of.distinct.peptides.identified,LOPIT3A_No.Of.MSMS.spectra.quantified,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_No.Of.MSMS.spectra.quantified,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4_Protein.mascot.score,LOPIT4_No.of.distinct.peptides.identified,LOPIT4A_No.Of.MSMS.spectra.quantified,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_No.Of.MSMS.spectra.quantified,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT3G48930,12,152.44,3,3,0.25825,0.2275,0.20875,0.3055,1,0.22,0.285,0.259,0.236,151.11,3,0,NA,NA,NA,NA,4,0.17575,0.122,0.18375,0.51825,120.4,2,6,0.3428333333,0.1748333333,0.1911666667,0.2911666667,4,0.1575,0.2636666667,0.2693333333,0.31,203.16,4,8,0.2402,0.2064,0.2434,0.3099,11,0.3546923077,0.1514615385,0.2336923077,0.26
AT1G67560,12,85.81,2,1,0.194,0.266,0.23,0.31,1,0.317,0.16,0.218,0.305,163.13,3,1,0.118,0.191,0.289,0.402,0,NA,NA,NA,NA,118.55,3,5,0.2038,0.2322,0.2562,0.3076,4,0.1445,0.2735,0.27575,0.30625,158.75,4,11,0.1863571429,0.2302857143,0.3015714286,0.2817857143,4,0.1745,0.228,0.29775,0.3
AT4G14070,12,114.25,3,0,NA,NA,NA,NA,5,0.1191111111,0.1702222222,0.3218888889,0.3883333333,276.73,5,4,0.065,0.1338,0.2604,0.5406,3,0.09875,0.15875,0.309,0.4335,76.12,2,3,0.12,0.2015,0.311,0.3675,1,0.068,0.333,0.181,0.418,104.73,2,10,0.1706363636,0.2195454545,0.3024545455,0.307,5,0.1415,0.228,0.3276666667,0.303
AT1G08360,12,117.49,2,0,NA,NA,NA,NA,4,0.3105,0.21325,0.2405,0.236,106.57,2,2,0.173,0.1585,0.2115,0.457,8,0.1805,0.163375,0.2365,0.41975,197.4,4,2,0.3815,0.173,0.2075,0.2385,2,0.1966666667,0.2563333333,0.2786666667,0.2686666667,191.6,4,2,0.307,0.2125,0.231,0.2495,2,0.417,0.1475,0.2155,0.2205
AT5G17980,12,109.85,2,1,0.346,0.306,0.199,0.148,3,0.4,0.2443333333,0.185,0.171,346.63,7,2,0.231,0.3135,0.218,0.2375,7,0.3405714286,0.2952857143,0.2014285714,0.1627142857,58.17,1,2,0.2866666667,0.2953333333,0.2203333333,0.1976666667,1,0.271,0.252,0.267,0.21,104.26,2,5,0.2644,0.2372,0.2448,0.2534,0,NA,NA,NA,NA
AT2G30930,12,132.85,3,3,0.3446666667,0.2086666667,0.2026666667,0.2443333333,2,0.368,0.2015,0.191,0.24,348.2,5,3,0.5603333333,0.1593333333,0.145,0.1353333333,4,0.478,0.1695,0.1785,0.1735,90.45,2,4,0.48975,0.14475,0.15625,0.20925,0,NA,NA,NA,NA,113.88,2,1,0.317,0.248,0.223,0.212,2,0.45,0.1755,0.194,0.1805
AT5G50370,12,206.53,4,0,NA,NA,NA,NA,7,0.09575,0.158375,0.302875,0.442875,118.63,3,3,0.1,0.1673333333,0.3233333333,0.409,2,0.091,0.198,0.313,0.3975,121.04,3,2,0.157,0.174,0.243,0.4265,1,0.109,0.281,0.259,0.351,90.15,2,2,0.1475,0.1845,0.262,0.406,1,0.167,0.155,0.281,0.397
AT5G22880,12,137.78,2,10,0.1317,0.2575,0.2884,0.3224,3,0.153,0.235,0.3136666667,0.2986666667,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,278.31,5,19,0.1280526316,0.2218947368,0.2746842105,0.3754210526,10,0.1193571429,0.2746428571,0.2618571429,0.3442142857,303.2,5,11,0.2046363636,0.1993636364,0.2546363636,0.3411818182,21,0.2301904762,0.1706666667,0.2690952381,0.330047619
AT1G72160,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,91.74,2,1,0.155,0.238,0.293,0.314,4,0.1435,0.226,0.28525,0.34475,153.85,3,8,0.2298,0.2131,0.2397,0.3172,6,0.211,0.2662727273,0.2748181818,0.2475454545,323.27,7,16,0.2322777778,0.239,0.2652777778,0.2635555556,11,0.2115833333,0.2059166667,0.3079166667,0.2745833333
AT1G78380,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,170.46,4,3,0.3846666667,0.1693333333,0.1933333333,0.2526666667,4,0.35725,0.17625,0.1995,0.267,115.55,3,5,0.334,0.1938,0.2142,0.2582,3,0.1583333333,0.2903333333,0.2803333333,0.2703333333,191.41,5,10,0.2447,0.2193,0.2721,0.264,9,0.3925555556,0.1545555556,0.2236666667,0.229
AT5G43100,12,174.54,4,4,0.1868,0.2744,0.2958,0.243,7,0.2432857143,0.3045714286,0.25,0.2021428571,131.36,3,2,0.0806666667,0.2526666667,0.4113333333,0.255,9,0.11,0.279,0.348,0.2632,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,245.51,5,6,0.2127142857,0.2782857143,0.2745714286,0.2341428571,5,0.1761666667,0.243,0.3088333333,0.2725
AT4G23430,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,177.39,4,2,0.1595,0.2495,0.261,0.33,11,0.1522727273,0.2090909091,0.2899090909,0.3488181818,226.62,5,10,0.187,0.2229,0.2663,0.3238,2,0.17,0.2443333333,0.306,0.2796666667,117.65,3,5,0.1962,0.24,0.2648,0.2992,2,0.2045,0.2145,0.2635,0.318
AT5G01590,12,140.29,3,5,0.0746666667,0.1276666667,0.2708333333,0.5266666667,5,0.079,0.1135,0.3436666667,0.464,217.39,5,4,0.0723333333,0.1035,0.2503333333,0.5738333333,3,0.0586666667,0.0796666667,0.2943333333,0.567,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,189.18,4,6,0.155625,0.214,0.323375,0.307,6,0.154,0.2187142857,0.3085714286,0.319
AT3G25290,12,222.18,4,6,0.1553333333,0.2923333333,0.2473333333,0.3051666667,4,0.21625,0.25575,0.2275,0.30025,323.73,6,1,0.101,0.237,0.279,0.383,7,0.163125,0.223625,0.278,0.335375,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,103.81,2,4,0.251,0.2222,0.2636,0.2636,3,0.205,0.2226666667,0.2666666667,0.3056666667
AT3G07140,12,202.49,5,5,0.272,0.3032,0.2156,0.209,7,0.3637142857,0.2561428571,0.1974285714,0.1828571429,222.82,5,2,0.2415,0.343,0.2415,0.174,5,0.2576,0.3304,0.2308,0.1816,83.22,2,2,0.24,0.285,0.27,0.204,3,0.22625,0.2395,0.32175,0.21275,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
AT1G19370,12,235.69,5,3,0.2653333333,0.2976666667,0.1993333333,0.2373333333,2,0.4616666667,0.21,0.1623333333,0.1653333333,271.83,5,5,0.2873333333,0.3506666667,0.22,0.142,6,0.303,0.2917142857,0.2234285714,0.1817142857,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,100.93,2,3,0.3485,0.209,0.22,0.22325,2,0.327,0.2015,0.2295,0.242
AT5G67560,12,179.68,4,2,0.3805,0.1995,0.1915,0.229,2,0.3415,0.21,0.2365,0.2125,266.58,5,2,0.526,0.1775,0.132,0.164,2,0.4585,0.208,0.151,0.1825,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,151.11,3,5,0.2738,0.2056,0.2656,0.2548,7,0.526,0.1294285714,0.175,0.1695714286
AT1G69460,12,111.11,3,3,0.3206666667,0.321,0.1803333333,0.1776666667,3,0.397,0.2276666667,0.1856666667,0.1896666667,142.87,3,0,NA,NA,NA,NA,8,0.27475,0.276625,0.23925,0.209125,121.88,3,6,0.2402857143,0.2812857143,0.2445714286,0.2341428571,0,NA,NA,NA,NA,118.48,3,6,0.2991428571,0.236,0.2318571429,0.233,1,0.244,0.201,0.291,0.264
AT5G26280,12,147.37,3,1,0.198,0.253,0.233,0.316,0,NA,NA,NA,NA,249.81,5,1,0.312,0.192,0.214,0.283,1,0.245,0.184,0.268,0.303,100.92,2,0,NA,NA,NA,NA,1,0.153,0.276,0.288,0.282,79.69,2,5,0.231875,0.199125,0.265,0.303875,1,0.333,0.159,0.248,0.259
AT4G38540,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,82.55,2,0,NA,NA,NA,NA,1,0.144,0.116,0.197,0.542,205.86,5,6,0.2525,0.21375,0.3015,0.2325,5,0.1287142857,0.2651428571,0.3207142857,0.2858571429,215.66,5,11,0.3176363636,0.229,0.2343636364,0.2189090909,8,0.339,0.1925,0.24025,0.228
