Protein.ID,Sum.of.peptides.used.for.identification.across.all.four.LOPIT.experiments,LOPIT1_Protein.mascot.score,LOPIT1_No.of.distinct.peptides.identified,LOPIT1A_No.Of.MSMS.spectra.quantified,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_No.Of.MSMS.spectra.quantified,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2_Protein.mascot.score,LOPI2_No.of.distinct.peptides.identified,LOPIT2A_No.Of.MSMS.spectra.quantified,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_No.Of.MSMS.spectra.quantified,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3_Protein.mascot.score,LOPI3_No.of.distinct.peptides.identified,LOPIT3A_No.Of.MSMS.spectra.quantified,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_No.Of.MSMS.spectra.quantified,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4_Protein.mascot.score,LOPIT4_No.of.distinct.peptides.identified,LOPIT4A_No.Of.MSMS.spectra.quantified,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_No.Of.MSMS.spectra.quantified,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT1G59870,108,1166.27,21,20,0.1854166667,0.2835,0.271125,0.259875,20,0.2403703704,0.2607037037,0.2425185185,0.2562592593,1266.82,24,12,0.1173529412,0.2659411765,0.3118235294,0.305,22,0.1486666667,0.2341333333,0.3094666667,0.3078666667,1596.22,32,27,0.1688387097,0.2393870968,0.2734193548,0.3183548387,20,0.159826087,0.2817826087,0.2853043478,0.2733913043,1534.18,31,50,0.218140625,0.2315625,0.267484375,0.282828125,27,0.1855945946,0.2080540541,0.3048648649,0.3015675676
AT2G18960,108,1068.66,20,14,0.1748571429,0.3042142857,0.2379285714,0.283,9,0.263,0.256,0.2185555556,0.2622222222,1114.63,21,7,0.1461428571,0.2504285714,0.2827142857,0.3207142857,10,0.1623,0.2294,0.2667,0.3416,1741,33,30,0.189375,0.227375,0.25771875,0.32553125,7,0.201,0.2572727273,0.2947272727,0.247,1780.21,34,31,0.21171875,0.2341875,0.28034375,0.27384375,33,0.1794857143,0.2174,0.3047714286,0.2982857143
AT5G28540,107,931.28,18,4,0.24875,0.316,0.23725,0.19775,4,0.4685,0.224,0.172,0.13475,1148.03,21,1,0.342,0.363,0.21,0.084,4,0.3105,0.3285,0.2215,0.1395,1846.93,34,12,0.26775,0.2680833333,0.2526666667,0.21175,10,0.1851666667,0.2545,0.3431111111,0.2173333333,1878.03,34,9,0.3604444444,0.2322222222,0.2013333333,0.2061111111,11,0.3923636364,0.176,0.2102727273,0.2213636364
AT2G47000,106,1084.86,21,16,0.1839130435,0.3134347826,0.2422173913,0.2603478261,32,0.260875,0.2463,0.228125,0.264625,1390.81,25,10,0.1339,0.2453,0.288,0.333,17,0.1595789474,0.2145263158,0.2831578947,0.3428421053,1483.56,29,35,0.1994468085,0.2317234043,0.2567446809,0.312212766,14,0.1875384615,0.2720384615,0.2882692308,0.2522307692,1697.84,31,78,0.2325607477,0.2356168224,0.2701495327,0.2616915888,41,0.1946393443,0.2214098361,0.312704918,0.2711639344
AT4G30190,106,1051.53,18,7,0.1624285714,0.3021428571,0.2645714286,0.271,8,0.262625,0.236875,0.228125,0.27225,1140.88,22,5,0.122,0.2452,0.2942,0.3384,14,0.1574285714,0.2369285714,0.284,0.3215714286,1822.82,35,15,0.1840666667,0.2328666667,0.2610666667,0.3221333333,7,0.18475,0.270125,0.27575,0.268875,1708.71,31,25,0.2202307692,0.2325769231,0.273,0.2740769231,16,0.173375,0.204625,0.318875,0.303
AT5G42020,105,907.51,17,4,0.2925,0.30075,0.216,0.19075,3,0.4226666667,0.2156666667,0.189,0.1733333333,1115.58,20,2,0.2895,0.321,0.2175,0.172,7,0.32,0.3221428571,0.2138571429,0.144,1859.81,34,7,0.2607142857,0.2694285714,0.2542857143,0.2154285714,12,0.19435,0.24985,0.3339,0.2221,1882.13,34,9,0.3065555556,0.2237777778,0.2286666667,0.2411111111,7,0.385,0.1812857143,0.2114285714,0.2224285714
AT4G24190,102,1066.67,18,38,0.354,0.2764,0.21655,0.153175,25,0.4725384615,0.2214230769,0.1559615385,0.1498076923,1161.89,22,19,0.4131052632,0.2984210526,0.1534210526,0.135,34,0.4203846154,0.3017179487,0.1496923077,0.1280512821,2061.25,35,136,0.2605,0.2770639535,0.259005814,0.2034127907,69,0.2071962617,0.2386168224,0.348271028,0.2057476636,1616.88,27,103,0.3763873874,0.2145945946,0.2008378378,0.2081621622,89,0.3893592233,0.1803009709,0.2021747573,0.2281165049
AT4G21150,96,1352.93,23,123,0.2621955307,0.3115530726,0.2302067039,0.1960558659,62,0.3693417722,0.2680126582,0.1929746835,0.1697721519,1114.05,21,29,0.2519210526,0.3381842105,0.2463684211,0.1635526316,50,0.2696764706,0.3290588235,0.2384558824,0.1627941176,1501.56,28,78,0.2171318681,0.2938791209,0.2701428571,0.218967033,53,0.1992947368,0.2600842105,0.3353684211,0.2052631579,1297.89,24,88,0.3591875,0.2154196429,0.2080446429,0.2172589286,65,0.3576987952,0.1934939759,0.2171445783,0.2318192771
AT5G40480,94,1474.03,30,41,0.1887619048,0.3518095238,0.2395,0.2200952381,47,0.2745098039,0.290627451,0.2258235294,0.2092352941,1499.72,29,41,0.1367555556,0.3564,0.2859555556,0.221,52,0.16575,0.3142857143,0.2884464286,0.2315,872.85,20,31,0.1552258065,0.3212258065,0.2906451613,0.2329354839,41,0.2151,0.2450166667,0.3358166667,0.20405,687.77,15,33,0.3705714286,0.2207428571,0.2012571429,0.2074285714,18,0.3588,0.18705,0.2121,0.24195
AT1G78900,91,696.06,13,29,0.5251176471,0.1762156863,0.1476862745,0.1508823529,28,0.5625897436,0.1396923077,0.1345641026,0.1631282051,876.01,16,32,0.5788125,0.1536041667,0.130625,0.1370833333,28,0.5469069767,0.1468604651,0.1506744186,0.1556046512,1844.06,33,188,0.4880506329,0.1493628692,0.1659367089,0.1966624473,62,0.2330992366,0.2529694656,0.2703053435,0.243519084,1746.22,29,179,0.2646332046,0.2283861004,0.2620926641,0.2448223938,189,0.4601844262,0.1569795082,0.2002663934,0.1825737705
AT1G71220,90,866.78,18,14,0.336,0.296375,0.2013125,0.1663125,28,0.4456129032,0.2300645161,0.1716129032,0.1526451613,1134.4,24,22,0.3443043478,0.3187391304,0.1868695652,0.1501304348,27,0.3488387097,0.2968064516,0.1856451613,0.1684193548,1496.56,32,31,0.2251875,0.27884375,0.26684375,0.228875,49,0.1952560976,0.251695122,0.3292317073,0.2238780488,763.2,16,40,0.3515555556,0.2259333333,0.2140666667,0.2085555556,10,0.3421,0.1833,0.2269,0.2477
AT3G62360,86,1088.52,20,27,0.2673103448,0.2941724138,0.2490344828,0.1893793103,34,0.3626052632,0.2577894737,0.2012105263,0.1784736842,1168.63,21,24,0.28596,0.32412,0.23764,0.15224,32,0.2642727273,0.3431515152,0.2335151515,0.158969697,1315.34,27,51,0.2004528302,0.3006037736,0.2761320755,0.222754717,46,0.1748955224,0.2611641791,0.3378507463,0.2261791045,924.63,18,52,0.3610555556,0.2223518519,0.2098888889,0.2068148148,25,0.31004,0.20812,0.23648,0.24552
AT1G02520,85,980.5,17,6,0.1607142857,0.3058571429,0.2357142857,0.2974285714,8,0.27425,0.23875,0.222875,0.263875,1094.94,21,4,0.14,0.26625,0.26925,0.3245,14,0.1598571429,0.2312142857,0.269,0.3399285714,1047.36,21,5,0.2487142857,0.2184285714,0.2454285714,0.2878571429,9,0.1745238095,0.274,0.2804285714,0.271,1442.61,26,25,0.2448484848,0.2396969697,0.2628484848,0.2528181818,17,0.24785,0.2078,0.27765,0.26665
AT1G06950,81,1136.52,20,41,0.0936086957,0.168,0.2867391304,0.4515652174,36,0.0944615385,0.1388717949,0.3325897436,0.4342820513,1550.73,25,12,0.0677857143,0.1037142857,0.2400714286,0.5885714286,20,0.0775909091,0.1162727273,0.3010909091,0.5047272727,975.5,19,27,0.1043666667,0.1537666667,0.2701333333,0.4716666667,26,0.0840425532,0.3092340426,0.1616808511,0.4449787234,944.36,17,39,0.1481777778,0.1892,0.2748666667,0.3878,26,0.1307931034,0.1935172414,0.300137931,0.3754827586
AT1G15210,80,1073.47,20,5,0.1734285714,0.3072857143,0.2408571429,0.2787142857,8,0.2746363636,0.2422727273,0.2230909091,0.2601818182,1139.65,23,6,0.1478181818,0.252,0.3013636364,0.2988181818,10,0.1554615385,0.2473846154,0.2696923077,0.3276153846,968.87,21,2,0.1925,0.2215,0.256,0.33,4,0.1885555556,0.2838888889,0.2664444444,0.2611111111,719.28,16,5,0.2293333333,0.239,0.249,0.2828333333,2,0.187,0.2165,0.3195,0.2775
AT3G11130,72,270.2,6,9,0.2248888889,0.2772222222,0.2378888889,0.2598888889,7,0.2532857143,0.2254285714,0.2318571429,0.2892857143,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1615.79,32,2,0.177,0.205,0.288,0.3305,4,0.212,0.267,0.2961666667,0.225,1727.6,34,10,0.233,0.2322,0.2781,0.2567,1,0.259,0.236,0.307,0.198
AT1G70770,71,976.46,17,49,0.2316981132,0.2958301887,0.2396981132,0.2329622642,36,0.3429230769,0.2437179487,0.2116410256,0.2016666667,1026.27,18,23,0.22044,0.35168,0.25988,0.16808,26,0.2603,0.3445,0.2260666667,0.1692666667,1164.38,22,84,0.2204666667,0.2749238095,0.2666380952,0.2379809524,57,0.1620632911,0.2684303797,0.340556962,0.2289746835,824.03,14,48,0.3679107143,0.2153571429,0.201125,0.2155892857,28,0.3175151515,0.1941818182,0.2253030303,0.263030303
AT3G46740,71,941.28,16,38,0.0984772727,0.1608863636,0.2902727273,0.4504545455,30,0.0862058824,0.1237352941,0.3348823529,0.4550882353,867.57,15,12,0.038,0.0648666667,0.2454,0.6516,15,0.0566111111,0.0916666667,0.3269444444,0.5248888889,1051.97,20,36,0.1150784314,0.1682941176,0.2701568627,0.4465294118,29,0.0744262295,0.3345081967,0.168557377,0.4224918033,1064.4,20,88,0.1341071429,0.2350267857,0.3216428571,0.3093482143,36,0.12738,0.23764,0.3372,0.29782
AT1G21750,71,465.55,9,6,0.2758333333,0.2665,0.2323333333,0.2251666667,9,0.4405555556,0.2097777778,0.1793333333,0.1705555556,490.71,9,9,0.372,0.2715,0.1735,0.1829,6,0.4105,0.3068333333,0.1481666667,0.1346666667,1657.3,31,101,0.249254902,0.2794705882,0.2662058824,0.2051078431,40,0.2019107143,0.2574642857,0.334375,0.2062321429,1236.09,22,64,0.3625846154,0.2127538462,0.2062461538,0.2184769231,47,0.41,0.1756078431,0.1970392157,0.2173137255
ATCG01130,67,1037.61,23,19,0.0773636364,0.136,0.2528181818,0.5335,28,0.0934333333,0.1091333333,0.3134666667,0.4838333333,939.44,21,9,0.0425555556,0.087,0.25,0.6205555556,10,0.0481818182,0.0878181818,0.2904545455,0.5736363636,369.84,8,13,0.0867857143,0.1557142857,0.2665714286,0.491,4,0.077,0.3298,0.1726,0.4202,675.04,15,22,0.1465833333,0.2134583333,0.314,0.326,14,0.1066428571,0.2160714286,0.3562857143,0.3209285714
AT3G08530,67,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1671.5,33,8,0.254625,0.239,0.2475,0.259125,5,0.23125,0.2355,0.304625,0.228875,1754.89,34,6,0.2275,0.2418333333,0.2656666667,0.265,5,0.2254,0.2132,0.291,0.2702
AT5G11560,66,928.29,16,26,0.2887857143,0.2962142857,0.2198214286,0.1952142857,31,0.3673714286,0.2548571429,0.2017428571,0.1762,997.9,19,24,0.2650384615,0.3531923077,0.2324230769,0.1493076923,32,0.3037647059,0.3065882353,0.2215882353,0.1678235294,923.68,18,23,0.2394782609,0.289,0.2656521739,0.2057826087,31,0.1976595745,0.2510212766,0.3380638298,0.2132553191,664.87,13,32,0.34940625,0.22665625,0.21778125,0.20609375,15,0.3770666667,0.1919333333,0.2228666667,0.2078666667
AT5G61790,64,851.32,14,58,0.2868103448,0.3060517241,0.2118448276,0.1951896552,36,0.3845833333,0.2500277778,0.1871944444,0.1783055556,807.42,14,31,0.2524242424,0.3402121212,0.2371515152,0.1703939394,40,0.2848571429,0.3170238095,0.2232380952,0.1749761905,1037.64,20,49,0.2372786885,0.2922786885,0.2699180328,0.200557377,25,0.2131428571,0.2772857143,0.3037714286,0.2056,833.99,16,34,0.3517435897,0.2204358974,0.2127692308,0.2147692308,38,0.3796818182,0.1827727273,0.2132954545,0.2242045455
AT1G51980,64,700.54,14,11,0.1210833333,0.21525,0.3146666667,0.3485833333,9,0.1765,0.2132,0.2679,0.3423,861.44,15,15,0.0376666667,0.1382666667,0.3460666667,0.4780666667,21,0.0569047619,0.186,0.3127619048,0.4442857143,918.2,18,31,0.13009375,0.18278125,0.2395,0.447875,20,0.1165714286,0.3023214286,0.2190357143,0.3620714286,928.84,17,30,0.1652727273,0.1867878788,0.2514242424,0.3966060606,18,0.1659444444,0.1831111111,0.2843333333,0.3666111111
AT1G56340,64,613.28,12,17,0.3197619048,0.296,0.2076666667,0.1765238095,9,0.4330666667,0.2610666667,0.1610666667,0.1446666667,553.28,11,4,0.4038,0.3276,0.149,0.12,5,0.4038,0.3096,0.15,0.137,1063.35,21,43,0.2498688525,0.2827540984,0.2620163934,0.2052622951,18,0.1945789474,0.2712105263,0.3424736842,0.1918684211,1002.68,20,38,0.3875555556,0.2127037037,0.1946666667,0.2051111111,17,0.4102222222,0.1783703704,0.1898518519,0.2217037037
AT2G30490,63,718.8,13,92,0.3437395833,0.2857395833,0.19175,0.1786666667,50,0.4293888889,0.2345,0.1749444444,0.161037037,798.06,15,32,0.3352857143,0.3145428571,0.2010285714,0.1491714286,53,0.332442623,0.2861639344,0.212442623,0.1689344262,1201.27,24,111,0.2690598291,0.2632820513,0.2452820513,0.2224700855,55,0.2201011236,0.2251123596,0.3430786517,0.2115168539,600.63,11,39,0.3208780488,0.2049268293,0.2143170732,0.2598536585,34,0.4218378378,0.1540810811,0.1884864865,0.2355675676
AT1G26850,60,825.67,15,43,0.0949818182,0.2758545455,0.3482181818,0.2809272727,31,0.094255814,0.2986511628,0.3440697674,0.2630465116,752.32,13,13,0.0655909091,0.359,0.3408181818,0.2348636364,29,0.0860731707,0.3477317073,0.3344390244,0.2316097561,855.43,18,44,0.0965740741,0.2536481481,0.3618148148,0.2879074074,24,0.0904791667,0.3444375,0.2411041667,0.3240416667,658.11,14,74,0.1898041237,0.2707525773,0.2954948454,0.2439793814,29,0.1334651163,0.2889069767,0.3019534884,0.2757209302
AT4G39080,60,789.44,14,26,0.4145,0.2063611111,0.1745833333,0.2046944444,15,0.551,0.1449473684,0.1451052632,0.1592631579,1007.33,19,15,0.5341363636,0.1701363636,0.1410454545,0.1546363636,13,0.5147419355,0.1265483871,0.1634193548,0.1953870968,716.15,13,22,0.495,0.1508,0.1633666667,0.1909666667,10,0.2575789474,0.2515789474,0.2592105263,0.2315789474,690.39,14,19,0.2802857143,0.2201904762,0.2564285714,0.2431428571,15,0.5105652174,0.1410869565,0.1793043478,0.1690434783
AT1G77510,58,321.32,6,7,0.3738571429,0.2704285714,0.195,0.1607142857,6,0.5208333333,0.193,0.1565,0.1296666667,424.84,8,4,0.4135,0.26375,0.16125,0.16125,7,0.3401428571,0.2415714286,0.2054285714,0.2125714286,1362.52,27,50,0.3309473684,0.258877193,0.2328421053,0.1773157895,35,0.2310784314,0.237,0.3273921569,0.2045294118,954.39,17,36,0.3720769231,0.2147692308,0.2022307692,0.211,28,0.4609393939,0.160969697,0.1843636364,0.1935757576
AT3G13870,58,905.13,16,23,0.27725,0.3081666667,0.2250416667,0.18975,26,0.3977037037,0.261,0.1791851852,0.1620740741,1040.84,20,15,0.2528823529,0.3464117647,0.2406470588,0.1602941176,29,0.2970333333,0.3091,0.2253333333,0.1685333333,724.74,15,11,0.2240909091,0.2734545455,0.2549090909,0.2474545455,19,0.1982068966,0.2512758621,0.3192068966,0.2312413793,330.53,7,16,0.3357058824,0.2217647059,0.214,0.2282941176,6,0.3533333333,0.1875,0.217,0.2418333333
AT5G60640,57,513.98,9,16,0.3274736842,0.2698947368,0.2174736842,0.1849473684,14,0.5154375,0.1978125,0.150125,0.1365,603.11,11,13,0.4275882353,0.2902941176,0.1478823529,0.1342352941,20,0.432,0.28616,0.14984,0.1322,963.01,17,62,0.2761851852,0.274617284,0.2484567901,0.2007901235,32,0.1947142857,0.2567678571,0.3366964286,0.2118392857,1066,20,63,0.3764459459,0.2192162162,0.2050540541,0.1992162162,76,0.4147727273,0.1796704545,0.2000113636,0.2055227273
AT4G18030,57,493.98,10,17,0.1032105263,0.2455263158,0.3453157895,0.3060526316,19,0.1078,0.26725,0.3409,0.2839,634.71,13,19,0.0622,0.30965,0.3718,0.2563,23,0.0895357143,0.29975,0.3483214286,0.2623571429,661.7,15,32,0.1107428571,0.2339142857,0.3680571429,0.2872285714,24,0.1017837838,0.3448918919,0.229,0.3242972973,881.14,19,71,0.1845066667,0.2725333333,0.2988,0.2440933333,24,0.1327857143,0.2804285714,0.3061785714,0.2806785714
AT1G09210,57,408.64,9,7,0.341,0.27625,0.211125,0.171625,3,0.4545,0.19575,0.1795,0.17025,461.18,10,6,0.387125,0.312125,0.1535,0.14725,5,0.3624,0.3296,0.1608,0.1472,1104.47,22,42,0.2462241379,0.2869827586,0.2541551724,0.2125,14,0.1987391304,0.2675217391,0.3336521739,0.199826087,797.51,16,15,0.3538947368,0.2223157895,0.2109473684,0.2127368421,16,0.4156666667,0.1819166667,0.1934583333,0.209125
AT1G55850,56,642.92,12,50,0.2833064516,0.3008387097,0.2203064516,0.1956612903,29,0.3834,0.2624857143,0.1978571429,0.1561714286,761.95,15,17,0.2637272727,0.3415454545,0.2286363636,0.1663181818,22,0.2863076923,0.3090384615,0.229,0.1756153846,838.27,15,44,0.23258,0.2654,0.25726,0.24486,21,0.2055588235,0.2478529412,0.3420882353,0.2046176471,735.38,14,38,0.36786,0.22204,0.21186,0.19824,15,0.360952381,0.1928095238,0.2253809524,0.2207619048
AT3G08580,55,844.41,14,55,0.1053684211,0.1969122807,0.3018947368,0.3958947368,23,0.13572,0.24888,0.25708,0.35816,735.35,11,23,0.0510833333,0.1578333333,0.3295,0.4615833333,54,0.0522678571,0.1645535714,0.3199821429,0.4631785714,842.2,15,43,0.099875,0.1549583333,0.2315833333,0.5135625,13,0.10652,0.30388,0.22212,0.36748,818.3,15,39,0.1340714286,0.1752380952,0.2598809524,0.4307857143,29,0.1492702703,0.1678918919,0.2816756757,0.4013513514
AT3G07160,55,574.39,10,16,0.1677647059,0.2912352941,0.2742352941,0.2668235294,14,0.2422941176,0.2437647059,0.25,0.2640588235,832.49,17,18,0.1273333333,0.2411904762,0.3051428571,0.3263333333,22,0.1626296296,0.2255555556,0.2948148148,0.3168888889,675.57,15,11,0.1866666667,0.21825,0.2658333333,0.3289166667,13,0.1559130435,0.2859130435,0.2689565217,0.2891304348,661.36,13,24,0.2235384615,0.2219230769,0.2680384615,0.2865384615,13,0.1592941176,0.2168823529,0.3184117647,0.3052352941
AT5G02500,55,569.74,10,2,0.199,0.2145,0.2665,0.32,5,0.2416666667,0.1796666667,0.257,0.3215,677.4,13,0,NA,NA,NA,NA,4,0.1868,0.1572,0.2828,0.3734,991.63,18,4,0.28025,0.218875,0.263375,0.238125,1,0.155,0.255,0.276,0.314,910.46,14,9,0.2065555556,0.2247777778,0.2905555556,0.2781111111,1,0.248,0.267,0.283,0.202
AT2G47470,54,376.48,7,9,0.3391538462,0.2896923077,0.2053846154,0.1654615385,10,0.503,0.2067142857,0.1582857143,0.132,473.17,9,15,0.3601111111,0.3428333333,0.1644444444,0.1327777778,18,0.3513478261,0.3036956522,0.1857391304,0.159173913,1011.03,20,125,0.2539858156,0.2743333333,0.251929078,0.2196737589,50,0.2164761905,0.2463928571,0.3247857143,0.212452381,908.24,18,76,0.3592613636,0.2167045455,0.2063295455,0.2176931818,72,0.4319456522,0.167576087,0.1881195652,0.2123043478
AT3G02090,54,705.45,12,25,0.0916923077,0.1979230769,0.3386153846,0.3718076923,22,0.1092173913,0.1766086957,0.2839565217,0.4303478261,656.74,11,10,0.032,0.1349166667,0.3319166667,0.5011666667,21,0.0390384615,0.1893076923,0.3203846154,0.4510769231,972.52,17,41,0.1234418605,0.1686046512,0.2424186047,0.4655581395,23,0.1105454545,0.2994545455,0.2157575758,0.3742727273,755.03,14,36,0.1562222222,0.1788055556,0.2564166667,0.4086111111,34,0.1768823529,0.1646764706,0.2872941176,0.3711764706
AT5G50920,54,396.16,7,5,0.1238,0.209,0.2366,0.4304,9,0.095,0.1571111111,0.2983333333,0.4494444444,694.67,14,3,0.0796666667,0.1373333333,0.2636666667,0.519,1,0.077,0.117,0.24,0.566,743.66,16,6,0.128125,0.183125,0.275,0.413875,10,0.108125,0.3179375,0.2293125,0.3448125,869.27,17,13,0.1515384615,0.1987692308,0.2990769231,0.3505384615,8,0.161875,0.209875,0.29675,0.3315
AT1G59610,54,445.8,10,1,0.356,0.316,0.198,0.13,3,0.3016666667,0.2146666667,0.247,0.2366666667,747.81,16,4,0.1955,0.2785,0.24525,0.28075,2,0.249,0.236,0.277,0.238,924.69,18,6,0.2755,0.2205,0.2283333333,0.2758333333,6,0.1573,0.2711,0.2822,0.2896,465.62,10,10,0.2259,0.2293,0.2695,0.2753,2,0.269,0.204,0.268,0.2595
AT1G22530,54,182.01,4,4,0.1355,0.291,0.25375,0.32,4,0.21025,0.251,0.1985,0.34025,349.26,8,0,NA,NA,NA,NA,9,0.1261111111,0.2503333333,0.3095555556,0.3136666667,690.26,14,10,0.2034,0.2554,0.2619,0.2792,10,0.2208947368,0.2496842105,0.2926315789,0.2368947368,1503.12,28,58,0.2505967742,0.2361451613,0.2703387097,0.2428709677,39,0.1625952381,0.227047619,0.3351190476,0.2753571429
AT4G38510,53,257.87,5,5,0.592,0.1486,0.1274,0.132,4,0.47775,0.163,0.16025,0.19925,570.34,11,9,0.6267,0.1464,0.1198,0.1073,12,0.5542352941,0.1453529412,0.1457647059,0.1545882353,1083.67,20,54,0.493943662,0.1605352113,0.1587183099,0.1867183099,34,0.236125,0.25303125,0.25328125,0.257484375,920.88,17,71,0.2571772152,0.2353417722,0.2642911392,0.2433037975,56,0.4317638889,0.164375,0.2083194444,0.1956527778
AT5G23890,52,512.32,9,21,0.0911428571,0.1664285714,0.270047619,0.4725238095,23,0.0876956522,0.1367826087,0.3124347826,0.463173913,594.35,12,8,0.03775,0.098,0.212625,0.652125,14,0.093,0.113,0.2675714286,0.5263571429,759.11,16,28,0.0912142857,0.1567142857,0.2751785714,0.4767857143,11,0.0915263158,0.3331052632,0.1631578947,0.4123684211,715.04,15,38,0.1522,0.2082,0.31675,0.32295,21,0.0962380952,0.2249047619,0.3572380952,0.3216190476
AT3G23990,52,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1626.68,32,26,0.0976774194,0.150483871,0.231516129,0.5203870968,13,0.1374090909,0.2990454545,0.2212727273,0.3422272727,1016.42,20,14,0.1307777778,0.1676111111,0.2576666667,0.4437777778,15,0.1757,0.15915,0.2656,0.39955
AT2G14740,51,621.93,12,3,0.1716666667,0.2936666667,0.337,0.198,4,0.2136,0.3468,0.261,0.1782,525.88,11,2,0.1105,0.319,0.374,0.196,2,0.115,0.316,0.369,0.1995,562.67,12,5,0.1414,0.2844,0.3018,0.2722,2,0.11,0.3186666667,0.3046666667,0.266,786.29,16,3,0.175,0.2026666667,0.3106666667,0.3116666667,2,0.1395,0.2755,0.294,0.291
AT3G19820,50,575.33,12,43,0.3806603774,0.2422641509,0.1864150943,0.1906226415,34,0.4736470588,0.1910784314,0.1642352941,0.1710196078,559.05,12,15,0.4642631579,0.2093684211,0.1725263158,0.1537894737,20,0.4024545455,0.2080909091,0.1999545455,0.1894545455,756.93,15,48,0.4341929825,0.1865263158,0.1753157895,0.2040175439,21,0.2783823529,0.2163529412,0.3054411765,0.1998235294,563.73,11,39,0.3259302326,0.2109534884,0.2301860465,0.2330232558,28,0.4646451613,0.1497419355,0.1925483871,0.1931612903
AT1G76400,50,523.87,10,14,0.2634285714,0.296,0.2395714286,0.201,15,0.3497333333,0.2818666667,0.1983333333,0.1702666667,523.71,11,21,0.2547727273,0.3395909091,0.25,0.1555909091,22,0.2748333333,0.3153333333,0.2456666667,0.16425,893.58,19,34,0.20545,0.2913,0.27145,0.231825,26,0.1838979592,0.2586326531,0.3269591837,0.2305510204,527.4,10,25,0.367,0.215375,0.19540625,0.22240625,9,0.3036666667,0.1905555556,0.235,0.2705555556
AT1G10290,50,412.41,9,4,0.1945,0.29775,0.238,0.2695,1,0.289,0.267,0.228,0.217,698.65,14,1,0.134,0.255,0.265,0.346,5,0.1944,0.2352,0.2592,0.3112,935.92,20,5,0.2382,0.2254,0.2644,0.2724,4,0.1802,0.2944,0.2726,0.253,286.77,7,5,0.2346,0.2242,0.267,0.2744,2,0.306,0.184,0.2625,0.248
AT2G14720,50,625.49,13,1,0.187,0.359,0.282,0.172,3,0.2103333333,0.3706666667,0.2666666667,0.1516666667,491.22,10,0,NA,NA,NA,NA,3,0.1406666667,0.333,0.3133333333,0.213,529.71,11,5,0.1348,0.2704,0.312,0.2832,3,0.123,0.305,0.318,0.2543333333,794.27,16,6,0.1678333333,0.1805,0.347,0.3051666667,2,0.131,0.4385,0.2145,0.2155
AT1G15690,49,616.42,9,35,0.4941904762,0.1915238095,0.1421904762,0.1720238095,19,0.5620434783,0.1473913043,0.1350869565,0.1554347826,634.4,10,18,0.475047619,0.1822857143,0.1517619048,0.190952381,25,0.5141470588,0.1471764706,0.1496176471,0.1890588235,826.2,15,84,0.5883838384,0.1284343434,0.1337575758,0.1493636364,22,0.2944878049,0.236804878,0.2409512195,0.2278536585,812.45,15,56,0.2959295775,0.2032957746,0.2588450704,0.2418591549,59,0.492057971,0.1454202899,0.1832753623,0.1793623188
AT3G28510,49,391.79,8,9,0.2663333333,0.2593333333,0.2454444444,0.229,7,0.3527777778,0.2882222222,0.1993333333,0.1594444444,432.11,8,8,0.2726,0.3382,0.2424,0.1471,19,0.31435,0.3462,0.20855,0.1309,1041.05,21,71,0.2907640449,0.2798651685,0.2428764045,0.1865168539,19,0.2112424242,0.2258181818,0.3712121212,0.1918181818,592.44,12,42,0.3749130435,0.2153478261,0.2016956522,0.2079565217,30,0.4125454545,0.1683030303,0.1984848485,0.2207272727
AT3G15950,49,129.19,2,5,0.2762,0.2196,0.24,0.264,4,0.30475,0.17525,0.21875,0.30075,231.67,4,3,0.2833333333,0.215,0.2236666667,0.2776666667,5,0.2696,0.1884,0.2454,0.2964,1276.39,23,38,0.2976976744,0.1947906977,0.2290697674,0.2784651163,20,0.1768666667,0.2783666667,0.2851,0.2598333333,1123.69,20,44,0.268173913,0.220826087,0.2584782609,0.2523478261,40,0.360952381,0.1686190476,0.2377142857,0.2328095238
AT1G66280,49,307.06,7,3,0.3363333333,0.265,0.2073333333,0.1913333333,1,0.413,0.274,0.163,0.15,315.79,6,2,0.281,0.286,0.205,0.228,2,0.313,0.2825,0.1945,0.21,1124.13,20,72,0.2545688073,0.235559633,0.243293578,0.2666330275,11,0.2037,0.2566,0.29925,0.24045,847.73,16,34,0.2989047619,0.2208809524,0.2404285714,0.2398333333,19,0.3612916667,0.1770416667,0.2337916667,0.2277916667
