"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG11793","FBgn0003462","Drosophila melanogaster","P61851","SODC_DROME"
"CG11888","FBgn0028692","Drosophila melanogaster","Q9V3P6","PSMD1_DROME"
"CG11888","FBgn0028692","Drosophila melanogaster","Q9V3P6","PSMD1_DROME"
"CG11901","FBgn0029176","Drosophila melanogaster","Q9NJH0","EF1G_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG12019","FBgn0011573","Drosophila melanogaster","Q24276","CDC37_DROME"
"CG12055","FBgn0001091","Drosophila melanogaster","P07486","G3P1_DROME"
"CG12056","FBgn0030099","Drosophila melanogaster","Q9W376","NEUFC_DROME"
"CG12101","FBgn0015245","Drosophila melanogaster","O02649","CH60_DROME"
"CG12108","FBgn0030057","Drosophila melanogaster","Q9W3C7","PPT1_DROME"
"CG12130","FBgn0033466","Drosophila melanogaster","Q9V5E1","PAL1_DROME"
"CG12157","FBgn0016041","Drosophila melanogaster","Q9U4L6","TO401_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12233","FBgn0027291","Drosophila melanogaster","Q9VWH4","IDH3A_DROME"
"CG12233","FBgn0027291","Drosophila melanogaster","Q9VWH4","IDH3A_DROME"
"CG12262","FBgn0035811","Drosophila melanogaster","Q9VSA3","ACADM_DROME"
"CG12264","FBgn0032393","Drosophila melanogaster","Q9VKD3","NFS1_DROME"
"CG12306","FBgn0003124","Drosophila melanogaster","P52304","POLO_DROME"
"CG12324","FBgn0033555","Drosophila melanogaster","Q7KR04","RS15B_DROME"
