Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
A1BG,1.5673,1.4675,1.1662,1.3625,1.1950,1.1298,1.1830,0.8987,1.1828,0.9034,11
A2M,1.2129,2.1774,1.9884,0.8010,0.7056,0.5582,0.6468,1.2033,0.8630,0.6199,50
A2ML1,0.8568,0.5900,0.9613,0.8307,1.0399,1.2788,2.0958,1.8879,1.1331,1.2085,6
A4GALT,0.3286,0.3847,0.6755,0.8419,1.0066,1.0613,1.5743,1.6250,2.3989,2.1451,2
AAAS,0.5275,0.5615,0.4560,0.5379,1.7685,1.7369,1.6711,1.8526,1.2863,1.3063,35
AACS,5.4886,5.0675,0.9432,1.0269,0.4753,0.4980,0.4937,0.4288,0.3693,0.3888,61
AADAT,0.6154,0.5594,1.0954,0.9665,1.3283,1.4599,1.9840,1.7207,0.7011,0.6782,6
AAED1,0.6868,0.5777,0.5494,0.7855,1.1939,1.2610,1.6441,1.8310,1.4343,1.7307,5
AAGAB,4.6144,4.7095,0.6736,0.6630,0.7291,0.6805,0.5455,0.6297,0.4942,0.6233,17
AAK1,4.1800,3.7628,0.8983,1.1458,0.5811,0.6888,0.7167,0.7772,0.5873,0.6687,27
AAMDC,5.0754,4.8476,0.8176,0.9807,0.4932,0.4729,0.4891,0.3875,0.4770,0.4076,14
AAMP,4.5063,4.3067,1.1981,1.2283,0.5638,0.5332,0.4767,0.4474,0.4303,0.4425,32
AAR2,1.8734,1.6892,1.2203,1.0012,0.8434,0.7808,0.8573,0.7943,1.6910,1.6516,33
AARS,6.1530,5.7048,0.6713,0.7597,0.3960,0.4156,0.3911,0.3771,0.3520,0.3516,380
AARS2,0.5051,0.6019,0.8224,0.6732,1.5206,1.6095,2.2544,1.9761,0.7125,0.7633,90
AARSD1,1.3072,1.2911,2.1752,2.8615,0.4289,0.4492,0.2681,0.0997,0.2746,0.1227,1
AASDHPPT,3.3931,3.1396,1.6478,1.2394,0.6928,0.5709,0.7471,0.7244,0.4901,0.5377,19
AASS,0.7037,0.7275,0.9720,1.2889,1.3193,1.4697,1.9089,1.7532,0.8394,0.7934,2
AATF,0.5532,0.5219,0.4330,0.4695,2.2904,2.3217,1.0905,1.1273,1.4130,1.3051,74
ABAT,0.6925,0.6386,1.1608,0.7970,1.4305,1.6193,1.8778,1.8864,0.5966,0.5605,130
ABCA1,1.2491,1.1018,0.8045,0.6173,1.3573,1.4746,1.7148,1.6501,1.4427,1.5361,3
ABCA12,0.6895,0.6390,0.6472,0.5425,1.0819,1.1917,1.7501,1.5981,2.0143,1.9782,16
ABCA2,0.5211,0.6081,0.4734,0.5386,1.0266,1.0699,1.7689,1.6648,2.1511,1.9407,88
ABCA3,0.6000,0.6396,0.5651,0.6085,0.9780,0.9967,1.5910,1.6408,2.0701,1.8780,60
ABCA5,0.9506,1.0840,0.4903,0.5978,1.1677,1.1825,1.5570,1.4579,2.1641,2.1355,7
ABCA7,1.4052,1.2939,0.9684,1.7244,1.0330,1.1532,1.1971,1.0687,1.2060,1.1235,2
ABCB10,0.4823,0.4117,0.4076,0.4884,1.5957,1.6843,2.3972,2.2976,0.9426,0.9283,29
ABCB4,3.5123,3.0635,1.2197,1.5300,0.6743,0.7566,0.6990,0.6849,0.8967,0.6081,1
ABCB6,0.6052,0.6115,0.3439,0.4702,0.8517,0.9063,1.6991,1.6960,2.3900,2.0804,55
ABCB7,0.5060,0.5680,0.3965,0.5038,1.5266,1.5842,2.3596,1.9711,0.9583,0.8761,29
ABCB8,0.5350,0.5164,0.3862,0.4298,1.6706,1.7152,2.2640,2.2347,0.8941,0.9377,30
ABCB9,0.4031,0.5505,0.2788,0.3689,0.9755,1.0853,1.6323,1.7981,2.4138,2.1029,13
ABCC1,0.4273,0.4364,0.2848,0.3481,1.4967,1.4402,2.3631,2.2031,1.2041,1.2831,136
ABCC10,0.4744,0.4294,0.4209,0.4516,0.9301,1.0186,1.8147,1.7594,2.3899,2.1331,28
ABCC3,0.6038,0.6528,0.5189,0.5451,1.4730,1.3607,2.1610,2.0418,1.2919,1.2194,48
ABCC4,0.5026,0.6505,0.4367,0.4788,1.3747,1.3492,2.2070,2.0649,1.3232,1.4551,40
ABCC5,0.5910,0.6223,0.4371,0.5241,1.3256,1.3555,2.0896,1.8977,1.4543,1.5203,66
ABCD1,0.5737,0.5726,0.6093,0.5845,1.2795,1.3215,2.0055,1.9253,1.2083,1.2494,27
ABCD3,0.5212,0.4696,0.3766,0.3993,1.4144,1.4635,2.1302,2.0690,1.3200,1.4294,99
ABCD4,0.7637,0.7737,0.4859,0.4134,1.2260,1.1340,1.8311,1.7294,1.9889,1.7148,11
ABCE1,4.9389,4.5751,1.0111,1.0011,0.5449,0.5431,0.5162,0.5160,0.4178,0.4232,151
ABCF1,2.3040,2.2006,1.4702,1.6061,0.7461,0.7268,0.6170,0.6444,0.8626,0.9704,262
ABCF2,1.4375,1.5352,1.7241,1.7412,0.8364,0.7732,0.7857,0.7868,0.8147,0.8456,207
ABCF3,5.4031,5.3296,0.6710,0.7209,0.5516,0.5994,0.5685,0.6496,0.4048,0.4816,62
ABCG1,0.8628,0.7996,0.7569,0.7519,1.2343,1.0925,1.7981,1.7407,1.8238,1.3345,4
ABCG2,0.4189,0.3354,0.1632,0.3356,1.1052,1.1793,1.9135,1.8124,2.3660,2.7133,10
ABHD10,0.4792,0.5478,0.9889,0.6615,1.4003,1.5741,2.0653,2.0819,0.7359,0.6947,40
ABHD11,0.7728,0.7745,0.9819,0.8478,1.4534,1.5372,1.9651,1.8377,0.7100,0.6958,41
ABHD12,0.6432,0.5923,0.4647,0.4939,1.3359,1.2880,1.7137,1.9206,1.4552,1.5646,59
ABHD13,0.3456,0.4443,0.3379,0.1982,0.9230,1.0336,2.0495,2.0749,2.0744,2.6886,7
ABHD14B,3.3874,2.8561,1.2756,1.3511,0.8264,0.7344,0.7542,0.6668,0.7498,0.6768,12
ABHD15,0.5632,0.6250,0.5738,0.6318,1.2098,1.2152,1.9022,1.9074,1.4932,1.3001,15
ABHD16A,0.7437,0.6497,0.5258,0.5674,1.2358,1.3351,1.7383,1.8689,1.4231,1.4920,58
ABHD17A,0.6218,0.6954,0.7065,0.8643,1.0480,1.0676,1.3587,1.4527,2.6236,2.0616,5
ABHD17B,0.8275,1.0460,0.5460,0.5885,1.0092,1.0104,1.3991,1.3316,2.0908,2.1257,16
ABHD17C,0.8234,0.7880,0.4583,0.3985,0.9996,1.0174,1.4034,1.4223,2.2396,2.2939,18
ABHD2,0.5338,0.4871,0.3589,0.4171,1.3685,1.4838,1.7823,2.1838,1.5554,1.5168,34
ABHD3,0.6514,0.6692,0.7166,0.8164,1.5687,1.6178,1.8074,1.7749,0.9529,1.0098,15
ABHD4,2.7681,2.3596,0.7803,0.8237,1.0432,1.1069,1.4921,1.3785,0.8872,0.8558,2
ABHD5,1.1702,0.9234,0.7829,0.8331,1.1108,0.9578,1.6605,1.8280,1.4229,1.4670,11
ABHD6,0.8013,0.9908,0.5203,0.3760,1.3366,1.3131,1.9668,2.0084,1.4867,1.5339,10
ABI1,2.2933,1.8488,0.9728,1.1038,0.7915,0.8594,1.0709,1.2369,1.1923,1.4311,41
ABI2,2.3672,2.2587,0.8767,1.0690,0.8108,0.7340,1.2306,1.2171,1.0573,1.1798,18
ABL1,2.3447,2.2487,1.3492,1.4779,0.7979,0.7831,0.9440,0.8739,0.7733,0.8743,40
ABL2,3.7989,3.6765,0.8750,1.1598,0.6661,0.8265,0.7272,0.8597,0.6221,0.6905,15
ABLIM1,1.0658,1.0770,1.4202,1.5076,1.1108,1.1478,1.2313,1.1878,0.8683,0.8317,22
ABLIM2,1.9384,1.4281,1.3880,1.3361,0.8705,1.0551,1.0181,0.9433,0.6852,0.7829,12
ABLIM3,0.9321,1.1301,0.8137,0.9566,1.3596,1.4417,1.6365,1.6451,1.0253,0.9615,6
ABR,3.8019,3.4631,0.9171,0.9396,0.8027,0.7797,0.8824,0.9533,0.6931,0.7570,68
ABRACL,5.2648,4.5124,0.6293,0.7881,0.2963,0.2301,0.2089,0.2316,0.1570,0.2011,9
ABT1,0.6651,0.8014,0.5798,0.7248,2.0480,2.0361,1.0681,1.0023,1.2587,1.1809,22
ABTB1,3.7247,3.4425,0.9879,0.8242,0.8889,0.8462,0.9535,1.0122,0.6284,0.9255,5
ABTB2,2.8912,2.6128,0.8981,0.9775,1.0143,0.9400,1.0669,1.1329,0.9211,1.0633,2
ACAA1,0.6228,0.6747,0.7228,0.6013,1.2393,1.3197,1.9567,1.9396,1.2327,1.2418,133
ACAA2,0.5229,0.5582,1.3242,1.1737,1.2822,1.4845,1.7371,1.8098,0.5143,0.5392,149
ACACA,4.3075,4.0999,0.7713,0.7071,0.7229,0.7116,0.8386,0.8441,0.6351,0.6983,124
ACACB,0.9832,0.9023,1.1262,1.1992,1.0672,0.9902,0.9023,0.8180,1.9712,1.4089,4
ACAD10,0.6192,0.6371,0.7242,0.6973,1.4876,1.6551,2.1766,2.1106,0.8339,0.7186,46
ACAD11,0.7932,0.6201,0.6002,0.6436,1.3448,1.3718,2.0354,1.9967,1.1766,1.1185,38
ACAD8,0.4586,0.4774,1.0873,0.9263,1.4104,1.6366,2.0408,1.9757,0.6251,0.6492,30
ACAD9,0.4458,0.4486,0.5356,0.4990,1.5496,1.6747,2.3682,2.2026,0.8064,0.8138,163
ACADL,0.6344,0.5561,0.8529,0.8054,1.4507,1.4749,2.4183,2.0519,0.8433,0.6492,7
ACADM,0.5734,0.5900,1.1974,1.0068,1.3694,1.5229,1.9561,1.8888,0.5815,0.6102,52
ACADS,0.5634,0.5740,1.1491,0.9649,1.3597,1.5603,1.9539,1.8735,0.6412,0.6338,41
ACADSB,0.5397,0.4906,1.1019,0.8559,1.3685,1.5284,2.0213,1.9210,0.6006,0.5638,54
ACADVL,0.5751,0.6032,0.8765,0.8502,1.4409,1.5186,2.1025,1.9649,0.7485,0.7204,242
ACAP2,5.4395,4.8167,0.7558,0.6781,0.5780,0.6334,0.6351,0.7030,0.5127,0.5406,66
ACAP3,5.1037,4.2165,0.6526,0.7469,0.7103,0.7915,0.7599,0.9158,0.5360,0.7418,11
ACAT1,0.3408,0.3547,1.2111,1.0320,1.3935,1.5714,1.9959,1.9403,0.5471,0.5361,118
ACAT2,4.1575,3.7570,1.2577,1.4438,0.5446,0.4976,0.4888,0.4175,0.4615,0.4208,58
ACBD3,1.4293,1.3227,1.4077,1.4541,1.0075,0.9213,1.2643,1.1663,0.8804,0.9418,85
ACBD4,0.2246,0.1691,0.2698,0.3805,1.5096,1.5273,2.3288,2.4941,1.3942,1.7268,2
ACBD5,0.4388,0.4088,0.2585,0.3559,1.3235,1.4268,2.4621,2.1734,1.3049,1.2989,83
ACBD6,5.3122,4.3385,1.1053,0.7944,0.5528,0.5922,0.5585,0.5398,0.4143,0.4275,22
ACBD7,5.8177,5.5499,0.9097,1.0508,0.4013,0.4200,0.3941,0.3990,0.2863,0.3967,16
ACCS,2.7591,2.4958,1.0973,1.5535,0.7646,0.4175,0.8884,0.8630,0.6636,0.3933,1
ACD,1.5239,1.4575,1.3685,1.4291,1.3995,1.3547,0.9804,1.0769,0.6884,0.7377,9
ACE,0.9469,0.9330,1.2282,0.2937,0.9367,1.0337,1.1573,1.1435,1.0623,1.5607,3
ACE2,1.3574,1.4791,0.5415,0.4912,1.0914,1.0985,1.6870,1.5527,2.1485,1.7159,5
ACIN1,0.5966,0.5890,0.6606,0.7069,2.0663,2.0921,1.2447,1.1772,1.0816,1.0573,338
ACKR3,0.3093,0.3573,0.2344,0.2166,0.9738,1.0116,2.0513,1.7631,2.7442,2.6125,12
ACLY,4.4859,4.3045,1.2015,1.0478,0.5699,0.5537,0.5323,0.5384,0.5035,0.5124,316
ACO1,4.3914,4.0923,1.2007,1.0922,0.5209,0.5396,0.5158,0.4669,0.4447,0.4453,73
ACO2,0.5399,0.5353,1.2677,1.0045,1.3289,1.4760,1.9269,1.8055,0.5398,0.5575,447
ACOT1,0.7211,0.6918,1.2407,1.6152,1.0003,1.2795,1.3739,1.5877,0.6350,0.7985,5
ACOT11,5.7018,5.3246,0.9365,0.7439,0.4360,0.4480,0.4815,0.5274,0.4423,0.5755,9
ACOT13,0.9089,0.8112,0.9520,0.7735,1.3616,1.6209,1.9541,2.0863,0.5339,0.5603,25
ACOT2,0.3450,0.3914,1.0301,0.4459,1.9739,1.9081,2.0633,2.5476,0.4114,0.4726,2
ACOT4,2.7382,2.5176,0.9394,0.7736,0.9872,1.0604,1.0582,1.2057,1.1520,1.0630,1
ACOT7,3.4237,3.3565,1.3148,1.3134,0.6382,0.6990,0.7499,0.7009,0.5090,0.4923,62
ACOT8,0.4611,0.5228,0.5498,0.5413,1.2519,1.3793,2.1177,1.9509,1.3418,1.3163,33
ACOT9,0.6359,0.6421,1.0686,0.8008,1.4593,1.5248,1.9143,1.8284,0.7089,0.6785,53
ACOX1,0.6153,0.6049,0.6510,0.6028,1.2694,1.3253,1.8701,2.0250,1.2189,1.3184,108
ACOX3,0.5342,0.5595,0.6012,0.5567,1.3065,1.3820,2.1735,2.0722,1.3778,1.3203,93
ACP1,4.5245,4.2237,1.0557,1.0400,0.4816,0.5227,0.4422,0.4796,0.4670,0.4427,57
ACP2,0.6506,0.7475,0.7086,0.5394,0.8031,0.8687,1.3878,1.4645,2.2443,2.1243,14
ACPL2,0.8368,0.8393,0.7318,0.9080,1.1224,1.1606,1.5902,1.3975,1.9990,1.7332,2
ACPP,0.8507,0.7924,0.7096,0.5655,0.9516,1.0145,1.7289,1.6263,1.9181,1.7229,6
ACSF2,0.5531,0.6016,1.1572,1.0900,1.3105,1.5527,1.8114,1.7433,0.5179,0.5505,66
ACSF3,0.5940,0.6829,1.0775,0.9033,1.3466,1.3990,1.7267,1.6923,0.6495,0.6324,64
ACSL1,0.5561,0.4938,0.5639,0.5757,1.4445,1.3646,1.9760,1.9151,1.3502,1.3029,54
ACSL3,0.3821,0.4215,0.3670,0.3441,1.3369,1.3851,2.0436,2.1166,1.6479,1.6901,116
ACSL4,0.5087,0.5710,0.4856,0.4224,1.3643,1.2887,2.0859,1.9969,1.3841,1.3786,10
ACSM3,0.6862,0.7456,1.2453,1.3453,1.1947,1.3033,1.3997,1.7036,0.6413,0.6390,3
ACSS1,0.6668,0.6444,1.0806,0.7457,1.4810,1.6606,2.0899,1.8747,0.6430,0.6443,31
ACSS2,2.9564,2.7346,1.6573,1.3287,0.6932,0.6953,0.6032,0.5789,0.4039,0.4744,22
ACSS3,0.6300,0.5616,1.0967,0.9234,1.3359,1.5488,1.9131,1.9558,0.5497,0.5909,51
ACTA1,1.5624,1.5521,0.8013,2.5903,0.8015,0.6488,0.9592,0.8897,1.3458,1.0393,2
ACTB,1.3954,1.5692,1.4318,1.6736,0.8367,0.7436,0.9031,0.8803,1.2685,1.3192,4
ACTBL2,1.5790,1.7347,1.1851,1.3378,0.8552,0.8105,0.8264,0.8028,0.6910,0.7387,27
ACTG1,1.8954,1.9889,1.4227,1.6324,0.7478,0.7091,0.8971,0.9277,1.2755,1.0588,5
ACTL6A,1.3821,1.2425,1.3891,1.2095,1.1307,1.2214,0.6953,0.7556,1.3571,1.3323,111
ACTL8,0.9266,0.8824,1.8325,2.0110,0.9696,0.9271,0.8040,0.8052,0.9730,0.9702,17
ACTN1,1.5964,1.6024,1.9435,1.5761,0.8884,0.8120,0.8653,0.8099,0.7515,0.7258,460
ACTN2,1.7544,2.4978,2.8838,1.2343,0.9603,0.5851,0.6366,0.9128,0.3405,0.2886,2
ACTN3,1.4951,1.6144,1.8114,1.6285,1.0759,1.0239,1.0010,0.8491,0.7817,0.8414,4
ACTN4,1.0735,1.0853,1.9005,2.0584,0.9229,0.9026,0.8603,0.7805,0.6891,0.6678,1457
ACTR10,3.6555,3.1676,1.0399,1.0154,0.7106,0.7087,0.7982,0.8641,0.9661,0.9253,31
ACTR1A,3.6611,3.3289,1.0056,0.7258,0.7132,0.6917,0.7930,0.8105,0.8179,0.7629,73
ACTR1B,2.9157,2.9604,0.9330,0.8544,0.8869,0.8951,0.9119,0.9803,0.6945,0.7445,14
ACTR2,3.9896,3.7024,0.9280,0.9105,0.6802,0.6940,0.7676,0.7461,0.8190,0.8078,213
ACTR3,4.3448,3.9034,0.9006,0.8890,0.6449,0.6337,0.6558,0.7056,0.7584,0.7391,152
ACTR3B,3.0317,2.9899,1.0430,0.9134,0.8425,0.8100,0.8793,0.8319,1.0670,1.0720,13
ACTR5,0.7778,0.7941,0.9402,0.9551,1.1473,1.2842,0.8222,0.8963,2.0713,1.9200,39
ACTR6,0.7834,0.7433,1.2179,0.7875,1.8526,1.6989,1.0642,1.0968,0.9552,0.9511,28
ACTR8,0.5776,0.5793,0.9368,0.8772,1.2890,1.3328,0.8743,1.0102,1.7721,1.6276,32
ACVR1,0.5432,0.5891,0.3821,0.5147,1.3170,1.2163,1.6078,1.9434,1.6889,1.7803,13
ACVR1B,0.5079,0.4222,0.4907,0.4371,1.1853,1.1014,1.7841,1.8171,2.0799,1.9508,15
ACVR2A,0.8086,0.7932,0.5419,0.6217,1.0316,1.1166,1.6343,1.8223,1.6350,1.6443,3
ACVR2B,0.2127,0.4315,0.2197,0.2527,1.5262,1.4348,2.1187,2.2812,2.0888,1.7596,1
ACY1,4.5692,3.6348,2.1356,1.5037,0.4715,0.3980,0.3752,0.4027,0.3130,0.2813,4
ACYP1,6.0720,6.4870,0.8312,0.7963,0.2876,0.2166,0.2572,0.1937,0.1354,0.2078,3
ACYP2,4.3116,4.1340,0.8880,1.0006,0.6899,0.8456,0.9110,0.8237,0.2968,0.4231,6
ADA,4.4748,4.4221,1.4576,1.3637,0.4652,0.4353,0.3386,0.3865,0.4027,0.3081,27
ADAL,5.1322,4.7300,1.4955,1.3783,0.3685,0.3959,0.4009,0.3256,0.2744,0.3126,6
ADAM10,0.5697,0.5895,0.3639,0.3616,1.2857,1.3034,1.9801,1.9871,1.5139,1.6227,89
ADAM11,1.1233,1.1922,0.5591,3.5888,0.8650,0.8591,1.2225,1.5648,0.9030,0.7350,1
ADAM15,0.5446,0.4344,0.3697,0.3648,1.2895,1.3041,1.8455,2.0080,1.5988,1.6057,45
ADAM17,0.4676,0.5226,0.4069,0.4149,1.3805,1.3451,2.1565,2.1127,1.3874,1.4201,70
ADAM22,0.3666,0.6466,0.3999,0.4665,1.2982,1.2813,1.8091,2.1223,1.5641,1.7653,7
ADAM23,1.7607,1.8477,0.3735,0.4732,1.0914,1.3073,1.5837,1.5374,1.4695,1.4115,1
ADAM9,0.3235,0.2951,0.2294,0.2217,1.1943,1.1976,1.7273,1.8392,2.1557,2.2379,58
ADAMTS19,0.7560,0.6331,0.7828,0.8466,1.1091,1.1288,1.6808,1.7905,1.4127,1.5648,24
ADAMTSL3,0.5672,0.3712,1.1795,0.9445,0.8717,0.9288,1.1084,1.6307,1.3915,1.7496,1
ADAP1,2.4425,2.2938,1.7333,1.1319,0.7781,0.7522,0.7602,0.6724,0.5195,0.4999,25
ADAR,0.5218,0.5260,0.4648,0.5154,1.8201,1.8719,1.0621,1.1038,1.9405,1.8550,301
ADARB1,0.5910,0.6495,0.6608,0.6834,1.4983,1.4792,0.9256,0.9212,2.0603,1.9590,25
ADAT1,0.7273,0.8549,2.0168,2.0198,0.9316,0.9012,0.9832,0.9406,0.7743,0.8785,46
ADAT2,1.6062,1.1901,1.6459,2.5694,0.5435,0.4911,0.4761,0.4267,0.4858,0.4980,5
ADAT3,1.9760,1.7073,2.0661,2.2427,0.6740,0.8003,0.8814,0.6644,0.4415,0.2665,4
ADCK1,0.6764,0.6010,0.4109,0.4048,1.5542,1.7203,2.3534,2.2815,0.8143,0.9382,29
ADCK2,0.8021,0.8435,0.6210,0.6113,1.4958,1.3418,2.1235,1.8266,1.0128,1.0465,14
ADCK3,0.5108,0.5789,0.4567,0.3662,1.6983,1.6894,2.3689,2.3182,0.7949,0.8323,25
ADCK4,0.5563,0.5880,0.5534,0.4679,1.5833,1.6690,2.1684,2.1449,0.9356,0.9160,38
ADCK5,0.8125,0.7764,0.5086,0.4928,1.5419,1.5018,2.2311,1.9770,0.8252,0.8400,32
ADCY1,1.1260,1.1522,0.8130,0.8251,1.1934,1.1176,1.5437,1.6249,1.4326,1.3655,9
ADCY10,1.9398,1.8610,1.1160,0.8855,0.4572,1.0664,0.4829,1.0240,0.7968,0.2460,2
ADCY3,0.4794,0.4637,0.2467,0.3331,1.3796,1.3313,2.3460,2.0274,1.4940,1.4818,23
ADCY5,0.9013,0.8939,0.4518,0.5943,1.3419,1.3358,1.9980,1.9996,1.3229,1.3566,28
ADCY6,0.6380,0.6647,0.5082,0.4977,1.3508,1.3583,1.8486,2.0749,1.4059,1.5192,7
ADCY9,0.3771,0.4094,0.2247,0.2472,1.4092,1.4563,2.3467,2.3420,1.3553,1.4905,55
ADD1,2.1782,2.1154,1.3555,1.1645,0.9346,0.9961,0.9920,0.9758,0.7543,0.7499,70
ADD3,1.3131,1.2230,1.4820,1.2754,1.0384,1.1683,1.0773,1.1063,0.8485,0.9423,53
ADH5,4.5767,4.2636,1.3098,1.1563,0.4382,0.4458,0.3510,0.3475,0.3279,0.3251,101
ADI1,4.1010,3.8489,1.1886,0.9556,0.6140,0.5772,0.4280,0.4373,0.4270,0.4004,85
ADIPOR1,0.4701,0.2615,0.2684,0.4153,1.1574,1.2738,2.0573,2.0291,1.9172,1.9374,11
ADIPOR2,0.4652,0.5331,0.2467,0.2056,1.3964,1.4332,2.2303,2.2229,1.6209,1.7182,5
ADIRF,4.8414,4.9449,1.0163,1.3929,0.3796,0.4157,0.4448,0.4500,0.4136,0.3990,8
ADK,3.4321,3.1520,1.8566,1.4371,0.5186,0.4853,0.3863,0.3742,0.3252,0.3339,144
ADNP,0.4699,0.4902,1.5339,1.4648,1.3768,1.5257,0.8270,0.8961,0.9300,0.9634,209
ADNP2,0.7220,0.6191,1.0663,0.9806,1.6916,1.7895,1.0912,1.0989,0.9419,0.9980,18
ADO,3.0033,2.9678,1.7254,1.7084,0.6871,0.7031,0.6866,0.6740,0.4477,0.5340,32
ADPGK,0.4262,0.4228,0.5321,0.5881,1.4267,1.3572,2.0797,2.1588,1.4314,1.2717,39
ADPRHL2,2.3796,2.2444,1.6659,1.3733,0.8421,0.7999,0.8358,0.7513,0.5586,0.5897,58
ADRBK1,5.5690,5.0268,0.7370,0.7839,0.5322,0.6118,0.5305,0.5512,0.4495,0.5005,35
ADRM1,2.2571,2.1137,1.3146,1.3592,0.6444,0.6029,0.5592,0.5894,1.1093,1.1559,71
ADSL,5.1800,4.4233,1.1737,1.1380,0.4679,0.4677,0.4379,0.3897,0.3594,0.3576,60
ADSS,5.1176,4.7519,1.1590,1.0337,0.5029,0.4868,0.4673,0.4222,0.3863,0.3881,65
ADSSL1,2.3507,2.3066,2.0514,1.5798,0.8008,0.6670,0.6553,0.6113,0.4465,0.4543,19
AEBP2,0.7934,0.6430,0.8206,0.6807,1.0300,1.1410,0.7581,0.7696,2.6091,2.4081,16
AEN,1.1785,0.8755,0.5855,0.5925,1.5955,1.8871,0.8121,0.9655,1.9704,1.9721,8
AES,1.1468,1.0276,1.4972,1.5347,1.2708,1.0696,1.0590,0.9976,0.8192,0.6666,10
AFAP1,0.4915,0.5092,1.0392,1.2066,1.2886,1.2211,1.4844,1.4739,1.2321,1.2351,34
AFAP1L2,2.1540,2.1917,0.9858,1.9823,0.9833,0.7562,1.3068,0.7380,0.7718,0.8896,1
AFF1,0.9079,0.9109,1.3821,1.8573,0.9929,1.0588,0.9540,1.0660,0.7968,1.0233,11
AFF3,2.0176,1.2511,0.9999,1.6107,0.7449,1.2134,0.5845,1.2060,0.8839,1.4978,1
AFF4,0.5142,0.5550,1.8240,2.3882,0.9004,0.9208,0.6893,0.7261,0.7415,0.7784,86
AFG3L2,0.4851,0.4924,0.3512,0.3896,1.5972,1.6804,2.6284,2.3194,0.8945,0.8416,172
AFM,1.7439,2.3369,0.7403,1.1976,1.0883,1.4637,1.0771,1.0327,1.1998,0.9306,12
AFP,5.6853,6.5092,0.9796,0.7726,0.4449,0.3929,0.4842,0.3579,0.3656,0.3734,3
AFTPH,2.5684,2.4426,1.2290,1.6559,0.7121,0.7014,0.7913,0.7221,0.9992,0.7366,50
AGA,0.7649,0.6644,0.7385,0.9264,0.8681,1.0624,1.5107,1.8997,1.6523,1.9028,17
AGAP1,1.5973,1.4264,1.4320,1.2261,0.9755,0.9823,1.1969,1.1772,0.9796,1.2323,14
AGAP2,2.9115,2.5797,1.1944,0.8922,0.9673,0.8810,1.0051,1.0932,0.9201,0.9171,12
AGAP3,2.1147,1.8669,1.2791,1.0730,1.0145,0.9054,1.0457,1.1725,0.9351,1.0186,20
AGFG1,2.4320,2.2919,1.4610,1.5494,0.9544,0.8981,1.0274,0.9975,0.6206,0.6452,30
AGFG2,4.1477,3.4155,0.9049,0.7593,0.6694,0.7971,0.7846,0.8534,0.4944,0.6726,13
AGGF1,0.5087,0.5036,1.9201,2.7165,0.7816,0.8394,0.6649,0.6974,0.6184,0.7279,61
AGK,0.4928,0.4624,0.3748,0.4485,1.6896,1.6432,2.3882,2.2836,0.8284,0.8102,78
AGL,3.9400,3.7674,0.9307,0.8469,0.5011,0.5197,0.5583,0.5467,1.4948,1.4203,79
AGMAT,0.6711,0.7208,1.1591,1.0369,1.3249,1.5220,1.8678,1.7556,0.6379,0.6186,30
AGO1,0.9638,0.9949,1.4066,1.2016,0.9287,0.8759,0.9096,0.8972,1.5515,1.5266,39
AGO2,1.1553,1.1538,1.3531,1.1280,0.9460,0.8337,0.9054,0.8966,1.6282,1.7292,76
AGO3,1.2111,1.1258,0.9192,0.8937,1.0879,0.9698,1.1109,1.0556,2.0413,2.0983,25
AGO4,1.1180,1.0455,1.4591,1.4401,1.0234,1.0053,0.9049,0.8719,1.4376,1.5849,1
AGPAT1,0.5260,0.4057,0.7037,0.7266,1.3376,1.5048,1.6536,1.9374,1.2470,1.3005,8
AGPAT2,0.4824,0.5071,0.4041,0.4512,1.3152,1.3773,1.8936,1.9075,1.4344,1.5577,25
AGPAT3,0.6544,0.5913,0.4157,0.5173,1.3035,1.3648,1.9712,1.9237,1.5205,1.4737,56
AGPAT5,0.4058,0.4503,0.3853,0.4006,1.5291,1.5122,2.2166,2.1845,1.0196,1.0786,29
AGPAT6,0.3945,0.6076,0.4112,0.3644,1.2462,1.3270,1.9922,1.9469,1.7138,1.6994,24
AGPAT9,0.6350,0.4370,0.3858,0.2687,1.3305,1.3414,2.0161,2.1165,1.7135,1.7762,25
AGR2,0.4217,0.4133,0.9128,0.7339,1.1213,1.1703,2.0744,2.0784,1.1499,1.1321,350
AGR3,0.5573,0.5499,0.9102,0.8466,0.9413,1.0239,1.8024,1.7777,1.5785,1.5817,68
AGRN,0.4474,0.4857,0.6226,0.6567,1.0829,1.1242,1.6150,1.8526,1.7657,1.8352,101
AGT,3.7019,3.2847,0.8894,0.9111,0.8387,0.8411,0.8854,0.7837,0.9114,0.8729,8
AGTPBP1,4.5635,3.7289,0.7874,0.6652,0.6900,0.7387,0.7660,0.7694,0.8462,1.0409,9
AGTRAP,0.8172,0.8098,0.5409,0.5755,1.0013,0.9673,1.5385,1.3655,2.1380,2.2002,12
AHCTF1,0.4258,0.4442,0.3417,0.4072,2.3818,2.3993,1.3824,1.4859,1.0235,1.1142,123
AHCY,4.5377,4.2355,1.2128,1.1549,0.5320,0.5125,0.5072,0.4751,0.4420,0.4024,290
AHCYL1,4.7731,4.1254,0.7892,0.8758,0.5862,0.6230,0.5708,0.6006,0.4392,0.5187,46
