Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
PARD6B,2.7357,2.5038,1.0943,1.2333,0.8560,0.8558,1.0079,0.9326,0.8524,1.0064,38
PARG,2.8358,2.7222,1.6324,1.4747,0.8087,0.6700,0.7325,0.6434,0.5880,0.7187,24
PARK7,3.0504,2.9105,1.6079,1.7824,0.5113,0.5606,0.4294,0.3960,0.3463,0.3734,264
PARL,0.3066,0.2547,0.2783,0.3045,1.7765,1.7023,2.6954,2.4261,0.8824,0.6809,15
PARM1,0.9019,1.1522,0.6984,0.5878,1.1473,1.0812,1.3917,1.2874,1.9484,2.3458,1
PARN,0.4709,0.5016,1.2052,1.0625,1.5516,1.5331,0.8453,0.8686,1.4791,1.5031,106
PARP1,0.5549,0.5565,1.4363,1.5182,1.1281,1.1842,0.9892,1.0394,1.2380,1.2148,520
PARP12,1.9751,1.6832,0.7696,0.8001,1.0917,1.0480,0.9979,1.1470,1.4869,1.6952,15
PARP14,3.5525,3.2829,1.0566,0.9775,0.7678,0.7881,0.9748,1.0236,0.7057,0.9086,18
PARP16,0.7014,1.0492,0.2906,0.2848,1.4094,1.3541,2.0250,2.0525,1.4324,1.5940,16
PARP2,0.4089,0.4227,0.5608,0.5228,1.2304,1.1209,1.3805,1.3743,2.3808,2.3282,37
PARP4,2.5942,2.4153,0.7031,0.7172,0.6487,0.6969,0.8175,0.8346,2.0783,1.9705,64
PARP9,2.6947,2.3452,0.9333,1.0289,0.9911,0.9527,1.2549,1.3191,0.9037,1.0433,10
PARPBP,2.3794,2.1748,0.9749,0.7113,1.0129,1.0006,1.2728,1.2165,0.9703,1.0326,3
PARS2,0.6371,0.6430,0.7674,0.7012,1.4705,1.5425,1.8341,2.0235,0.9342,0.9846,16
PARVA,5.6413,5.1797,0.6904,0.7354,0.5203,0.5265,0.6411,0.6761,0.4646,0.5999,21
PARVB,3.6491,3.8114,0.9544,0.8586,0.7400,0.8109,0.9390,0.9722,0.7471,0.7998,6
PASK,5.0770,4.2833,0.7455,0.7463,0.6643,0.6242,0.5721,0.6322,0.4640,0.5164,23
PATL1,2.0798,1.8521,0.9637,0.8977,0.7751,0.7684,0.7125,0.7694,1.6207,1.4485,38
PATZ1,0.6233,0.5296,0.5516,0.5632,1.0320,1.0526,1.0527,1.0957,2.6918,2.4189,36
PAWR,4.6542,4.5854,1.1629,1.2861,0.4238,0.4289,0.3650,0.3361,0.3825,0.3715,91
PAX9,0.4644,0.5878,0.9499,0.8945,1.7826,1.7893,1.4314,1.4674,0.9798,0.9800,5
PAXBP1,0.4581,0.4551,1.3108,1.0320,1.5134,1.5274,1.0109,1.0183,1.2193,1.1717,63
PAXIP1,0.5963,0.6018,1.3384,1.1908,1.0378,1.1170,0.9747,1.0346,1.5193,1.5748,40
PBDC1,4.0030,3.6418,1.3258,1.3300,0.5603,0.5320,0.4945,0.4969,0.3263,0.3946,57
PBK,3.8806,3.8969,1.1669,1.0555,0.7367,0.6818,0.7265,0.7078,0.5556,0.5876,59
PBLD,3.8044,3.6859,1.5971,1.3024,0.7059,0.4726,0.4025,0.3039,0.3914,0.4259,5
PBRM1,0.5438,0.5506,0.4423,0.4741,1.2909,1.3593,0.7339,0.7660,2.8152,2.6845,191
PBX1,0.6800,0.7201,1.9268,1.8225,1.0324,1.0938,1.0571,0.9434,0.8354,0.7720,14
PBX2,0.7843,0.7020,2.0474,2.1073,0.9878,0.9762,0.7217,0.8007,0.5575,0.6484,17
PBX3,0.8187,0.7606,1.7904,1.9996,1.1023,1.1211,0.9133,1.0416,0.6330,0.9277,12
PBXIP1,0.5602,0.5281,0.4104,0.4934,1.2207,1.3270,1.9211,1.9724,1.4826,1.5840,87
PC,0.6057,0.6761,1.0909,0.8794,1.3468,1.4493,1.9225,1.8253,0.6325,0.6459,201
PCBD1,4.8136,4.2279,1.1843,0.7387,0.5766,0.5091,0.6481,0.5917,0.4738,0.4118,13
PCBD2,1.5973,1.7178,1.3464,1.9137,0.8832,0.9996,1.1608,0.9902,0.5171,0.5341,9
PCBP1,2.5192,2.3806,1.3795,1.5100,1.0243,0.9636,0.7457,0.8390,0.6072,0.5934,202
PCBP2,2.1475,2.0910,1.3408,1.1379,1.0810,1.0345,0.9084,0.9618,0.9335,0.8493,150
PCBP3,2.3027,2.5968,1.1358,0.9275,1.0635,1.0326,1.0587,1.3184,0.9381,0.9120,3
PCCA,0.8092,0.6990,1.0638,0.7665,1.3001,1.4595,1.8947,1.8278,0.9009,0.8617,63
PCCB,0.7090,0.6679,0.9234,0.7833,1.3539,1.4960,1.9034,1.9956,0.8712,0.7746,58
PCDH1,0.4519,0.5271,0.7824,0.9348,1.2340,1.1605,1.8944,1.7923,1.3485,1.4546,57
PCDH10,0.8804,0.7268,0.5846,0.5303,1.3137,1.2355,2.1617,1.9410,1.5212,1.4961,16
PCDH7,0.4992,0.5162,0.5759,0.6429,1.2473,1.2613,2.1927,1.8920,1.5041,1.5311,29
PCDH9,2.4543,2.4930,0.7739,1.7572,0.8720,0.8329,1.1306,1.2896,0.6848,0.7669,2
