"Protein";114.1;115.1;116.1;117.1;114.2;115.2;116.2;117.2;"TAIR8"
"AT1G07810";0.388571;0.21719;0.191714;0.202619;0.295857;0.2535;0.166429;0.284071;"ER"
"AT1G08470";0.365833;0.215667;0.198167;0.22;0.267;0.26;0.17725;0.29575;"ER"
"AT1G11680";0.414125;0.233125;0.20225;0.150542;0.325818;0.256364;0.162;0.255545;"ER"
"AT1G18260";0.45675;0.23075;0.181;0.1315;0.37;0.255;0.15175;0.2235;"ER"
"AT1G18700";0.4555;0.2402;0.1695;0.1348;0.30675;0.26625;0.16775;0.2585;"ER"
"AT1G19370";0.409;0.224;0.2005;0.167;0.3195;0.253;0.1625;0.2645;"ER"
"AT1G20330";0.362625;0.232375;0.18675;0.218125;0.256667;0.268167;0.165167;0.31;"ER"
"AT1G21750";0.3814;0.2452;0.173;0.2002;0.429;0.228;0.143667;0.199;"ER"
"AT1G27980";0.381;0.224667;0.195667;0.198667;0.284333;0.262667;0.159;0.294333;"ER"
"AT1G32210";0.4505;0.256167;0.179;0.114333;0.3048;0.252;0.1742;0.2688;"ER"
"AT1G34130";0.388364;0.252;0.195455;0.164182;0.310923;0.258462;0.158308;0.272154;"ER"
"AT1G35620";0.404;0.239;0.205875;0.15125;0.28275;0.276167;0.181667;0.2595;"ER"
"AT1G44170";0.343;0.2185;0.2445;0.1945;0.324333;0.251667;0.158;0.266;"ER"
"AT1G51760";0.4275;0.209;0.2255;0.1375;0.331;0.274;0.141;0.254;"ER"
"AT1G52600";0.3975;0.25725;0.19175;0.15325;0.3218;0.2602;0.1468;0.2706;"ER"
"AT1G54990";0.425409;0.248182;0.178182;0.148091;0.34787;0.250783;0.150913;0.250478;"ER"
"AT1G56340";0.552667;0.230667;0.121;0.0953333;0.431667;0.225333;0.132333;0.211;"ER"
"AT1G61790";0.444429;0.236929;0.184214;0.134286;0.342091;0.253182;0.162;0.242818;"ER"
"AT1G64090";0.38525;0.239438;0.2065;0.168687;0.323;0.2545;0.1665;0.2555;"ER"
"AT1G64950";0.359;0.227;0.25;0.164;0.2355;0.281;0.169;0.315;"ER"
"AT1G65270";0.4442;0.2776;0.1626;0.1156;0.379364;0.246818;0.153182;0.220818;"ER"
"AT1G65820";0.462857;0.220321;0.1815;0.135179;0.307625;0.252688;0.166063;0.273438;"ER"
"AT1G67490";0.399571;0.243714;0.217571;0.139286;0.344333;0.25;0.157;0.248333;"ER"
"AT1G67730";0.371867;0.242533;0.2061;0.179567;0.270357;0.269714;0.1655;0.294214;"ER"
"AT1G70770";0.353968;0.27446;0.215238;0.156317;0.314524;0.260968;0.161984;0.26246;"ER"
"AT1G71220";0.477929;0.203714;0.177214;0.141;0.372375;0.2435;0.1575;0.226375;"ER"
"AT1G71780";0.399;0.231583;0.20375;0.165667;0.328;0.262;0.153333;0.256667;"ER"
"AT1G72090";0.386;0.2504;0.1998;0.164;0.328667;0.263667;0.153333;0.254667;"ER"
"AT1G76400";0.3808;0.2433;0.20405;0.1719;0.305235;0.250765;0.159824;0.284235;"ER"
"AT1G79940";0.362929;0.229786;0.212857;0.194357;0.3;0.261375;0.17;0.268375;"ER"
"AT2G01720";0.438091;0.250318;0.179318;0.132227;0.343;0.254367;0.152867;0.2498;"ER"
"AT2G03120";0.374667;0.234417;0.187833;0.203333;0.3342;0.2462;0.1504;0.2692;"ER"
"AT2G03510";0.404658;0.235603;0.186562;0.173219;0.3305;0.257696;0.15637;0.255348;"ER"
"AT2G04350";0.400421;0.238053;0.194947;0.166474;0.3102;0.266;0.1671;0.2565;"ER"
"AT2G21160";0.396286;0.251714;0.203214;0.148571;0.29425;0.254;0.184;0.268;"ER"
"AT2G24180";0.389;0.247;0.211182;0.152955;0.3196;0.256;0.1587;0.2655;"ER"
"AT2G24420";0.439636;0.251909;0.178091;0.130182;0.3447;0.2411;0.1518;0.2625;"ER"
"AT2G26250";0.38175;0.26775;0.18925;0.16125;0.286;0.268667;0.174667;0.27;"ER"
"AT2G30490";0.419091;0.229493;0.192182;0.159247;0.329047;0.254349;0.15593;0.260698;"ER"
"AT2G32920";0.42425;0.217;0.20075;0.158;0.294;0.287;0.158;0.262;"ER"
"AT2G33630";0.422333;0.233;0.168667;0.176333;0.323;0.246;0.159;0.272;"ER"
"AT2G36290";0.39475;0.2545;0.1785;0.17225;0.364;0.229;0.154;0.253;"ER"
"AT2G38960";0.4227;0.2277;0.1733;0.1762;0.34325;0.25;0.147;0.25975;"ER"
"AT2G39960";0.393533;0.244933;0.1924;0.169;0.289933;0.254867;0.169933;0.285267;"ER"
"AT2G40890";0.394667;0.2195;0.21175;0.174;0.2976;0.2707;0.1628;0.2689;"ER"
"AT2G45140";0.36725;0.2475;0.2025;0.18275;0.2501;0.2591;0.1797;0.3115;"ER"
"AT2G46170";0.34225;0.20475;0.23875;0.21425;0.286667;0.243333;0.176;0.294;"ER"
"AT2G47470";0.450091;0.236;0.169636;0.144273;0.334182;0.252273;0.155091;0.258545;"ER"
"AT3G03050";0.255;0.2235;0.296;0.2245;0.146;0.267;0.207;0.38;"ER"
"AT3G03330";0.448333;0.232667;0.161;0.158;0.394;0.255;0.135;0.216;"ER"
"AT3G07140";0.404667;0.234333;0.188667;0.172333;0.275;0.279;0.146;0.301;"ER"
"AT3G13870";0.403913;0.231087;0.19887;0.166217;0.308105;0.258158;0.164263;0.269421;"ER"
"AT3G15710";0.381;0.24575;0.21875;0.15425;0.281;0.28925;0.1605;0.26925;"ER"
"AT3G19820";0.486291;0.194823;0.168848;0.150063;0.364107;0.233357;0.148929;0.2535;"ER"
"AT3G23175";0.35625;0.2395;0.245125;0.159625;0.277667;0.271333;0.180333;0.270333;"ER"
"AT3G23190";0.361091;0.273364;0.207364;0.158545;0.2835;0.279333;0.167667;0.269667;"ER"
"AT3G24160";0.4355;0.226;0.1925;0.146;0.275333;0.257333;0.173333;0.294333;"ER"
"AT3G44330";0.398077;0.252846;0.194846;0.154231;0.313923;0.259538;0.160077;0.266615;"ER"
"AT3G51430";0.374643;0.215643;0.211214;0.198286;0.3383;0.2598;0.1569;0.2448;"ER"
"AT3G51460";0.3005;0.166;0.179;0.3545;0.2398;0.2598;0.2044;0.2962;"ER"
"AT3G52190";0.4192;0.2328;0.1888;0.159;0.323;0.252667;0.147;0.277333;"ER"
"AT3G55360";0.367353;0.250235;0.194765;0.187588;0.2675;0.2735;0.173786;0.285214;"ER"
"AT3G57010";0.4015;0.234833;0.188167;0.175333;0.332333;0.261333;0.154167;0.252;"ER"
"AT3G57030";0.412;0.250167;0.1835;0.1545;0.312765;0.255118;0.159235;0.272765;"ER"
"AT3G57220";0.387333;0.239;0.201;0.172333;0.336;0.244;0.129;0.291;"ER"
"AT3G57650";0.454375;0.25725;0.16475;0.123375;0.374667;0.247667;0.148333;0.229667;"ER"
"AT3G60600";0.337;0.213;0.201143;0.249143;0.242571;0.260286;0.173429;0.323714;"ER"
"AT3G62360";0.411462;0.271385;0.173564;0.143564;0.372571;0.253214;0.149464;0.224786;"ER"
"AT4G01320";0.356929;0.247;0.207571;0.188429;0.309824;0.253941;0.163824;0.272471;"ER"
"AT4G12590";0.503;0.26;0.151;0.086;0.337;0.245;0.148;0.2705;"ER"
"AT4G14420";0.4167;0.2273;0.1902;0.1659;0.316286;0.258714;0.164714;0.260571;"ER"
"AT4G14950";0.3755;0.236;0.20575;0.1825;0.291;0.26;0.1615;0.2875;"ER"
"AT4G15760";0.377333;0.204333;0.266667;0.151667;0.3165;0.2505;0.164;0.269;"ER"
"AT4G16170";0.371833;0.232167;0.213333;0.1825;0.26925;0.266;0.17525;0.289625;"ER"
"AT4G21150";0.411258;0.247492;0.190823;0.150379;0.323376;0.258092;0.156229;0.26233;"ER"
"AT4G21180";0.441;0.246333;0.186667;0.125667;0.34;0.261;0.144;0.254667;"ER"
"AT4G24190";0.517895;0.204684;0.155526;0.121842;0.4301;0.2343;0.1272;0.2085;"ER"
"AT4G24330";0.360179;0.225536;0.203714;0.210714;0.314429;0.252429;0.157643;0.275429;"ER"
"AT4G27090";0.35675;0.226125;0.207125;0.21025;0.293833;0.253333;0.1725;0.28;"ER"
"AT4G27500";0.338;0.2365;0.2245;0.2005;0.176333;0.282333;0.181333;0.359667;"ER"
"AT4G29520";0.524167;0.207167;0.149167;0.119667;0.303333;0.263667;0.157333;0.276;"ER"
"AT4G30210";0.4205;0.256167;0.197;0.1265;0.312;0.259182;0.168;0.260727;"ER"
"AT4G30600";0.415;0.245167;0.184833;0.155167;0.329375;0.255875;0.15925;0.255625;"ER"
"AT4G31340";0.394133;0.2708;0.186267;0.1488;0.338704;0.253074;0.153111;0.255111;"ER"
"AT4G31500";0.38375;0.217583;0.203417;0.195167;0.313333;0.239;0.162;0.285333;"ER"
"AT4G32130";0.36225;0.23725;0.209;0.19175;0.282;0.2685;0.174;0.275;"ER"
"AT4G33360";0.394611;0.217833;0.208111;0.179167;0.294421;0.248789;0.171947;0.284789;"ER"
"AT4G34640";0.4034;0.2546;0.1686;0.173;0.311;0.246778;0.161889;0.280222;"ER"
"AT4G36250";0.358312;0.24825;0.2145;0.179;0.299222;0.268778;0.165556;0.266389;"ER"
"AT4G36480";0.3895;0.23375;0.19775;0.179;0.281091;0.267636;0.168636;0.282727;"ER"
"AT4G37330";0.41375;0.22425;0.22125;0.14075;0.2545;0.2865;0.167;0.2925;"ER"
"AT4G37370";0.354182;0.221545;0.214909;0.209364;0.325444;0.256889;0.157444;0.260333;"ER"
"AT4G37430";0.352889;0.253333;0.222444;0.171222;0.2742;0.284;0.1846;0.2574;"ER"
"AT5G03160";0.2985;0.2055;0.2585;0.23725;0.338;0.2625;0.1325;0.2675;"ER"
"AT5G05670";0.37825;0.22825;0.23725;0.15625;0.296;0.261;0.168;0.275;"ER"
"AT5G07340";0.368571;0.268;0.193357;0.170071;0.318632;0.264421;0.162895;0.254158;"ER"
"AT5G11560";0.431871;0.245387;0.179742;0.143065;0.329765;0.256088;0.156324;0.257882;"ER"
"AT5G13640";0.419;0.227857;0.182714;0.170571;0.284167;0.266;0.168167;0.281667;"ER"
"AT5G17770";0.364435;0.217261;0.199478;0.219043;0.261765;0.258412;0.170059;0.309765;"ER"
"AT5G19690";0.38025;0.2545;0.212875;0.152375;0.311067;0.258267;0.157467;0.2734;"ER"
"AT5G20520";0.412;0.267;0.157;0.165;0.37;0.253;0.14;0.237;"ER"
"AT5G20655";0.394143;0.240714;0.201143;0.164;0.2592;0.2784;0.1826;0.2794;"ER"
"AT5G23575";0.458;0.2685;0.1565;0.117;0.327;0.25725;0.157;0.25925;"ER"
"AT5G23630";0.368333;0.247833;0.204333;0.179667;0.244333;0.281667;0.172;0.302;"ER"
"AT5G27330";0.3015;0.25475;0.22375;0.22;0.306143;0.248143;0.160857;0.284714;"ER"
"AT5G42570";0.381933;0.237333;0.198067;0.182733;0.301267;0.253333;0.1604;0.285067;"ER"
"AT5G48810";0.342583;0.2415;0.217583;0.198417;0.291333;0.267333;0.167;0.274667;"ER"
"AT5G49945";0.327;0.243;0.213667;0.216667;0.326;0.25;0.154;0.27;"ER"
"AT5G52240";0.3712;0.2314;0.2076;0.1894;0.270333;0.319;0.171667;0.239;"ER"
"AT5G52420";0.473333;0.255;0.147;0.124667;0.38;0.235667;0.142;0.242;"ER"
"AT5G53560";0.46029;0.240968;0.171306;0.127387;0.326469;0.25902;0.151469;0.263;"ER"
"AT5G58070";0.302071;0.240286;0.226786;0.230786;0.250357;0.274214;0.173571;0.301929;"ER"
"AT5G58640";0.4926;0.2466;0.1526;0.1084;0.368333;0.240333;0.144;0.247667;"ER"
"AT5G60640";0.489222;0.199;0.166778;0.144778;0.406714;0.232571;0.144714;0.215857;"ER"
"AT5G61790";0.375244;0.252585;0.20322;0.168951;0.316261;0.258011;0.159125;0.26658;"ER"
"AT5G62390";0.3147;0.2517;0.2334;0.2003;0.298615;0.265769;0.158923;0.276692;"ER"
"AT5G63840";0.472;0.196;0.231;0.101;0.248;0.273;0.202;0.27725;"ER"
"AT5G64440";0.423231;0.193615;0.183846;0.199385;0.282579;0.253737;0.171632;0.291895;"ER"
"AT5G66680";0.413;0.237842;0.187263;0.161912;0.329459;0.256351;0.156351;0.257892;"ER"
"AT1G04430";0.183;0.256462;0.362231;0.198462;0.144923;0.317077;0.212077;0.326077;"GA"
"AT1G04910";0.167143;0.221;0.402857;0.209286;0.15825;0.311;0.21725;0.313;"GA"
"AT1G05070";0.316;0.2555;0.2735;0.154;0.142;0.3025;0.2235;0.332;"GA"
"AT1G08660";0.1444;0.234;0.4066;0.215;0.140423;0.296192;0.210538;0.352846;"GA"
"AT1G10290";0.3525;0.21775;0.2305;0.1995;0.2265;0.2745;0.1825;0.3165;"GA"
"AT1G10950";0.211579;0.229632;0.355;0.203947;0.129412;0.317941;0.226588;0.325824;"GA"
