Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
DUS3L,1.1495,1.4251,1.9609,1.677,0.6689,0.6571,0.7127,0.718,1.7534,1.3332,35
DUS4L,5.8341,6.1685,1.0983,1.2457,0.3069,0.2957,0.3107,0.3402,0.2429,0.3785,2
DUSP10,2.3297,2.1353,1.3014,1.1682,0.8462,0.9461,1.006,1.0396,1.0384,0.9071,2
DUSP11,0.6495,0.6309,0.5145,0.5114,1.4791,1.6102,1.0709,1.078,1.8512,1.6278,20
DUSP12,3.0559,3.0565,2.0155,2.1725,0.5338,0.6017,0.6091,0.6235,0.4498,0.4891,54
DUSP14,1.3508,1.3584,1.4742,1.3874,1.0186,1.1356,1.0949,1.0441,0.8864,1.0356,6
DUSP16,3.5672,3.7756,0.8314,0.8455,0.5794,0.7484,0.9963,1.0151,0.7903,0.8661,5
DUSP19,2.5288,3.5014,1.4195,1.2615,0.6432,0.6832,0.9632,0.8722,0.8633,0.6931,1
DUSP22,0.8886,0.9286,0.5255,0.5209,1.0103,1.0544,1.616,1.4814,1.8175,1.5224,6
DUSP23,3.2333,3.6596,0.857,0.8915,0.7473,0.648,0.8878,0.8656,0.9623,0.9217,3
DUSP3,4.5318,4.8241,1.0068,1.0983,0.3546,0.4049,0.5032,0.505,0.3956,0.3869,15
DUSP4,3.0173,3.3806,1.2831,1.1119,0.737,0.7411,0.9314,0.826,0.7914,0.6657,3
DUSP5,0.9229,0.9615,0.9048,0.814,0.9168,0.9781,1.3634,1.2161,1.7433,1.5377,5
DUSP6,3.7886,3.9504,1.029,1.0801,0.6431,0.6714,0.828,0.9304,0.5699,0.6187,1
DUSP7,3.1364,3.3174,0.97,0.8267,0.8114,0.831,0.8619,0.7162,1.1238,1.083,1
DUT,2.9467,3.5059,1.4954,1.3865,0.6402,0.6677,0.7904,0.7433,0.6306,0.549,60
DVL1,1.1298,1.2266,0.745,0.6676,1.2937,1.3024,1.4181,1.4946,1.0031,0.9855,22
DVL2,2.6596,2.9852,0.8802,1.0275,0.8769,0.9756,0.9517,1.0094,0.6732,0.8046,18
DVL3,1.6432,1.5277,0.8624,0.8584,1.2126,1.2661,1.3496,1.3501,0.749,0.872,14
DXO,2.4851,2.3938,1.8904,1.5636,0.5229,0.5656,0.4341,0.615,1.48,1.4153,1
DYM,1.7337,1.9797,0.9367,0.9181,0.7585,1.0261,0.9429,1.3079,1.1913,1.2471,10
DYNC1H1,3.1297,3.0809,1.0209,1.0389,0.6076,0.6824,0.7604,0.8611,1.0543,1.1557,1885
DYNC1I2,3.7012,3.635,1.2034,1.2846,0.5027,0.5683,0.5753,0.6451,0.9263,0.9726,176
DYNC1LI1,3.4645,3.3313,1.0988,1.2039,0.5345,0.6334,0.6868,0.7557,0.999,1.0747,104
DYNC1LI2,3.7018,3.7302,1.1106,1.2331,0.5194,0.5433,0.6221,0.6555,0.8507,0.8817,110
DYNC2H1,1.4161,1.406,1.1983,1.1845,0.8099,0.8757,1.0006,1.081,1.498,1.4404,119
DYNC2LI1,2.7022,2.9063,1.0435,0.9488,0.7051,0.762,0.9488,0.9679,1.1399,1.0802,18
DYNLL1,1.7174,1.597,1.4269,1.5106,1.1513,1.2326,0.8761,0.821,0.8169,0.8072,56
DYNLL2,1.8056,1.7381,1.2377,1.3269,1.2051,1.3113,0.8773,0.9121,0.9402,0.9569,15
DYNLRB1,3.5522,3.7772,1.1795,1.2396,0.4608,0.4994,0.5284,0.589,0.9843,0.9389,21
DYNLT1,3.0469,3.0861,1.1481,1.0807,0.6704,0.6224,0.7133,0.7392,0.9216,0.9756,11
DYNLT3,3.7198,3.5577,1.2541,1.3458,0.5082,0.5507,0.6488,0.7436,0.8808,0.9853,10
DYRK1A,2.1947,1.9819,1.5492,1.4883,1.0565,1.1084,0.7067,0.7419,0.8064,0.7637,10
DYRK2,1.3504,1.4288,1.0244,1.1494,1.0864,1.0197,0.9251,0.8768,1.7446,1.5191,3
DYSF,0.6277,0.6357,0.7029,0.5806,1.4111,1.3443,1.3572,1.3628,1.5941,1.5134,2
DZANK1,2.3193,2.2658,1.0088,1.1608,0.929,0.8897,1.1039,0.9096,1.1028,1.0816,1
DZIP3,0.6757,0.643,0.6131,0.566,0.7047,0.7816,1.0712,1.0926,2.996,2.321,31
E2F1,0.9541,1.0136,1.9895,1.8758,0.9319,0.9927,0.9393,0.81,1.2194,1.128,6
E2F2,0.6777,0.6084,2.7728,2.9234,0.8663,0.913,0.6164,0.6809,0.7637,0.8243,1
E2F3,0.8445,0.8051,1.8929,1.8542,0.8464,0.8897,0.7542,0.7348,1.2309,1.136,10
E2F4,1.8058,1.8503,2.0512,1.9862,0.7084,0.7716,0.7022,0.7117,0.8284,0.807,21
E2F6,0.6577,0.7225,0.797,0.8605,1.4346,1.4232,0.8048,0.9024,1.4593,1.2973,5
E2F7,0.591,0.3891,1.5225,1.4655,0.9301,1.0348,1.2703,1.3184,1.2774,1.2156,7
E2F8,0.7089,0.6809,1.9269,1.8655,0.9877,0.964,1.0154,0.9418,1.0353,1.0714,9
E4F1,0.6662,0.7949,0.9971,1.0953,1.1247,1.1806,1.0522,0.9875,1.6431,1.4828,22
EAF1,1.3225,1.5897,2.1956,2.2077,0.9629,0.997,0.6334,0.6229,0.8193,0.6873,11
EAPP,0.9803,1.1466,2.0625,1.951,0.9479,0.8091,0.4591,0.4909,1.6246,1.6208,13
EARS2,0.3484,0.3516,0.7638,0.7515,1.1419,1.1136,2.1415,2.0088,0.7131,0.678,51
EBAG9,0.3046,0.2311,0.2542,0.2462,0.8124,0.7669,1.8803,1.5953,2.7097,2.0688,10
EBI3,1.7953,1.2334,0.8246,0.8593,0.8974,0.8472,0.826,0.8358,2.0645,2.228,1
EBNA1BP2,0.4555,0.4994,0.3679,0.3852,2.4671,2.6434,0.719,0.7203,1.1638,1.1396,151
EBP,0.6757,0.6363,0.2216,0.2983,1.0876,1.1214,1.8416,1.6676,1.1222,1.3188,8
ECD,3.6067,3.9726,1.0973,1.1553,0.5581,0.6475,0.7249,0.8099,0.7606,0.798,14
ECE1,0.3624,0.3919,0.3473,0.3415,0.9811,0.974,1.6254,1.5945,2.1314,1.7619,131
ECE2,3.6144,4.4775,1.0561,1.2137,0.4174,0.5525,0.5028,0.4895,1.0363,0.892,8
ECH1,0.4596,0.4897,0.9149,0.9754,1.0472,0.9818,2.1726,1.89,0.7544,0.7187,214
ECHDC2,0.6093,0.7296,0.921,0.9777,1.0826,1.0408,1.9309,1.7874,0.7211,0.705,6
ECHS1,0.3219,0.305,0.889,0.9683,1.1272,1.1073,2.2399,1.9666,0.587,0.5428,384
ECI1,0.5094,0.5135,0.9973,1.0318,1.0774,1.0472,2.1123,1.8435,0.6677,0.6174,233
ECI2,0.3643,0.4649,0.804,0.9096,0.9631,0.8573,2.0649,1.7147,1.0345,0.9881,52
ECM1,1.6191,1.7295,1.0846,1.2112,0.7675,0.8219,1.1314,0.9584,1.7082,1.0813,12
ECSIT,0.5221,0.5343,0.4301,0.3503,1.0939,1.004,2.2906,2.0738,0.8688,0.9071,54
ECT2,0.6213,0.5587,0.7622,0.7178,0.9222,0.9549,1.3458,1.2732,2.1024,1.8032,70
EDC3,1.3988,1.4491,1.4218,1.4599,0.7315,0.7579,0.8278,0.8781,1.6723,1.4028,75
EDC4,0.8766,0.8515,1.3077,1.2009,0.7036,0.7575,0.9388,1.0239,2.0781,1.7302,273
EDEM1,0.4326,0.4297,0.749,0.7917,1.0813,1.0261,1.9685,1.6622,1.1315,1.1989,27
EDEM2,0.3117,0.313,0.6143,0.5867,1.2842,1.1184,1.7693,1.657,1.3678,1.2966,11
EDEM3,0.3764,0.3979,0.7619,0.7283,1.2007,1.118,1.7864,1.533,1.1581,1.3065,72
EDF1,2.3475,2.3057,2.5734,2.5426,0.5848,0.6858,0.4145,0.4342,0.5278,0.4847,138
EDRF1,1.9952,1.9208,1.2898,1.2167,0.7756,0.827,0.9633,1.0315,1.0195,1.1077,38
EEA1,0.4872,0.4894,1.5904,1.4789,0.7942,0.8148,1.5489,1.4742,1.1764,1.0093,431
EED,0.8657,0.8273,1.5484,1.4094,1.3312,1.3551,0.6734,0.6366,1.3906,1.2635,40
EEF1A1,4.2267,4.2466,1.4384,1.6387,0.45,0.5129,0.5182,0.524,0.4793,0.4762,1058
EEF1A2,3.9454,3.9148,1.5593,1.7154,0.4793,0.5443,0.5078,0.5167,0.5826,0.5704,373
EEF1B2,2.3096,2.1929,2.0303,2.2691,0.5462,0.642,0.6132,0.6278,0.7764,0.7987,306
EEF1D,2.3358,2.2403,1.907,1.9013,0.6094,0.6592,0.7126,0.7275,0.8404,0.8545,454
EEF1E1,0.8194,0.8441,1.125,0.9909,0.7895,0.804,0.9177,0.9482,2.3057,1.9804,18
EEF1G,2.2531,2.1288,1.9738,2.0849,0.5879,0.6545,0.678,0.6865,0.8315,0.8504,477
EEF2,4.3458,4.4223,1.4099,1.4566,0.4807,0.5198,0.4846,0.4949,0.4762,0.4783,1240
EEF2K,4.8803,5.0275,1.2133,1.3389,0.466,0.4836,0.3519,0.3903,0.3816,0.4133,26
EEFSEC,1.119,1.1233,2.1496,1.998,0.6562,0.7281,0.7384,0.8538,1.313,1.1126,37
EEPD1,0.4271,0.5644,0.405,0.4048,1.6474,1.6456,1.7613,1.6662,0.8255,0.8042,26
EFCAB11,1.0707,1.0589,0.9074,0.9235,0.9269,0.9549,1.6505,1.4599,1.1877,1.3113,1
