Protein.ID,Loc.Predicted,Loc.Confirmed,Loc.Assigned,M1F1A,M1F4A,M1F7A,M1F11A,M1F2B,M1F5B,M1F8B,M1F11B,M2F1A,M2F4A,M2F7A,M2F11A,M2F2B,M2F5B,M2F8B,M2F11B
At3g06960,unknown,unknown,"not classified",0.079,0.128667,0.295333,0.496667,0.0815,0.1275,0.3715,0.4195,0.143667,0.131,0.223667,0.501333,0.0485,0.1085,0.3175,0.5255
At2g20360,unknown,unknown,"not classified",0.144,0.239,0.311,0.306,0.14325,0.21925,0.31275,0.325,0.0791667,0.1875,0.347,0.3865,0.0982,0.221,0.3088,0.372
At1g31130,unknown,unknown,"not classified",0.167,0.322,0.287,0.223,0.191333,0.372,0.26,0.176667,0.0713333,0.371,0.336667,0.220667,0.121,0.379,0.284,0.216
At5g23850,unknown,unknown,"not classified",0.061,0.374,0.299,0.266,0.1205,0.309,0.3205,0.25,0.0555,0.3655,0.349,0.231,0.096,0.325,0.328,0.251
At5g58100,unknown,unknown,"not classified",0.244,0.259,0.248,0.249,0.305,0.232333,0.249333,0.213667,0.2116,0.2968,0.296,0.1957,0.264,0.248333,0.273444,0.214333
At2g30930,unknown,unknown,"not classified",0.237,0.196,0.246,0.322,0.368,0.2015,0.191,0.24,0.5635,0.1575,0.1385,0.14,0.4425,0.1695,0.2,0.188
At4g39840,unknown,unknown,"not classified",0.054,0.149,0.425,0.372,0.048,0.1845,0.4155,0.3525,0.0605,0.179,0.497,0.2635,0.083,0.253,0.401,0.2635
At1g09330,unknown,unknown,"not classified",0.172333,0.336333,0.292667,0.199,0.2315,0.2995,0.282,0.1875,0.12175,0.314,0.37475,0.1895,0.0926667,0.328667,0.357667,0.221333
At2g04280,unknown,unknown,"not classified",0.0862,0.2816,0.3566,0.2754,0.0806667,0.301833,0.359,0.25875,0.048,0.417,0.3245,0.2105,0.103667,0.336667,0.334333,0.225667
At5g20090,unknown,unknown,"not classified",0.0385,0.16275,0.30975,0.48925,0.1455,0.195,0.2825,0.3765,0.03125,0.1425,0.335,0.49125,0.0596667,0.21,0.307,0.423667
At2g18690,unknown,unknown,"not classified",0.4195,0.1965,0.175,0.20875,0.265,0.136,0.166,0.434,0.356167,0.223833,0.201167,0.2185,0.417,0.193,0.194,0.19575
At2g27730,unknown,unknown,"not classified",0.0556667,0.173667,0.320111,0.450556,0.12625,0.1975,0.25425,0.42225,0.0361429,0.138286,0.336714,0.489143,0.06,0.17425,0.31325,0.4525
At5g39410,unknown,unknown,"not classified",0.229,0.269333,0.229333,0.272167,0.3152,0.1926,0.234,0.2582,0.197667,0.249111,0.257444,0.295778,0.232375,0.21375,0.259875,0.294
At1g52780,unknown,unknown,"not classified",0.116,0.345333,0.322333,0.216222,0.172556,0.358778,0.296333,0.172222,0.0960769,0.399308,0.315385,0.189154,0.1518,0.3624,0.2977,0.1883
At5g11730,unknown,unknown,"not classified",0.0703333,0.267,0.353667,0.308333,0.100333,0.323333,0.313333,0.262667,0.066,0.330917,0.34225,0.260833,0.08475,0.32075,0.330333,0.26375
At4g17120,unknown,unknown,"not classified",0.36125,0.18525,0.2015,0.25175,0.339333,0.186333,0.223667,0.250667,0.300667,0.275,0.244667,0.179667,0.324667,0.118333,0.247333,0.309667
At2g32240,unknown,unknown,"not classified",0.24625,0.24725,0.2305,0.27625,0.3514,0.1946,0.2246,0.229,0.270857,0.240429,0.239714,0.248857,0.359667,0.219333,0.220667,0.201
