Protein.ID,Loc.Predicted,Loc.Confirmed,Loc.Assigned,M1F1A,M1F4A,M1F7A,M1F11A,M1F2B,M1F5B,M1F8B,M1F11B,M2F1A,M2F4A,M2F7A,M2F11A,M2F2B,M2F5B,M2F8B,M2F11B
At4g31140,"predicted PM","predicted PM","plasma membrane",0.223,0.276,0.2225,0.279,0.3145,0.251,0.1975,0.237,0.148,0.2215,0.263,0.368,0.203,0.198,0.271,0.328
At5g58090,"predicted PM","predicted PM","plasma membrane",0.1995,0.313,0.2115,0.2755,0.304,0.230333,0.221,0.245333,0.149333,0.2595,0.264667,0.3265,0.189,0.2176,0.2632,0.3304
At3g13560,"predicted PM","predicted PM","plasma membrane",0.19,0.27,0.255,0.285,0.268,0.2225,0.221,0.289,0.1134,0.246,0.2848,0.3558,0.152,0.1955,0.2835,0.369
At1g27950,"predicted PM","predicted PM","plasma membrane",0.155571,0.331,0.234714,0.278786,0.29175,0.2255,0.23375,0.2485,0.118,0.24625,0.287,0.3485,0.1665,0.194,0.298,0.3415
At4g25240,"predicted PM","predicted PM","plasma membrane",0.188286,0.300429,0.234714,0.276429,0.2766,0.2254,0.2252,0.2728,0.102,0.316,0.263,0.319,0.16775,0.215,0.27325,0.344
At4g12420,"predicted PM","predicted PM","plasma membrane",0.1685,0.2987,0.2296,0.3029,0.287778,0.202111,0.220778,0.289222,0.1347,0.2421,0.2875,0.3355,0.1748,0.2211,0.2846,0.3196
At5g55730,"predicted PM","predicted PM","plasma membrane",0.179,0.276,0.244,0.301,0.292,0.18,0.229,0.299,0.14275,0.22125,0.273,0.363,0.149,0.201,0.274333,0.375333
At3g60900,"predicted PM","predicted PM","plasma membrane",0.178,0.289667,0.208333,0.323667,0.30725,0.17975,0.229,0.28375,0.126,0.248,0.268,0.357667,0.152,0.171,0.3175,0.3595
At4g12730,"predicted PM","predicted PM","plasma membrane",0.199,0.282,0.244,0.276,0.296667,0.223,0.211333,0.269333,0.1362,0.2598,0.2678,0.3362,0.176,0.2005,0.299,0.32475
At2g04780,"predicted PM","predicted PM","plasma membrane",0.165,0.332,0.216,0.287,0.3075,0.1895,0.224,0.279,0.125,0.281,0.323,0.27,0.18,0.184,0.315,0.321
At2g45470,"predicted PM","predicted PM","plasma membrane",0.169222,0.290444,0.220111,0.319778,0.3048,0.1868,0.233,0.2748,0.1402,0.2367,0.2698,0.3533,0.181857,0.207571,0.266714,0.344
At2g37170,"predicted PM","predicted PM","plasma membrane",0.163667,0.292,0.265667,0.279,0.332,0.221,0.216,0.2305,0.1385,0.2515,0.2735,0.3365,0.2,0.288,0.245,0.268
At4g35100,"predicted PM","predicted PM","plasma membrane",0.166737,0.293,0.234789,0.305474,0.275154,0.227308,0.204077,0.293231,0.1382,0.2568,0.2684,0.3366,0.153667,0.218,0.265,0.363
At3g47950,"predicted PM","predicted PM","plasma membrane",0.173,0.280667,0.237,0.309333,0.242,0.226333,0.216333,0.315333,0.165,0.242429,0.276,0.316286,0.209,0.2262,0.2456,0.3192
At3g07160,"predicted PM","predicted PM","plasma membrane",0.1565,0.297786,0.268429,0.277357,0.246937,0.24025,0.25175,0.261063,0.126393,0.242929,0.312786,0.318,0.176278,0.222889,0.284333,0.316278
At5g62670,"predicted PM","predicted PM","plasma membrane",0.197333,0.293,0.226333,0.283333,0.243,0.263,0.232,0.262,0.149,0.23175,0.254,0.36475,0.126,0.162,0.326,0.386
At2g36910,unknown,unknown,"plasma membrane",0.17,0.316,0.253,0.261,0.292,0.244,0.204,0.26,0.206,0.241,0.261,0.292,0.172,0.203,0.284,0.341
At3g28860,unknown,unknown,"plasma membrane",0.1898,0.2818,0.2246,0.3034,0.297857,0.205857,0.221571,0.274857,0.148385,0.226154,0.264615,0.360846,0.1689,0.198,0.2674,0.3655
At2g47000,unknown,unknown,"plasma membrane",0.167111,0.327333,0.228222,0.277333,0.281826,0.209696,0.233565,0.274783,0.138556,0.246444,0.285333,0.329833,0.164286,0.207357,0.2845,0.343929
At2g39480,unknown,unknown,"plasma membrane",0.18075,0.2975,0.25025,0.27175,0.293,0.233,0.228,0.246,0.177,0.26475,0.27675,0.2815,0.184,0.216667,0.294667,0.305
At1g02520,unknown,unknown,"plasma membrane",0.154286,0.312571,0.235714,0.297143,0.275636,0.226455,0.223818,0.273909,0.1504,0.2514,0.274467,0.3238,0.175111,0.217111,0.283556,0.324111
At2g36380,unknown,unknown,"plasma membrane",0.181,0.283,0.241,0.295,0.274667,0.215,0.225167,0.284833,0.135364,0.243818,0.296182,0.324455,0.183889,0.213889,0.272889,0.329333
At1g15210,unknown,unknown,"plasma membrane",0.1652,0.3086,0.2436,0.283,0.259167,0.255333,0.2285,0.256833,0.140444,0.260222,0.292444,0.306889,0.16,0.224,0.265,0.351375
At1g59870,unknown,unknown,"plasma membrane",0.166,0.3092,0.2415,0.2833,0.250417,0.240917,0.251083,0.2575,0.110267,0.258467,0.320133,0.311333,0.158067,0.2218,0.301,0.3192
At3g53480,unknown,unknown,"plasma membrane",0.232,0.281,0.219,0.268,0.233,0.239,0.248667,0.279333,0.129,0.241,0.283667,0.346333,0.193,0.217,0.271,0.32
At5g49760,unknown,unknown,"plasma membrane",0.17175,0.258,0.25425,0.3165,0.269667,0.224333,0.233,0.2725,0.1455,0.2365,0.2845,0.333667,0.184,0.23775,0.271,0.307
At4g08850,unknown,unknown,"plasma membrane",0.177667,0.305,0.228,0.289,0.247667,0.208667,0.248333,0.295333,0.154,0.2465,0.268667,0.330833,0.1655,0.22225,0.30675,0.3055
At3g23750,unknown,unknown,"plasma membrane",0.182,0.295,0.204,0.318,0.277667,0.226222,0.224333,0.271778,0.1722,0.243,0.2676,0.3172,0.159143,0.225571,0.298143,0.317429
At2g37050,unknown,unknown,"plasma membrane",0.1795,0.318,0.2315,0.271,0.236,0.2545,0.24275,0.26625,0.144,0.223,0.287,0.346,0.156,0.238,0.2535,0.3525
At1g56140,unknown,unknown,"plasma membrane",0.181727,0.295,0.238818,0.284636,0.290667,0.192667,0.229333,0.287,0.15725,0.258583,0.272917,0.3115,0.169667,0.237,0.275167,0.318667
At3g14840,unknown,unknown,"plasma membrane",0.163,0.2928,0.2607,0.2833,0.237875,0.24225,0.2435,0.276375,0.132429,0.261429,0.275429,0.330429,0.161111,0.221111,0.292444,0.325222
At3g17840,unknown,unknown,"plasma membrane",0.169,0.29925,0.22725,0.30425,0.27275,0.228,0.2375,0.26175,0.152875,0.247875,0.272375,0.32675,0.152625,0.204875,0.2895,0.35325
At3g24660,unknown,unknown,"plasma membrane",0.155,0.291,0.234,0.319,0.266333,0.219333,0.237333,0.277667,0.1715,0.255,0.255,0.319,0.168,0.244667,0.276,0.311667
At1g27190,unknown,unknown,"plasma membrane",0.182,0.308,0.231667,0.278333,0.271,0.23975,0.21575,0.27325,0.1368,0.256,0.2792,0.3284,0.180333,0.211,0.293333,0.315
At1g06840,unknown,unknown,"plasma membrane",0.1658,0.3106,0.242,0.2814,0.2775,0.237125,0.223375,0.26175,0.14225,0.25625,0.3,0.30125,0.178,0.2426,0.2936,0.2858
At3g28450,unknown,unknown,"plasma membrane",0.1905,0.3115,0.232667,0.265333,0.276,0.229429,0.214714,0.279714,0.13225,0.25125,0.27425,0.342,0.1816,0.1952,0.289,0.3336
At3g02880,unknown,unknown,"plasma membrane",0.154,0.31525,0.245,0.286,0.233,0.2236,0.2616,0.2816,0.142,0.241667,0.280167,0.336,0.157167,0.223833,0.2825,0.336333
At3g51740,unknown,unknown,"plasma membrane",0.148286,0.290429,0.252714,0.308857,0.247667,0.233333,0.213333,0.306,0.0935,0.217125,0.292625,0.3965,0.15225,0.20025,0.2905,0.357
At4g35230,unknown,unknown,"plasma membrane",0.191,0.3018,0.2332,0.2736,0.3245,0.217,0.2075,0.251333,0.16475,0.2485,0.287,0.2995,0.175,0.23775,0.2595,0.3275
At3g51550,unknown,unknown,"plasma membrane",0.163,0.31,0.249,0.2782,0.284667,0.2155,0.227333,0.2725,0.1728,0.2556,0.274,0.2978,0.206,0.24,0.2708,0.283
At3g24550,unknown,unknown,"plasma membrane",0.13,0.301,0.271,0.299,0.257,0.2345,0.226,0.2825,0.151667,0.213667,0.28,0.354667,0.148667,0.184,0.293,0.374667
At5g50000,unknown,unknown,"plasma membrane",0.168,0.299667,0.250667,0.282,0.258,0.259,0.2145,0.269,0.161667,0.25,0.269333,0.319,0.13,0.236,0.285,0.349
At1g11330,unknown,unknown,"plasma membrane",0.1892,0.279,0.2424,0.2896,0.292429,0.214857,0.228571,0.264286,0.154667,0.239333,0.277667,0.328,0.17725,0.20825,0.27225,0.34225
At1g76040,unknown,unknown,"plasma membrane",0.176636,0.286,0.239091,0.298182,0.269167,0.249833,0.202833,0.278167,0.161125,0.280313,0.281063,0.277625,0.204,0.274778,0.244778,0.276667
At4g23650,unknown,unknown,"plasma membrane",0.214333,0.279333,0.237667,0.268667,0.3,0.234,0.201,0.2645,0.2455,0.2295,0.2465,0.278,0.183333,0.278333,0.242333,0.296333
At5g17760,unknown,unknown,"plasma membrane",0.2175,0.277,0.22,0.2855,0.279,0.228,0.23,0.264,0.16,0.258,0.26625,0.31575,0.2395,0.22,0.238,0.302
At4g25900,unknown,unknown,"plasma membrane",0.1934,0.3106,0.2254,0.2702,0.2415,0.2005,0.246,0.3115,0.1285,0.1945,0.3295,0.3475,0.167,0.210333,0.272667,0.350667
At1g13280,unknown,unknown,"plasma membrane",0.175,0.256,0.305,0.263667,0.224333,0.228,0.255,0.292333,0.1295,0.2475,0.2595,0.363,0.1585,0.2385,0.28,0.323
At3g25780,unknown,unknown,"plasma membrane",0.1478,0.2464,0.2938,0.3124,0.256,0.2365,0.2575,0.2505,0.122,0.2148,0.274,0.3896,0.114,0.177667,0.334667,0.373667
At3g25290,unknown,unknown,"plasma membrane",0.1446,0.298,0.2452,0.3126,0.166,0.283,0.2425,0.308,0.128667,0.269,0.27,0.332,0.192,0.222,0.27,0.3165
At5g57800,unknown,unknown,"plasma membrane",0.18025,0.3065,0.258,0.2555,0.23875,0.227,0.26025,0.274,0.109667,0.249,0.293,0.348333,0.168,0.2975,0.2945,0.240167
At1g14830,unknown,unknown,"plasma membrane",0.170333,0.274333,0.244667,0.31,0.288,0.2545,0.221667,0.235833,0.194444,0.270111,0.266556,0.268778,0.204125,0.22825,0.269625,0.297625
At3g60190,unknown,unknown,"plasma membrane",0.181,0.285,0.250667,0.283,0.301,0.235,0.227,0.237,0.19475,0.257,0.2565,0.29125,0.2234,0.2308,0.255,0.2902
At1g32090,unknown,unknown,"plasma membrane",0.155667,0.306667,0.240333,0.297333,0.252222,0.223222,0.259444,0.265111,0.118875,0.23075,0.319,0.3315,0.138,0.1992,0.3292,0.3336
At1g30360,unknown,unknown,"plasma membrane",0.18875,0.27875,0.23925,0.293063,0.266929,0.220429,0.226286,0.2865,0.207,0.23125,0.26,0.30175,0.2028,0.189,0.2575,0.3507
At4g31430,unknown,unknown,"plasma membrane",0.228,0.303,0.222,0.247,0.244333,0.276,0.234667,0.245,0.0955,0.204,0.389,0.3105,0.1,0.209,0.36,0.33
At5g45470,unknown,unknown,"plasma membrane",0.181,0.319,0.239667,0.260167,0.358,0.2186,0.1884,0.235,0.1539,0.2588,0.2896,0.2976,0.18775,0.22875,0.29025,0.2935
At3g47200,unknown,unknown,"plasma membrane",0.1782,0.2554,0.222,0.3444,0.327,0.225,0.209,0.239,0.174,0.2838,0.2608,0.2816,0.2325,0.26975,0.231,0.26725
At1g14870,unknown,unknown,"plasma membrane",0.167,0.325125,0.23075,0.27725,0.271,0.229,0.2455,0.2545,0.192,0.227,0.245,0.335,0.1365,0.2055,0.2715,0.3865
At5g45480,unknown,unknown,"plasma membrane",0.178,0.314,0.237667,0.270667,0.26225,0.23875,0.23,0.2685,0.145,0.226333,0.291667,0.337333,0.198,0.234,0.26075,0.3075
At1g03220,unknown,unknown,"plasma membrane",0.16525,0.26275,0.28225,0.2905,0.240333,0.240333,0.223,0.296333,0.159571,0.265,0.312571,0.263,0.1942,0.2394,0.2966,0.2696
At4g20830,unknown,unknown,"plasma membrane",0.174417,0.290917,0.246333,0.28825,0.2723,0.207,0.2321,0.2887,0.1305,0.2525,0.283409,0.3335,0.165214,0.212929,0.286214,0.335643
At2g43610,unknown,unknown,"plasma membrane",0.1605,0.2675,0.223,0.3495,0.217333,0.237,0.261333,0.284333,0.1345,0.2335,0.2995,0.333,0.217,0.25,0.255,0.277
At5g04885,unknown,unknown,"plasma membrane",0.218125,0.27375,0.220375,0.287625,0.277857,0.224714,0.198,0.299571,0.124208,0.234042,0.281958,0.359583,0.157385,0.197154,0.286077,0.359154
At5g42080,unknown,unknown,"plasma membrane",0.1916,0.3045,0.2417,0.2622,0.300133,0.230067,0.2296,0.240333,0.1735,0.25575,0.274,0.296667,0.2093,0.2263,0.2631,0.3011
At2g26300,unknown,unknown,"plasma membrane",0.17,0.285,0.273,0.271,0.264,0.2525,0.218,0.2655,0.1382,0.236,0.2856,0.3404,0.147,0.217,0.258,0.379
At5g06320,unknown,unknown,"plasma membrane",0.161,0.31,0.236,0.293,0.2686,0.2144,0.2614,0.2556,0.0975714,0.254429,0.351571,0.296429,0.1446,0.2434,0.3016,0.3106
At2g17440,unknown,unknown,"plasma membrane",0.112,0.254,0.303,0.331,0.247,0.2295,0.2265,0.2975,0.088,0.253,0.303,0.356,0.153,0.211,0.339,0.296
At5g07910,unknown,unknown,"plasma membrane",0.159333,0.302,0.237,0.301333,0.318667,0.231,0.226,0.224333,0.13675,0.2335,0.2805,0.34925,0.1545,0.228,0.2655,0.352
At1g14850,unknown,unknown,"plasma membrane",0.1855,0.3065,0.2475,0.2605,0.2018,0.2662,0.2542,0.2778,0.14375,0.29425,0.28625,0.276,0.1795,0.253,0.3005,0.267
At2g38530,unknown,unknown,"plasma membrane",0.136875,0.2625,0.281625,0.318875,0.236333,0.215333,0.25,0.298333,0.102,0.267,0.333667,0.297667,0.19,0.219,0.297,0.293
At4g35790,unknown,unknown,"plasma membrane",0.185,0.319,0.244,0.252,0.330444,0.200444,0.208889,0.26,0.122667,0.203333,0.294333,0.379667,0.181667,0.222333,0.3,0.295667
At4g11850,unknown,unknown,"plasma membrane",0.2245,0.2945,0.24,0.2415,0.270667,0.239333,0.208,0.282,0.2415,0.265,0.2535,0.24,0.2375,0.2185,0.265,0.279
At5g04930,unknown,unknown,"plasma membrane",0.235,0.282,0.227,0.256,0.247,0.26,0.245,0.248,0.174,0.2485,0.2535,0.324,0.214333,0.218,0.289333,0.278
At3g23400,unknown,unknown,"plasma membrane",0.14,0.2375,0.278,0.3445,0.247,0.218667,0.242333,0.291667,0.141,0.199,0.295,0.364,0.099,0.23,0.338,0.333
At1g22280,unknown,unknown,"plasma membrane",0.1574,0.3068,0.2608,0.2746,0.247375,0.249875,0.22975,0.27325,0.17,0.264,0.287,0.279,0.147667,0.2435,0.279,0.329833
At4g36750,unknown,unknown,"plasma membrane",0.248,0.281143,0.234143,0.236714,0.311,0.245,0.202429,0.241714,0.245667,0.264667,0.231,0.258333,0.2278,0.2144,0.2614,0.2966
At5g65270,unknown,unknown,"plasma membrane",0.2445,0.2785,0.2245,0.2525,0.269,0.251,0.21,0.2705,0.194333,0.251,0.283667,0.271,0.213,0.228,0.262,0.2975
At2g23810,unknown,unknown,"plasma membrane",0.155667,0.296333,0.252,0.295667,0.274333,0.221,0.267667,0.237,0.1095,0.265375,0.316875,0.308125,0.138667,0.204,0.326333,0.331
At3g09740,unknown,unknown,"plasma membrane",0.163167,0.304667,0.230333,0.301667,0.304,0.2116,0.2216,0.2624,0.122,0.243167,0.305667,0.329,0.165125,0.212875,0.279625,0.342375
At1g30400,"known vacuole","known vacuole",vacuole,0.527625,0.184875,0.132125,0.155625,0.491833,0.143,0.177167,0.188,0.463667,0.160333,0.169667,0.206333,0.46675,0.146,0.19175,0.1955
At2g34660,"known vacuole","known vacuole",vacuole,0.512714,0.189857,0.133143,0.164143,0.501,0.1664,0.1666,0.1662,0.4852,0.1842,0.1488,0.1816,0.4585,0.1395,0.18825,0.214
At1g15690,"known vacuole","known vacuole",vacuole,0.507318,0.187091,0.130636,0.174864,0.564,0.135,0.135375,0.165562,0.474087,0.182652,0.155435,0.188043,0.49575,0.1425,0.16025,0.201333
At2g41560,"known vacuole","known vacuole",vacuole,0.498,0.156,0.205,0.14,0.54,0.1505,0.144,0.166,0.570375,0.156625,0.116,0.157,0.481667,0.136333,0.1845,0.197667
At2g21410,"predicted vacuole","predicted vacuole",vacuole,0.591,0.165,0.108,0.136,0.571333,0.120333,0.134667,0.174,0.537875,0.163875,0.1375,0.161,0.4565,0.158,0.1835,0.2025
At4g39080,"predicted vacuole","predicted vacuole",vacuole,0.4318,0.2,0.171,0.19725,0.5685,0.14325,0.138833,0.149667,0.531867,0.163933,0.1426,0.1616,0.4672,0.1392,0.1861,0.2074
At3g28710,"predicted vacuole","predicted vacuole",vacuole,0.4835,0.196667,0.1565,0.163167,0.548286,0.156714,0.139,0.156,0.585143,0.167143,0.119286,0.128429,0.573167,0.126,0.148667,0.152167
At1g78900,"predicted vacuole","predicted vacuole",vacuole,0.560389,0.172167,0.123444,0.143889,0.581875,0.128625,0.130083,0.159542,0.574256,0.158205,0.131,0.136718,0.53025,0.14365,0.15755,0.1685
At1g12840,"predicted vacuole","predicted vacuole",vacuole,0.5595,0.1755,0.112,0.1535,0.50675,0.1545,0.146,0.19325,0.5748,0.159,0.1272,0.1392,0.516,0.150667,0.165,0.168333
At3g58730,"predicted vacuole","predicted vacuole",vacuole,0.44,0.2076,0.1576,0.1948,0.371,0.196,0.201,0.232,0.522083,0.1765,0.148417,0.152917,0.533167,0.154167,0.152,0.160333
At4g11150,"predicted vacuole","predicted vacuole",vacuole,0.497,0.19,0.151667,0.161333,0.561143,0.131143,0.125143,0.182714,0.612667,0.154333,0.119,0.113556,0.5436,0.1422,0.159,0.1552
At3g42050,"predicted vacuole","predicted vacuole",vacuole,0.4925,0.2005,0.1475,0.15975,0.531,0.1455,0.135,0.18825,0.571625,0.17325,0.142375,0.113,0.548667,0.130667,0.165667,0.154833
At3g62700,unknown,unknown,vacuole*,0.238,0.222,0.29,0.25,0.5595,0.13875,0.141,0.161,0.504333,0.18475,0.152417,0.15875,0.456,0.169,0.18075,0.19425
At3g13080,unknown,unknown,vacuole*,0.46075,0.204,0.15975,0.17525,0.511,0.158167,0.159333,0.171333,0.4036,0.1848,0.2228,0.1888,0.483,0.1585,0.1675,0.19075
At2g47800,unknown,unknown,vacuole,0.5035,0.1775,0.144,0.1755,0.491167,0.1365,0.172333,0.2,0.48,0.18175,0.16,0.178667,0.442375,0.15725,0.187875,0.2125
At1g04120,unknown,unknown,vacuole,0.56,0.16425,0.12825,0.14725,0.5975,0.135,0.1225,0.1445,0.537667,0.181,0.159667,0.121667,0.470333,0.160667,0.192333,0.177
At3g21250,unknown,unknown,vacuole,0.471,0.1875,0.158,0.184,0.523,0.1255,0.1585,0.1925,0.505,0.1705,0.151,0.174,0.3515,0.214,0.244,0.1905
At5g39040,unknown,unknown,vacuole*,0.4135,0.2145,0.1675,0.2045,0.5068,0.1576,0.1632,0.1726,0.431545,0.170636,0.176727,0.221364,0.4254,0.1532,0.2116,0.21
At1g54000,unknown,unknown,vacuole,0.405,0.193667,0.205,0.196667,0.3924,0.1569,0.2192,0.2316,0.415286,0.160857,0.212714,0.211286,0.3274,0.17,0.2412,0.2614
At2g02040,unknown,unknown,vacuole,0.588,0.1695,0.112,0.131,0.545333,0.141333,0.135667,0.177333,0.51325,0.16825,0.143,0.1755,0.4915,0.1605,0.164,0.184
At5g09400,unknown,unknown,vacuole,0.5515,0.181,0.1205,0.1475,0.539,0.1655,0.141,0.155,0.543,0.1645,0.158,0.1345,0.519667,0.142667,0.157,0.180667
At1g53210,unknown,unknown,vacuole,0.504167,0.194,0.129167,0.172667,0.549,0.133,0.145,0.172,0.561,0.161167,0.1305,0.147333,0.525,0.128,0.16,0.187333
At1g63010,unknown,unknown,vacuole,0.499,0.193,0.136,0.172,0.5205,0.15025,0.14625,0.18275,0.5305,0.156333,0.148833,0.164333,0.41225,0.15725,0.2105,0.22
At5g39510,unknown,unknown,vacuole,0.5015,0.1925,0.131,0.175,0.632,0.122,0.117,0.129,0.5015,0.168,0.1595,0.1705,0.542,0.154,0.16,0.144
