Protein,Cluster
YWHAB,mclust13
YWHAE,mclust13
YWHAG,mclust13
YWHAH,mclust13
ZFAND1,mclust13
ZWINT,mclust13
ACAD9,mclust14
ATP5S,mclust14
ATPAF1,mclust14
C1orf226,mclust14
C1QBP,mclust14
CASK,mclust14
CLPB,mclust14
CMC2,mclust14
COQ9,mclust14
CPT2,mclust14
CTNNB1,mclust14
CTNND1,mclust14
DLG1,mclust14
DTNB,mclust14
EPB41,mclust14
ERAL1,mclust14
ERBB2IP,mclust14
ETFA,mclust14
FARP2,mclust14
FASTKD1,mclust14
FASTKD2,mclust14
FASTKD5,mclust14
GCSH,mclust14
GLS,mclust14
GTF2IRD1,mclust14
GUF1,mclust14
HIP1,mclust14
JUP,mclust14
L2HGDH,mclust14
LEMD2,mclust14
LRRC1,mclust14
LYRM1,mclust14
LYRM7,mclust14
MACROD1,mclust14
MGME1,mclust14
MMAB,mclust14
MPP6,mclust14
MPP7,mclust14
MRPL14,mclust14
MTERFD2,mclust14
MTHFD1L,mclust14
NDUFAB1,mclust14
NDUFAF7,mclust14
NSUN4,mclust14
NUBPL,mclust14
PDK1,mclust14
PDSS1,mclust14
PDSS2,mclust14
PKP2,mclust14
PKP4,mclust14
PTCD2,mclust14
PTGES2,mclust14
PYCR1,mclust14
PYCR2,mclust14
RACGAP1,mclust14
SCRIB,mclust14
SNTB2,mclust14
SSBP1,mclust14
SUPV3L1,mclust14
TARS2,mclust14
TBRG4,mclust14
TRAP1,mclust14
TRMT10C,mclust14
TRMT2B,mclust14
TUFM,mclust14
UTRN,mclust14
WARS2,mclust14
VWA8,mclust14
YBEY,mclust14
ABCB10,mclust15
ABCB7,mclust15
ABCB8,mclust15
ADCK1,mclust15
ADCK3,mclust15
ADCK4,mclust15
AFG3L2,mclust15
AGK,mclust15
AGPAT5,mclust15
AIFM1,mclust15
AKAP1,mclust15
APOO,mclust15
APOOL,mclust15
ARMC10,mclust15
ARMCX3,mclust15
ATAD1,mclust15
ATAD3A,mclust15
ATAD3B,mclust15
ATP5A1,mclust15
ATP5B,mclust15
ATP5C1,mclust15
ATP5D,mclust15
ATP5F1,mclust15
ATP5H,mclust15
ATP5I,mclust15
ATP5J,mclust15
ATP5O,mclust15
ATP5SL,mclust15
BAK1,mclust15
BBC3,mclust15
BCL2L1,mclust15
BCL2L13,mclust15
BCS1L,mclust15
BDH1,mclust15
BNIP3,mclust15
C11orf83,mclust15
C12orf73,mclust15
C17orf80,mclust15
C19orf52,mclust15
C19orf70,mclust15
C2orf47,mclust15
C3orf33,mclust15
C4orf29,mclust15
C9orf89,mclust15
CCDC109B,mclust15
CCDC127,mclust15
CCDC51,mclust15
CCDC90B,mclust15
CEP128,mclust15
CHCHD3,mclust15
CHCHD6,mclust15
CHDH,mclust15
CISD1,mclust15
COA1,mclust15
COA3,mclust15
COMTD1,mclust15
COQ2,mclust15
COX10,mclust15
COX11,mclust15
COX14,mclust15
COX15,mclust15
COX16,mclust15
COX18,mclust15
COX20,mclust15
COX4I1,mclust15
COX5B,mclust15
COX6B1,mclust15
COX6C,mclust15
COX7A2,mclust15
COX7A2L,mclust15
COX7B,mclust15
COX7C,mclust15
CPT1A,mclust15
CYC1,mclust15
DHODH,mclust15
DNAJA3,mclust15
DNAJC11,mclust15
DNAJC19,mclust15
DNAJC30,mclust15
ECSIT,mclust15
ETFDH,mclust15
EXD2,mclust15
EXOG,mclust15
FAM162A,mclust15
FAM173A,mclust15
FAM173B,mclust15
FAM210A,mclust15
FAM73A,mclust15
FAM73B,mclust15
FBXL4,mclust15
FOXRED1,mclust15
FUNDC2,mclust15
GDAP1,mclust15
GHITM,mclust15
GPAM,mclust15
GPD2,mclust15
GTPBP6,mclust15
GTPBP8,mclust15
HADHA,mclust15
HADHB,mclust15
HAX1,mclust15
HCCS,mclust15
HSDL1,mclust15
IMMP2L,mclust15
IMMT,mclust15
LETM1,mclust15
Mar-02,mclust15
Mar-05,mclust15
MAVS,mclust15
MCL1,mclust15
MCU,mclust15
MCUR1,mclust15
MFF,mclust15
MFN1,mclust15
MFN2,mclust15
MGST3,mclust15
MICU1,mclust15
MICU2,mclust15
MIEF1,mclust15
MKKS,mclust15
MPV17L2,mclust15
MRS2,mclust15
MTCH1,mclust15
MTCH2,mclust15
MT-CO1,mclust15
MT-CO2,mclust15
MTFR1,mclust15
MTFR1L,mclust15
MTFR2,mclust15
MTPAP,mclust15
MTX1,mclust15
MTX2,mclust15
MTX3,mclust15
MUL1,mclust15
MYO19,mclust15
NDUFA10,mclust15
NDUFA12,mclust15
NDUFA2,mclust15
NDUFA3,mclust15
NDUFA4,mclust15
NDUFA5,mclust15
NDUFA8,mclust15
NDUFAF1,mclust15
NDUFAF2,mclust15
NDUFAF3,mclust15
NDUFAF4,mclust15
NDUFB1,mclust15
NDUFB10,mclust15
NDUFB11,mclust15
NDUFB3,mclust15
NDUFB4,mclust15
NDUFB5,mclust15
NDUFB6,mclust15
NDUFB7,mclust15
NDUFB8,mclust15
NDUFB9,mclust15
NDUFC2,mclust15
NDUFS1,mclust15
NDUFS2,mclust15
NDUFS3,mclust15
NDUFS4,mclust15
NDUFS5,mclust15
NDUFS6,mclust15
NDUFS7,mclust15
NDUFS8,mclust15
NDUFV1,mclust15
NDUFV2,mclust15
NDUFV3,mclust15
NLRX1,mclust15
NME3,mclust15
NNT,mclust15
OCIAD1,mclust15
OCIAD2,mclust15
ODF2,mclust15
OMA1,mclust15
OPA1,mclust15
OXA1L,mclust15
PARL,mclust15
PDF,mclust15
PET117,mclust15
PGAM5,mclust15
PGS1,mclust15
PHB,mclust15
PHB2,mclust15
PISD,mclust15
PLGRKT,mclust15
PNKD,mclust15
PNPLA8,mclust15
PTPMT1,mclust15
RDH13,mclust15
RHOT1,mclust15
RHOT2,mclust15
RMDN2,mclust15
RMDN3,mclust15
RMND1,mclust15
SAMM50,mclust15
SCCPDH,mclust15
SCO1,mclust15
SCO2,mclust15
SDHA,mclust15
SDHB,mclust15
SERAC1,mclust15
SETD9,mclust15
SFXN1,mclust15
SFXN2,mclust15
SFXN3,mclust15
SFXN4,mclust15
SLC25A1,mclust15
SLC25A12,mclust15
SLC25A13,mclust15
SLC25A15,mclust15
SLC25A19,mclust15
SLC25A22,mclust15
SLC25A24,mclust15
SLC25A25,mclust15
SLC25A3,mclust15
SLC25A35,mclust15
SLC25A36,mclust15
SLC25A46,mclust15
SLC25A5,mclust15
SLC25A6,mclust15
SLC30A9,mclust15
SMIM12,mclust15
SMIM4,mclust15
SPG7,mclust15
SQRDL,mclust15
STOML2,mclust15
SURF1,mclust15
SYNJ2BP,mclust15
TAMM41,mclust15
TDRKH,mclust15
TFAM,mclust15
TIMM10,mclust15
TIMM17B,mclust15
TIMM21,mclust15
TIMM22,mclust15
TIMM44,mclust15
TIMM50,mclust15
TIMMDC1,mclust15
TMEM11,mclust15
TMEM126A,mclust15
TMEM126B,mclust15
TMEM141,mclust15
TMEM177,mclust15
TMEM186,mclust15
TMEM223,mclust15
TMEM65,mclust15
TMEM70,mclust15
TOMM20,mclust15
TOMM22,mclust15
TOMM40,mclust15
TOMM5,mclust15
TOMM70A,mclust15
TRABD,mclust15
TSPO,mclust15
UQCC1,mclust15
UQCR10,mclust15
UQCRB,mclust15
UQCRC1,mclust15
UQCRC2,mclust15
UQCRFS1,mclust15
UQCRH,mclust15
UQCRQ,mclust15
USMG5,mclust15
USP30,mclust15
VDAC1,mclust15
VDAC2,mclust15
VDAC3,mclust15
YME1L1,mclust15
ABCD3,mclust2
ABHD12,mclust2
ABHD2,mclust2
ABHD6,mclust2
ACBD4,mclust2
ACBD5,mclust2
ACSL3,mclust2
ADAM15,mclust2
ADAM9,mclust2
ADIPOR2,mclust2
AGPAT3,mclust2
AGPAT6,mclust2
AGPAT9,mclust2
ALDH3A2,mclust2
ALG1,mclust2
ALG11,mclust2
ALG3,mclust2
ALG5,mclust2
ALG6,mclust2
AMIGO2,mclust2
ANKRD46,mclust2
ANO10,mclust2
ANO6,mclust2
ANO8,mclust2
APH1A,mclust2
AREL1,mclust2
ARL13B,mclust2
ARV1,mclust2
ASPH,mclust2
ATP11A,mclust2
ATP11C,mclust2
ATP13A1,mclust2
ATP13A3,mclust2
ATP2A2,mclust2
ATP6AP1,mclust2
ATP7A,mclust2
BCAP29,mclust2
BCAP31,mclust2
BMPR1A,mclust2
BNIP1,mclust2
BSCL2,mclust2
C17orf62,mclust2
C18orf32,mclust2
C1orf159,mclust2
C1orf27,mclust2
C20orf24,mclust2
C2CD2,mclust2
C4orf3,mclust2
CAMLG,mclust2
CANX,mclust2
CCDC115,mclust2
CCDC47,mclust2
CCPG1,mclust2
CD47,mclust2
CD81,mclust2
CDK5RAP3,mclust2
CDKAL1,mclust2
CDON,mclust2
CERK,mclust2
CGRRF1,mclust2
CHPT1,mclust2
CIB1,mclust2
CKAP4,mclust2
CLCC1,mclust2
CLDND1,mclust2
CLPTM1,mclust2
CLPTM1L,mclust2
CNEP1R1,mclust2
CNNM3,mclust2
CNST,mclust2
CRELD1,mclust2
CYB5B,mclust2
CYB5R3,mclust2
CYP20A1,mclust2
CYP51A1,mclust2
DCBLD2,mclust2
DDOST,mclust2
DDRGK1,mclust2
DEGS1,mclust2
DERL2,mclust2
DHCR24,mclust2
DHCR7,mclust2
DHRS1,mclust2
DHRS3,mclust2
DHRS7,mclust2
DHRSX,mclust2
DNAJB12,mclust2
DNAJB14,mclust2
DNAJC1,mclust2
DNAJC16,mclust2
DNAJC25,mclust2
DPM1,mclust2
DPY19L1,mclust2
DPY19L3,mclust2
DPY19L4,mclust2
EFNB1,mclust2
EIF2AK3,mclust2
ELMOD2,mclust2
ELOVL1,mclust2
EMC10,mclust2
EMC3,mclust2
EMC4,mclust2
EMP2,mclust2
EPHX1,mclust2
ERLEC1,mclust2
ERLIN1,mclust2
ERLIN2,mclust2
ERMP1,mclust2
EXT2,mclust2
FADS1,mclust2
FAF2,mclust2
FAM8A1,mclust2
FAR1,mclust2
FDFT1,mclust2
FKBP8,mclust2
FLOT1,mclust2
FLOT2,mclust2
FNDC3A,mclust2
FNDC3B,mclust2
GDE1,mclust2
GDPD1,mclust2
GDPD3,mclust2
GGCX,mclust2
GLIPR2,mclust2
GNPAT,mclust2
GRAMD1A,mclust2
GRAMD3,mclust2
GRAMD4,mclust2
HLA-A,mclust2
HLA-C,mclust2
HLA-E,mclust2
HLA-F,mclust2
HM13,mclust2
HMOX2,mclust2
HSD17B11,mclust2
HSD17B12,mclust2
HSD17B7,mclust2
IFNAR1,mclust2
IFNGR1,mclust2
IKBIP,mclust2
IL17RC,mclust2
IL6ST,mclust2
ILVBL,mclust2
INSIG2,mclust2
ITPR2,mclust2
ITPR3,mclust2
JAGN1,mclust2
KDSR,mclust2
KIAA1715,mclust2
KTN1,mclust2
LACTB,mclust2
LEPROT,mclust2
LPCAT1,mclust2
LPCAT2,mclust2
LPCAT4,mclust2
LPGAT1,mclust2
LRRC59,mclust2
LSS,mclust2
LTBR,mclust2
LYSMD3,mclust2
MANBAL,mclust2
MBLAC2,mclust2
MBOAT2,mclust2
MBOAT7,mclust2
METTL7A,mclust2
METTL9,mclust2
MIA3,mclust2
MICAL2,mclust2
MLEC,mclust2
MMGT1,mclust2
MOSPD2,mclust2
MRPL17,mclust2
MRPL34,mclust2
MRPL41,mclust2
MTDH,mclust2
MXRA7,mclust2
MYADM,mclust2
NAT14,mclust2
NBAS,mclust2
NCEH1,mclust2
NCLN,mclust2
NFXL1,mclust2
NOMO1,mclust2
NSDHL,mclust2
NT5E,mclust2
NUS1,mclust2
OSBPL8,mclust2
OSMR,mclust2
PARP16,mclust2
PBXIP1,mclust2
PCNX,mclust2
PCYOX1,mclust2
PEX10,mclust2
PEX11B,mclust2
PEX14,mclust2
PEX16,mclust2
PGAP1,mclust2
PGRMC2,mclust2
PIGG,mclust2
PIGK,mclust2
PIGN,mclust2
PIGP,mclust2
PIGU,mclust2
PKD2,mclust2
PLAUR,mclust2
PLXNA1,mclust2
PLXNA2,mclust2
PLXNA3,mclust2
PLXND1,mclust2
POMK,mclust2
PON2,mclust2
PRR11,mclust2
PTDSS1,mclust2
PTDSS2,mclust2
PTPLA,mclust2
PTPLAD1,mclust2
PTPN1,mclust2
PTRH2,mclust2
RAB10,mclust2
RAB15,mclust2
RAB18,mclust2
RAB20,mclust2
RAB27A,mclust2
RAB27B,mclust2
RAB7A,mclust2
RAB7L1,mclust2
RAB8B,mclust2
RABL3,mclust2
RALB,mclust2
RAP2B,mclust2
RCE1,mclust2
RDH11,mclust2
RDH14,mclust2
RHOB,mclust2
RNF170,mclust2
RNF19A,mclust2
RNF5,mclust2
RP2,mclust2
RPN1,mclust2
RPN2,mclust2
RRAS2,mclust2
S1PR2,mclust2
SACM1L,mclust2
SCD,mclust2
SCD5,mclust2
SCFD2,mclust2
SDC4,mclust2
SEC11A,mclust2
SEC61B,mclust2
SEC62,mclust2
SEC63,mclust2
SEL1L,mclust2
SERINC5,mclust2
SGPL1,mclust2
SGPP1,mclust2
SLC12A6,mclust2
SLC20A2,mclust2
SLC22A5,mclust2
SLC23A2,mclust2
SLC27A1,mclust2
SLC27A4,mclust2
SLC33A1,mclust2
SLC35E1,mclust2
SLC37A4,mclust2
SLC38A2,mclust2
SLC39A7,mclust2
SLMAP,mclust2
SMIM19,mclust2
SMPD2,mclust2
SOAT1,mclust2
SPCS1,mclust2
SPCS2,mclust2
SPCS3,mclust2
SPTLC2,mclust2
SQLE,mclust2
SREBF1,mclust2
SREBF2,mclust2
SRPR,mclust2
SRPRB,mclust2
SSR1,mclust2
SSR3,mclust2
SSR4,mclust2
STIM1,mclust2
STRA6,mclust2
STS,mclust2
STT3A,mclust2
STT3B,mclust2
STX18,mclust2
SUCO,mclust2
SURF4,mclust2
SYVN1,mclust2
TAP1,mclust2
TAP2,mclust2
TAPT1,mclust2
TBC1D20,mclust2
TBL2,mclust2
TECR,mclust2
TEX264,mclust2
THEM6,mclust2
TMCO1,mclust2
TMEM120A,mclust2
TMEM120B,mclust2
TMEM128,mclust2
TMEM131,mclust2
TMEM147,mclust2
TMEM161A,mclust2
TMEM161B,mclust2
TMEM164,mclust2
TMEM222,mclust2
TMEM230,mclust2
TMEM245,mclust2
TMEM38B,mclust2
TMEM39B,mclust2
TMEM40,mclust2
TMEM43,mclust2
TMEM57,mclust2
TMEM67,mclust2
TMEM97,mclust2
TMPPE,mclust2
TMTC2,mclust2
TMTC3,mclust2
TMUB2,mclust2
TMX1,mclust2
TMX2,mclust2
TMX3,mclust2
TNFRSF1A,mclust2
TOR1AIP2,mclust2
TRAM1,mclust2
TRAM2,mclust2
TSPAN14,mclust2
TTC13,mclust2
TXNDC15,mclust2
TYW1,mclust2
UBAC2,mclust2
UBE2G2,mclust2
UBE2J1,mclust2
UBXN4,mclust2
UFL1,mclust2
ULBP3,mclust2
UNC93B1,mclust2
USE1,mclust2
USP33,mclust2
VAPA,mclust2
VAPB,mclust2
VEZT,mclust2
WFS1,mclust2
VIMP,mclust2
WLS,mclust2
VMP1,mclust2
ZDHHC20,mclust2
ZMPSTE24,mclust2
ABCD1,mclust3
ABHD16A,mclust3
ACSL1,mclust3
ACSL4,mclust3
AGRN,mclust3
AMFR,mclust3
ANKLE2,mclust3
AP2A2,mclust3
AP2M1,mclust3
APLP2,mclust3
APMAP,mclust3
APP,mclust3
ARHGAP39,mclust3
ARHGEF40,mclust3
ARL6IP5,mclust3
ASAH1,mclust3
ATF6,mclust3
ATP6AP2,mclust3
ATRN,mclust3
AUP1,mclust3
B2M,mclust3
BLZF1,mclust3
BTBD9,mclust3
C10orf35,mclust3
C12orf49,mclust3
C16orf58,mclust3
C2CD2L,mclust3
C2orf43,mclust3
C6orf89,mclust3
CCDC134,mclust3
CCDC167,mclust3
CD109,mclust3
CD55,mclust3
CDK17,mclust3
CDS2,mclust3
CELSR3,mclust3
CERS2,mclust3
CHMP6,mclust3
CHPF2,mclust3
CHRNA5,mclust3
CISD2,mclust3
CNP,mclust3
COQ3,mclust3
COQ7,mclust3
CRIM1,mclust3
CRTAP,mclust3
CUX1,mclust3
CYB5A,mclust3
CYB5D2,mclust3
CYR61,mclust3
DAG1,mclust3
DDR1,mclust3
DDX28,mclust3
DGCR2,mclust3
DHDDS,mclust3
DLAT,mclust3
DLG5,mclust3
DNAJB11,mclust3
DNAJC10,mclust3
DNAJC3,mclust3
DOCK9,mclust3
DPM3,mclust3
ECI2,mclust3
EDEM2,mclust3
EDEM3,mclust3
EMC1,mclust3
EMC7,mclust3
EMC8,mclust3
ERN1,mclust3
FAM20B,mclust3
FAM64A,mclust3
FASTKD3,mclust3
FAT1,mclust3
FGFRL1,mclust3
FZD2,mclust3
GADD45GIP1,mclust3
GBA2,mclust3
GOLGA1,mclust3
GPR126,mclust3
GPR56,mclust3
GRSF1,mclust3
GTPBP10,mclust3
HINT3,mclust3
HMGCR,mclust3
HPSE,mclust3
HTATIP2,mclust3
IGSF8,mclust3
JAK2,mclust3
JPH1,mclust3
KIAA0100,mclust3
KIAA0922,mclust3
KIAA1522,mclust3
KRAS,mclust3
LAMB3,mclust3
LCLAT1,mclust3
LEPRE1,mclust3
LLGL2,mclust3
LMLN,mclust3
LRP11,mclust3
LRP5,mclust3
Mar-06,mclust3
MFI2,mclust3
MGRN1,mclust3
MRM1,mclust3
MRPL1,mclust3
MRPL11,mclust3
MRPL13,mclust3
MRPL15,mclust3
MRPL18,mclust3
MRPL19,mclust3
MRPL2,mclust3
MRPL21,mclust3
MRPL22,mclust3
MRPL24,mclust3
MRPL27,mclust3
MRPL28,mclust3
MRPL3,mclust3
MRPL39,mclust3
MRPL40,mclust3
MRPL42,mclust3
MRPL43,mclust3
MRPL45,mclust3
MRPL46,mclust3
MRPL47,mclust3
MRPL48,mclust3
MRPL49,mclust3
MRPL50,mclust3
MRPL53,mclust3
MRPL54,mclust3
MRPL55,mclust3
MRPL9,mclust3
MRPS10,mclust3
MRPS11,mclust3
MRPS14,mclust3
MRPS15,mclust3
MRPS16,mclust3
MRPS18A,mclust3
MRPS18B,mclust3
MRPS22,mclust3
MRPS23,mclust3
MRPS25,mclust3
MRPS28,mclust3
MRPS30,mclust3
MRPS31,mclust3
MRPS34,mclust3
MRPS35,mclust3
MRPS5,mclust3
MRPS9,mclust3
MTERFD1,mclust3
NAPEPLD,mclust3
NEO1,mclust3
NET1,mclust3
NFE2L1,mclust3
NGRN,mclust3
NOTCH1,mclust3
NOTCH3,mclust3
NRP1,mclust3
NRP2,mclust3
NTN4,mclust3
NUMB,mclust3
OS9,mclust3
OSBPL5,mclust3
PAM,mclust3
PCDH1,mclust3
PDHX,mclust3
PDZD8,mclust3
PEX13,mclust3
PEX26,mclust3
PEX6,mclust3
PGRMC1,mclust3
PHYH,mclust3
PIGM,mclust3
PIGQ,mclust3
PIP5K1A,mclust3
PITPNM3,mclust3
PKN3,mclust3
PLA2G12A,mclust3
PLCD1,mclust3
PLEKHH3,mclust3
PNPLA6,mclust3
POLRMT,mclust3
POR,mclust3
PPP1R16A,mclust3
PREB,mclust3
PRNP,mclust3
PTPN13,mclust3
PTPRF,mclust3
PTPRK,mclust3
PTPRS,mclust3
PUSL1,mclust3
QPCTL,mclust3
QSOX1,mclust3
RAB12,mclust3
RAB13,mclust3
RAB21,mclust3
RAB22A,mclust3
RAB23,mclust3
RAB31,mclust3
RAB5A,mclust3
RAB8A,mclust3
RAP1A,mclust3
RAP1B,mclust3
RAP2A,mclust3
RDH10,mclust3
REEP4,mclust3
RETSAT,mclust3
RHBDD1,mclust3
RHOG,mclust3
RNF130,mclust3
RNF139,mclust3
RNF145,mclust3
RNMTL1,mclust3
RRAS,mclust3
RRBP1,mclust3
SCAP,mclust3
SDF2,mclust3
SEPN1,mclust3
SLC22A23,mclust3
SLC39A11,mclust3
SLC7A1,mclust3
SMIM14,mclust3
SMPD1,mclust3
SNAP47,mclust3
SPECC1,mclust3
SPTLC1,mclust3
ST7,mclust3
STX17,mclust3
TCF25,mclust3
TCTN2,mclust3
TFB1M,mclust3
TGFBR1,mclust3
TGFBR2,mclust3
TIMP2,mclust3
TMCC1,mclust3
TMCC3,mclust3
TMEM199,mclust3
TMEM205,mclust3
TMEM259,mclust3
TMEM260,mclust3
TOR2A,mclust3
TRIM4,mclust3
TRIP11,mclust3
TRUB2,mclust3
TTC17,mclust3
TUSC3,mclust3
TXNDC11,mclust3
UBL3,mclust3
USP20,mclust3
VPS13A,mclust3
WRB,mclust3
WWP1,mclust3
ZBED5,mclust3
AAAS,mclust4
ABCC1,mclust4
ABCC3,mclust4
ABCC4,mclust4
ABCC5,mclust4
ACVR1,mclust4
ADAM10,mclust4
ADCY3,mclust4
ADCY6,mclust4
ADCY9,mclust4
ALCAM,mclust4
ALG14,mclust4
AP2A1,mclust4
ARL15,mclust4
ATP1A1,mclust4
ATP1A2,mclust4
ATP1B1,mclust4
ATP1B3,mclust4
ATP2B1,mclust4
ATP2B4,mclust4
ATP8B1,mclust4
BCL2L11,mclust4
BMP2K,mclust4
BMPR2,mclust4
BSG,mclust4
BTN2A1,mclust4
CADM4,mclust4
CAPN5,mclust4
CAV1,mclust4
CAV2,mclust4
CCNYL1,mclust4
CD151,mclust4
CD276,mclust4
CD44,mclust4
CD46,mclust4
CD58,mclust4
CD99,mclust4
CEP89,mclust4
CHIC2,mclust4
CNNM4,mclust4
CTNNA1,mclust4
CXADR,mclust4
DAAM1,mclust4
DCUN1D3,mclust4
EBP,mclust4
EFR3A,mclust4
EGFR,mclust4
EMD,mclust4
EPB41L5,mclust4
EPHA2,mclust4
EPHB2,mclust4
EPHB4,mclust4
ERBB2,mclust4
FAS,mclust4
FLVCR1,mclust4
FMNL2,mclust4
FRMD5,mclust4
FRS2,mclust4
FZD6,mclust4
FZD7,mclust4
GNA13,mclust4
GNAI1,mclust4
GNAI2,mclust4
GNAI3,mclust4
GNAQ,mclust4
GNAS,mclust4
GNAZ,mclust4
GNB1,mclust4
GNB2,mclust4
GOLGA7,mclust4
GOLGA7B,mclust4
GPR125,mclust4
GPR39,mclust4
GPX8,mclust4
HRAS,mclust4
IGF1R,mclust4
IGSF3,mclust4
IL1RAP,mclust4
IL27RA,mclust4
INPP5A,mclust4
INSR,mclust4
ITFG3,mclust4
ITGA2,mclust4
ITGA3,mclust4
ITGA5,mclust4
ITGA6,mclust4
ITGAV,mclust4
ITGB1,mclust4
ITGB4,mclust4
JAK1,mclust4
KIAA0754,mclust4
KIAA1109,mclust4
KIDINS220,mclust4
KIF14,mclust4
LBR,mclust4
LIN7C,mclust4
LRIG2,mclust4
LRP6,mclust4
LRRC8A,mclust4
LRRC8B,mclust4
LRRC8D,mclust4
LRRC8E,mclust4
LYN,mclust4
MET,mclust4
MPZL1,mclust4
MRPL16,mclust4
MRPS12,mclust4
MYO1B,mclust4
NDC1,mclust4
NOTCH2,mclust4
NPTN,mclust4
OCLN,mclust4
ORAI2,mclust4
PANX1,mclust4
PCNXL3,mclust4
PIGB,mclust4
PLCD3,mclust4
PLSCR1,mclust4
PLXNB2,mclust4
PSEN1,mclust4
PTGFRN,mclust4
PTK7,mclust4
PTPRA,mclust4
PTPRE,mclust4
PVR,mclust4
RAB24,mclust4
RAB35,mclust4
RALA,mclust4
RAP2C,mclust4
RELL1,mclust4
RHBDF1,mclust4
RHBDF2,mclust4
RSPRY1,mclust4
SDC1,mclust4
SEMA4D,mclust4
SEMA7A,mclust4
SH3BP4,mclust4
SLC12A2,mclust4
SLC16A1,mclust4
SLC16A3,mclust4
SLC1A4,mclust4
SLC1A5,mclust4
SLC20A1,mclust4
SLC26A2,mclust4
SLC26A6,mclust4
SLC30A1,mclust4
SLC39A10,mclust4
SLC39A14,mclust4
SLC39A6,mclust4
SLC3A2,mclust4
SLC44A1,mclust4
SLC44A2,mclust4
SLC4A2,mclust4
SLC4A7,mclust4
SLC6A9,mclust4
SLC7A5,mclust4
SLC9A1,mclust4
SNAP23,mclust4
SPRED1,mclust4
STX4,mclust4
STXBP3,mclust4
TMC7,mclust4
TMEM2,mclust4
TMEM214,mclust4
TMEM237,mclust4
TMEM51,mclust4
TNFRSF10B,mclust4
TRIM13,mclust4
TRPM7,mclust4
TYRO3,mclust4
VANGL1,mclust4
YES1,mclust4
ZDHHC18,mclust4
ZDHHC5,mclust4
ADARB1,mclust5
AGO2,mclust5
AHDC1,mclust5
AZI1,mclust5
BARD1,mclust5
BLM,mclust5
C2orf42,mclust5
C3orf17,mclust5
CD3EAP,mclust5
CDC5L,mclust5
CDK13,mclust5
CELF1,mclust5
CENPQ,mclust5
CENPU,mclust5
CHD3,mclust5
CHD6,mclust5
CKAP2L,mclust5
CMAS,mclust5
CMSS1,mclust5
CTCF,mclust5
DDX20,mclust5
DDX5,mclust5
DDX55,mclust5
DGCR8,mclust5
DHX36,mclust5
DHX37,mclust5
DHX9,mclust5
DIMT1,mclust5
DNTTIP1,mclust5
DROSHA,mclust5
ELMSAN1,mclust5
EXOSC10,mclust5
EXOSC3,mclust5
EXOSC5,mclust5
EXOSC9,mclust5
FAM111A,mclust5
FAM120A,mclust5
FBXO11,mclust5
FIZ1,mclust5
FXR2,mclust5
GATAD1,mclust5
GPATCH4,mclust5
GSG2,mclust5
GTF3C2,mclust5
H1FX,mclust5
HELZ,mclust5
HELZ2,mclust5
HERC5,mclust5
HNRNPA0,mclust5
HNRNPAB,mclust5
HNRNPD,mclust5
HNRNPM,mclust5
HNRNPUL1,mclust5
HP1BP3,mclust5
IGF2BP2,mclust5
ILF2,mclust5
ILF3,mclust5
ING1,mclust5
JARID2,mclust5
KIF18A,mclust5
LARP1,mclust5
LARP1B,mclust5
LARP4B,mclust5
LLPH,mclust5
MORF4L2,mclust5
MOV10,mclust5
MSI2,mclust5
MUS81,mclust5
MVP,mclust5
NCBP1,mclust5
NCL,mclust5
NOP9,mclust5
NPM1,mclust5
NPM3,mclust5
NSD1,mclust5
NUPL2,mclust5
PABPC1,mclust5
PARP2,mclust5
PARP4,mclust5
PATZ1,mclust5
PLRG1,mclust5
POLR1E,mclust5
POLR3B,mclust5
POP1,mclust5
POP4,mclust5
PRDM15,mclust5
PRKRA,mclust5
PRPF19,mclust5
PRPF31,mclust5
RBM42,mclust5
RBM47,mclust5
RBM5,mclust5
RBMS2,mclust5
RECQL5,mclust5
RFC1,mclust5
RNF2,mclust5
RPL10,mclust5
RPL11,mclust5
RPL12,mclust5
RPL13A,mclust5
RPL14,mclust5
RPL15,mclust5
RPL18,mclust5
RPL18A,mclust5
RPL21,mclust5
RPL22L1,mclust5
RPL23A,mclust5
RPL27,mclust5
RPL28,mclust5
RPL3,mclust5
RPL30,mclust5
RPL34,mclust5
RPL35A,mclust5
RPL36,mclust5
RPL37A,mclust5
RPL3L,mclust5
RPL4,mclust5
RPL6,mclust5
RPL7,mclust5
RPL7A,mclust5
RPL9,mclust5
RPLP0,mclust5
RPLP2,mclust5
RPS4X,mclust5
RPS7,mclust5
RPS8,mclust5
RSBN1,mclust5
RSBN1L,mclust5
SART3,mclust5
SDAD1,mclust5
SENP5,mclust5
SGOL2,mclust5
SIN3A,mclust5
SKIV2L2,mclust5
SNRNP35,mclust5
SPTY2D1,mclust5
SRSF1,mclust5
SRSF3,mclust5
SRSF4,mclust5
SRSF5,mclust5
SRSF7,mclust5
STAU1,mclust5
STAU2,mclust5
SYNCRIP,mclust5
TAF1B,mclust5
TASP1,mclust5
TEP1,mclust5
THAP11,mclust5
THAP4,mclust5
TICRR,mclust5
TOE1,mclust5
TPP2,mclust5
TRIM56,mclust5
TRIP12,mclust5
TRMT1L,mclust5
TRMT6,mclust5
UBR5,mclust5
UTP23,mclust5
WDR76,mclust5
WRN,mclust5
YTHDC2,mclust5
ZBED6,mclust5
