"","x"
"Q53GQ0","ER"
"P51649","MITOCHONDRIA"
"P13798","CYTOSOL"
"P62888","RIBOSOME"
"P51572","ER"
"P60900","PROTEASOME"
"Q9P035","ER"
"Q9BY67","PM"
"O60287","NUCLEUS"
"Q6NUK1","MITOCHONDRIA"
"P46199","MITOCHONDRIA"
"O75477","ER"
"P30040","ER"
"Q02978","MITOCHONDRIA"
"Q9H845","MITOCHONDRIA"
"P39019","RIBOSOME"
"P62244","RIBOSOME"
"Q9Y617","CYTOSOL"
"P24539","MITOCHONDRIA"
"P39656","ER"
"O43818","NUCLEUS"
"P62750","RIBOSOME"
"O15269","ER"
"P08648","PM"
"Q96S52","ER"
"P52888","CYTOSOL"
"O75489","MITOCHONDRIA"
"P54802","LYSOSOME"
"P16152","CYTOSOL"
"Q14554","ER"
"Q5T160","MITOCHONDRIA"
"P21912","MITOCHONDRIA"
"P32322","MITOCHONDRIA"
"P50213","MITOCHONDRIA"
"P25789","PROTEASOME"
"P83731","RIBOSOME"
"P62913","RIBOSOME"
"P45954","MITOCHONDRIA"
"Q9Y2B0","ER"
"Q969X6","NUCLEUS"
"Q16836","MITOCHONDRIA"
"P22087","NUCLEUS"
"P62753","RIBOSOME"
"Q9Y3T9","NUCLEUS"
"O00161","PM"
"P00492","CYTOSOL"
"P11182","MITOCHONDRIA"
"P49590","MITOCHONDRIA"
"Q16740","MITOCHONDRIA"
"P54760","PM"
"O15382","MITOCHONDRIA"
"P20618","PROTEASOME"
"P62263","RIBOSOME"
"P21399","CYTOSOL"
"O15091","MITOCHONDRIA"
"P13995","MITOCHONDRIA"
"P43307","ER"
"O95299","MITOCHONDRIA"
"P19623","CYTOSOL"
"Q96JJ7","ER"
"P53597","MITOCHONDRIA"
"Q96KP4","CYTOSOL"
"Q5JPH6","MITOCHONDRIA"
"P46783","RIBOSOME"
"Q02543","RIBOSOME"
"P40925","CYTOSOL"
"P27144","MITOCHONDRIA"
"P28066","PROTEASOME"
"P46778","RIBOSOME"
"Q6NVY1","MITOCHONDRIA"
"Q9Y2R4","NUCLEUS"
"P05386","RIBOSOME"
"P49721","PROTEASOME"
"P25788","PROTEASOME"
"O95302","ER"
"Q9NYH9","NUCLEUS"
"P61254","RIBOSOME"
"Q3SY69","MITOCHONDRIA"
"Q9NY61","NUCLEUS"
"P15586","LYSOSOME"
"O15047","NUCLEUS"
"P08574","MITOCHONDRIA"
"P25787","PROTEASOME"
"P13073","MITOCHONDRIA"
"P61313","RIBOSOME"
"Q9H0X9","ER"
"P61604","MITOCHONDRIA"
"Q8TCJ2","ER"
"Q9UNW1","ER"
"P26373","RIBOSOME"
"Q5C9Z4","NUCLEUS"
"Q92692","PM"
"Q9NUJ1","MITOCHONDRIA"
"P43897","MITOCHONDRIA"
"P62280","RIBOSOME"
"O43765","CYTOSOL"
"O95394","CYTOSOL"
"P22830","MITOCHONDRIA"
"Q04837","MITOCHONDRIA"
"Q9H3N1","ER"
"Q9NX62","GOLGI"
"P11766","CYTOSOL"
