Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
UIMC1,0.4215,0.3803,1.4140,1.4719,1.0805,1.0393,0.7942,0.7102,1.4778,1.2746,33
ULBP1,0.1290,0.2034,0.1720,0.1966,1.4367,1.4907,2.2595,2.0667,2.3753,2.3981,1
ULBP2,1.1893,1.2073,0.8463,0.8661,0.9618,0.9454,1.2551,1.1793,1.4329,1.4242,2
ULBP3,0.5179,0.5168,0.4262,0.3688,1.3434,1.4209,1.8746,1.7561,1.9627,2.1420,6
ULK1,1.8207,1.7995,0.9539,1.0893,1.1286,1.2346,1.1253,1.1850,1.0102,1.1792,2
ULK3,2.4736,2.2597,0.8896,0.8534,0.8416,0.8211,0.9043,0.7892,0.7661,0.8118,10
UMPS,2.5253,2.3996,0.9679,0.8829,0.7626,0.7472,0.7864,0.8238,0.5770,0.6275,94
UNC119,2.3508,2.2213,1.1086,0.9990,0.8052,0.6450,0.6727,0.6169,0.6674,0.4755,5
UNC119B,2.7261,2.3145,1.1243,1.1530,0.6239,0.6246,0.5702,0.6154,0.4117,0.4711,14
UNC13B,2.5122,2.2450,0.9718,0.8481,0.7290,0.8194,0.7406,0.8334,0.5963,0.5651,12
UNC13D,1.6103,1.4822,1.0313,1.0093,0.9616,0.9575,1.0075,0.9928,0.8521,0.9011,65
UNC45A,1.9673,1.8699,0.9371,0.9324,0.8675,0.8701,0.9449,0.9626,0.7346,0.8290,73
UNC45B,1.1719,1.0783,0.8754,0.8515,1.1065,1.3463,1.1728,1.3247,1.0967,1.2842,1
UNC93B1,0.4078,0.3416,0.3091,0.4355,1.2129,1.3272,2.2996,2.0685,2.2037,2.3553,6
UNG,1.2428,1.0757,1.0568,1.0675,1.1090,1.0881,1.2260,1.1124,0.8611,0.7646,14
UNK,1.1323,0.9927,1.6676,1.4896,0.7963,0.7334,0.6612,0.6508,0.6421,0.7678,26
UPF1,1.3741,1.3160,0.8671,0.8386,0.7630,0.7670,0.7881,0.7932,1.7825,1.7706,226
UPF2,1.1859,1.0714,1.0480,1.0289,1.0680,1.1386,1.0293,1.0962,1.1445,1.0901,56
UPF3A,0.8605,0.7971,0.8678,0.8636,1.0741,1.1462,1.0137,0.9028,1.9758,1.8447,8
UPF3B,0.7947,0.7208,0.8240,0.8307,1.0131,1.0390,0.9931,0.9825,2.1125,1.9165,37
UPP1,1.8598,1.8316,1.3503,1.3086,0.7089,0.6449,0.5811,0.5974,0.6693,0.6586,89
UPRT,2.1306,1.8577,1.0976,1.0600,0.7284,0.7161,0.7672,0.7695,0.8255,0.7535,4
UQCC1,0.1703,0.1415,0.4530,0.4831,1.7321,1.7199,2.8902,2.5983,0.9058,0.9342,11
UQCC2,0.2899,0.2952,0.6187,0.6623,1.6620,1.7206,2.4198,2.2823,0.9382,1.0359,22
UQCR10,0.6547,0.6181,0.5001,0.5384,1.5030,1.5594,2.2239,2.1039,0.9890,1.0740,23
UQCRB,0.4888,0.4922,0.4070,0.4429,1.7024,1.6752,2.3501,2.3988,0.9804,1.0935,68
UQCRC1,0.5009,0.5187,0.5700,0.5476,1.5548,1.6049,2.3607,2.0237,0.9823,1.1179,145
UQCRC2,0.5750,0.6035,0.5011,0.5486,1.5174,1.5342,2.2866,2.0774,0.9608,1.0354,149
UQCRFS1,0.5513,0.5201,0.5193,0.5253,1.5305,1.5415,2.3151,2.1321,1.0290,1.1349,104
UQCRH,0.5566,0.5761,0.4987,0.4748,1.6462,1.6530,2.4492,2.0173,0.9718,1.0091,56
UQCRQ,0.4431,0.5474,0.4434,0.3838,1.6050,1.5393,2.5836,2.5307,1.0545,1.1570,33
URB1,0.4483,0.4046,0.4371,0.4725,2.1354,2.5316,1.3964,1.2796,1.3939,1.2754,72
URB2,0.3659,0.4577,0.4495,0.4038,2.2174,2.5408,1.4786,1.4088,1.4118,1.3083,39
URGCP,2.1651,2.1034,0.9858,0.9196,0.7851,0.7897,0.7638,0.7977,0.7846,0.7408,28
URI1,1.7953,1.5814,1.2476,1.2945,0.7363,0.6798,0.6521,0.6113,0.9228,0.8697,27
URM1,2.9075,2.1457,0.7719,0.6733,0.7922,1.0422,0.8882,0.7343,0.7637,0.7327,2
UROD,2.7315,2.5577,1.0451,1.0285,0.5653,0.5931,0.5729,0.5546,0.5150,0.5022,55
UROS,2.5666,2.3672,1.1912,1.0839,0.7233,0.5662,0.5096,0.4972,0.3752,0.3277,9
USE1,0.4278,0.3730,0.3102,0.2762,1.1557,1.2552,2.2322,1.8156,1.9863,2.1127,16
USF1,0.6496,0.4150,0.9513,1.1902,1.3997,1.6495,1.3195,1.2984,1.0807,1.0128,4
USF2,0.6661,0.5480,1.0789,1.1630,1.3874,1.4729,1.2717,1.1842,1.0073,0.9456,7
USMG5,0.2549,0.2614,0.2125,0.2442,1.8373,1.8293,3.0126,2.9568,0.9200,1.0815,36
USO1,1.2862,1.1801,0.9678,0.9336,1.0185,1.0022,1.2930,1.2441,0.9726,1.0501,263
USP1,1.0170,0.9663,1.3331,1.2708,1.0370,1.0443,0.9875,1.0676,0.8428,0.9012,31
USP10,1.0334,0.9617,1.3235,1.3581,0.9159,0.8889,0.8468,0.8217,1.0264,0.9503,115
USP11,1.2021,1.1103,1.6691,1.6101,0.8322,0.7330,0.6659,0.7323,0.7045,0.6087,31
USP12,0.8332,0.7577,0.8314,0.7633,0.8356,0.9404,1.1528,1.2816,1.8999,1.9351,5
USP13,1.7592,1.8044,1.1784,1.2168,0.9091,0.8599,0.7096,0.8149,0.6936,0.7922,24
USP14,2.3758,2.2742,1.2440,1.1964,0.6502,0.5743,0.5091,0.5859,0.5223,0.5051,139
USP15,2.1954,2.1532,1.3232,1.2587,0.6506,0.5873,0.4968,0.4942,0.5123,0.4870,94
USP16,1.2921,1.2214,1.2662,1.2526,0.7782,0.7372,0.7286,0.6849,1.3054,1.0837,31
USP18,1.3516,1.2252,0.8772,0.9172,1.0632,1.1244,1.3335,1.0635,1.0785,1.1038,4
USP19,1.6157,1.5391,1.0047,0.9323,0.9284,0.9390,1.0197,0.9554,0.8783,0.9449,44
