Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
A1BG,1.4867,1.7139,0.7124,1.0180,1.2441,1.1456,0.8730,1.1784,1.0939,0.9814,71
A2M,2.2254,1.0182,0.9053,0.7995,0.8764,0.9373,0.9079,0.8902,0.7485,0.8682,15
AAAS,0.5386,0.5572,0.4795,0.4656,1.6509,1.6357,1.8105,1.6897,1.4889,1.6565,24
AACS,3.1544,3.0596,1.0260,1.0138,0.5370,0.4918,0.4566,0.4723,0.3663,0.3809,38
AADAT,1.0025,1.1198,1.2388,1.3516,1.1279,1.0848,1.3209,1.0604,0.5876,0.5776,1
AAED1,0.8486,0.7688,0.7990,0.7248,1.2694,1.3056,1.5422,1.5910,1.0361,1.1932,9
AAGAB,2.5854,2.2342,1.0245,0.8304,0.9215,0.8515,0.8887,0.8576,0.8041,0.7745,8
AAK1,2.3463,2.1531,0.9787,0.9350,0.8363,0.7817,0.8482,0.8460,0.6306,0.6602,33
AAMDC,2.8822,2.7234,1.1331,1.0456,0.5637,0.5751,0.4264,0.5932,0.4070,0.4087,10
AAMP,2.7094,2.7381,1.1805,1.1554,0.5026,0.4937,0.5793,0.5589,0.4818,0.5065,19
AAR2,1.4588,1.4237,1.1763,1.1952,0.8208,0.7690,0.7270,0.7115,1.0881,1.1434,21
AARS,2.8526,2.7336,1.1249,1.0859,0.5697,0.5378,0.4911,0.5097,0.4535,0.4442,510
AARS2,0.5162,0.5321,1.0972,1.0316,1.3950,1.4575,1.7355,1.5323,0.7429,0.7930,67
AARSD1,4.4793,3.5753,1.0720,0.9800,0.5155,0.2639,0.2188,0.1212,0.1186,0.1790,1
AASDH,2.0541,1.5852,1.2861,1.2113,0.8705,0.8850,0.7438,0.7885,0.4199,0.5042,9
AASDHPPT,2.7006,2.3837,1.1473,1.0513,0.6448,0.6092,0.5433,0.6070,0.4575,0.4850,42
AASS,0.4193,0.5087,1.4096,1.2796,1.2364,1.2317,1.5671,1.3530,0.6230,0.5242,8
AATF,0.4861,0.4748,0.5206,0.4663,1.7633,2.1652,1.1942,1.1673,1.8358,1.7329,58
ABAT,0.7850,0.6578,1.3690,1.2531,1.2911,1.2528,1.2650,1.1772,0.7049,0.6223,14
ABCA1,0.3825,0.4675,0.4980,0.5234,1.3407,1.3105,2.0745,1.8242,1.8479,1.7559,21
ABCA12,0.4584,0.4551,0.3765,0.3905,1.1021,1.1265,1.8554,1.5894,2.3602,2.3735,43
ABCA2,0.7586,0.7256,0.7851,0.7144,0.9740,0.9912,1.3913,1.2483,1.6623,1.6912,14
ABCA3,0.3657,0.6033,0.4811,0.4510,1.0210,1.0876,1.8695,1.6797,1.8812,2.2257,18
ABCA7,0.6202,0.9214,0.5943,0.6326,1.1840,1.2888,1.7808,1.6509,1.6167,1.4825,6
ABCB1,0.5061,0.3757,0.4900,0.5778,1.2514,1.2372,1.5525,1.3716,2.3838,2.4187,3
ABCB10,0.4161,0.4669,0.3644,0.3605,1.7138,1.5817,2.7796,2.6099,0.8461,0.9523,19
ABCB6,0.5141,0.3769,0.3583,0.5552,1.0551,1.0276,2.0075,1.6947,1.9805,2.1198,18
ABCB7,0.4237,0.4322,0.3514,0.4084,1.6296,1.6312,2.6798,2.2849,1.0549,1.1522,48
ABCB8,0.7682,0.7577,0.7269,0.6505,1.4879,1.6145,2.0439,1.8471,0.8175,1.0405,26
ABCB9,0.3028,0.2552,0.2568,0.2116,1.1499,0.9472,2.3160,2.0440,2.3674,2.6454,2
ABCC1,0.4358,0.4645,0.3548,0.3737,1.8441,1.9887,2.4172,2.1131,1.2633,1.3007,68
ABCC10,0.4138,0.3218,0.3344,0.4266,1.2553,1.1902,2.1359,2.0803,2.0739,2.0370,4
ABCC2,0.3346,0.3675,0.2997,0.3261,1.1163,1.1830,1.7448,1.6976,2.5576,2.7173,27
ABCC3,0.4950,0.5185,0.4438,0.4708,1.5743,1.6695,2.2991,1.8180,1.2965,1.3500,36
ABCC4,0.4936,0.5333,0.4726,0.4943,1.5570,1.7268,2.1300,2.0418,1.3302,1.3449,35
ABCC5,0.5335,0.5424,0.3369,0.3071,1.4839,1.7549,2.2185,2.1011,1.6557,1.6876,16
ABCC8,0.5892,0.5867,0.5574,0.4929,2.3696,2.5137,1.5623,2.0737,0.8467,0.8493,3
ABCD1,0.7977,0.7103,0.6235,0.6897,1.0816,1.0983,1.7932,1.6273,1.3904,1.5299,7
ABCD3,0.4193,0.4656,0.3774,0.3949,1.2067,1.2294,2.4207,2.2421,1.6593,1.8227,162
ABCD4,0.4808,0.2789,0.3206,0.3415,1.0487,1.1282,2.0907,1.8603,2.3150,2.2065,8
ABCE1,2.4694,2.2524,1.0416,1.0512,0.6958,0.6841,0.6493,0.6954,0.6093,0.6287,271
ABCF1,1.4659,1.4338,1.2652,1.2794,0.8503,0.8427,0.7625,0.7327,0.9924,0.7894,133
ABCF2,1.1761,1.0706,1.5142,1.5265,0.8405,0.8127,0.7316,0.7598,0.8160,0.7276,125
ABCF3,2.4861,2.2734,0.9908,0.9603,0.8529,0.7938,0.6905,0.7104,0.5509,0.4773,45
ABCG2,0.5003,0.5288,0.5324,0.5424,1.0772,1.1891,1.5520,1.5671,2.0741,2.3467,15
ABHD10,0.3708,0.4233,1.4053,1.3662,1.2649,1.2158,1.5417,1.3166,0.6342,0.5768,53
ABHD11,0.5267,0.4953,1.0576,1.0614,1.4387,1.4221,1.7237,1.5533,0.7718,0.7862,74
ABHD12,0.5220,0.4627,0.5270,0.4369,1.2942,1.3451,2.0577,1.7903,1.7516,1.8421,27
ABHD13,0.6387,0.6260,0.4032,0.4678,1.2334,1.2686,1.7777,2.3102,1.8642,1.7911,1
ABHD14B,2.7810,2.8668,0.8722,1.0041,0.5972,0.5877,0.4960,0.4647,0.5174,0.6285,12
ABHD16A,0.5653,0.8129,0.6398,0.6499,1.2432,1.3015,1.8303,1.7051,1.7198,1.4893,21
ABHD17B,0.9496,1.0026,0.6075,0.6417,1.0542,1.0463,1.6501,1.2979,1.6049,1.5901,8
ABHD17C,0.3315,0.3279,0.2833,0.2373,1.1321,1.3724,1.8168,1.5659,2.2563,2.9208,5
ABHD2,0.3542,0.3959,0.5177,0.4173,1.2263,1.2376,2.1168,1.8529,1.8540,2.0332,7
ABHD3,0.9002,0.8304,0.6269,0.5784,1.2008,1.2817,1.9642,1.7170,1.3542,1.3321,4
ABHD4,1.5547,1.4070,0.6629,0.7549,1.0844,1.1947,1.3895,1.1490,1.2366,1.1186,2
ABHD5,1.1671,1.2462,0.8330,0.8195,1.0007,1.0106,1.2164,1.1976,1.0512,1.2786,3
ABHD6,0.3852,0.2986,0.3713,0.3578,1.2417,1.3845,2.0888,1.9081,1.8149,1.9948,13
ABI1,1.9580,1.8025,0.8601,0.9314,0.8023,0.8363,0.9606,0.9098,0.9665,1.1121,30
ABI2,1.8245,2.1164,0.8283,0.8061,0.8765,0.8890,1.0565,1.0114,0.9856,0.9853,8
ABL1,1.8546,1.7401,1.2138,1.2340,0.8858,0.8132,0.7588,0.6503,0.6215,0.6417,9
ABL2,2.3341,1.9643,1.0136,1.0084,0.9345,0.9323,0.8043,0.9397,0.5694,0.6172,19
ABLIM1,1.0648,1.0056,1.1606,1.2160,1.0930,1.2123,1.1605,1.1397,0.7175,0.6427,35
ABLIM3,1.0659,0.9278,1.0522,1.1393,1.1681,1.1942,1.1384,1.1549,0.8635,0.8422,4
ABR,2.2025,2.0395,0.8982,0.8407,0.8622,0.8463,0.8873,0.8998,0.6794,0.6994,83
ABRACL,3.5702,2.8588,0.9921,0.9718,0.4592,0.5265,0.4211,0.4578,0.3632,0.3176,1
ABT1,0.5653,0.5644,0.5669,0.7283,1.8083,1.9647,1.2415,1.1369,1.4846,1.3144,17
ABTB1,1.8396,1.4250,1.0817,1.1046,0.8096,0.8833,0.8993,0.9403,0.9256,0.8506,5
ABTB2,1.8444,1.6663,1.0255,0.9609,0.9382,0.8550,1.0299,0.9669,0.7446,0.7686,8
ACAA1,0.6245,0.5823,0.9304,0.9647,1.0331,0.9815,1.9186,1.5422,1.2365,1.3023,66
ACAA2,0.3905,0.4083,1.4990,1.4826,1.2811,1.2472,1.5398,1.3236,0.5283,0.4701,76
ACACA,2.1264,1.9740,0.9346,0.8827,0.8396,0.8218,0.8843,0.8788,0.7692,0.8331,225
ACAD10,0.5559,0.5688,1.0456,0.9567,1.4568,1.4250,1.8519,1.5238,0.7652,0.7802,62
ACAD11,0.5894,0.4990,0.7548,0.7283,1.1405,1.0626,1.9935,1.6726,1.4672,1.4425,22
ACAD8,0.6850,0.6188,1.2559,1.3107,1.1530,1.2396,1.4684,1.2988,0.6896,0.6094,35
ACAD9,0.5005,0.4634,0.6681,0.6446,1.5307,1.5703,2.2609,2.0234,0.8641,0.9504,188
ACADM,0.5481,0.5359,1.3148,1.2966,1.3330,1.2768,1.5245,1.3909,0.5975,0.5465,120
ACADS,0.5771,0.5648,1.3467,1.3655,1.3214,1.3358,1.5944,1.4196,0.5886,0.5068,33
ACADSB,0.5450,0.4921,1.2800,1.3274,1.3169,1.3090,1.5291,1.3411,0.5453,0.4875,53
ACADVL,0.5050,0.4994,1.0630,1.1062,1.4501,1.4599,1.7670,1.6090,0.7470,0.6963,461
ACAP2,2.8149,2.5153,0.8963,0.8452,0.7137,0.6866,0.7430,0.7178,0.5402,0.5915,58
ACAP3,2.3435,2.0963,0.8316,0.7054,1.0212,1.0076,1.1066,1.0175,0.6541,0.5513,1
ACAT1,0.3849,0.3882,1.4080,1.3981,1.3002,1.2383,1.4967,1.3867,0.5084,0.4548,246
ACAT2,2.4786,2.3407,1.1757,1.1096,0.5993,0.6364,0.5687,0.5674,0.5466,0.5633,63
ACBD3,0.8092,0.7993,1.3755,1.3078,1.0497,0.9790,1.1172,1.1019,0.8009,0.8284,90
ACBD4,0.3204,0.3879,0.3750,0.3169,1.2909,1.2887,2.5851,2.3329,1.6656,1.8111,9
ACBD5,0.4913,0.5098,0.5196,0.5188,1.1539,1.1531,2.2955,1.9884,1.5430,1.7144,72
ACBD6,2.3516,2.3918,0.9623,0.9887,0.7390,0.8734,0.7638,0.7573,0.5520,0.6749,10
ACBD7,3.6397,3.0279,0.9596,0.9271,0.4646,0.4073,0.3542,0.4218,0.2873,0.2336,5
ACD,1.5366,1.5064,1.0611,1.0186,1.1213,1.2631,1.0015,0.7360,0.8619,0.6701,6
ACE,0.3706,0.4726,0.6357,0.5922,1.0503,1.2858,1.5384,1.6127,1.9983,1.9410,3
ACHE,1.0022,3.2285,0.6562,1.0902,0.7855,0.7159,1.0961,0.9631,1.0205,1.0603,2
ACIN1,0.4419,0.4523,0.9018,0.9112,1.7225,1.8915,1.2092,1.2393,1.1971,1.1153,294
ACLY,2.4535,2.3299,1.2389,1.2080,0.5958,0.5506,0.5102,0.5280,0.5139,0.5154,681
ACN9,0.3571,0.3962,1.3005,1.3661,1.3951,1.5235,1.7136,1.5228,0.5011,0.5379,9
ACO1,2.3664,2.2090,1.2540,1.1256,0.6512,0.6145,0.5428,0.5705,0.5862,0.6115,88
ACO2,0.5066,0.5335,1.3814,1.4014,1.2533,1.2221,1.4186,1.2764,0.5648,0.5207,327
ACOT1,0.9272,1.2716,0.8421,1.1083,1.0293,1.1125,1.2001,1.5139,1.1341,1.2141,2
ACOT11,2.7427,2.4170,1.1286,1.0635,0.5566,0.5563,0.5572,0.5848,0.5723,0.5136,16
ACOT13,0.7238,0.7803,1.3745,1.2764,1.2309,1.1436,1.4415,1.1494,0.5429,0.5284,28
ACOT2,0.4700,0.5161,1.1797,1.2799,1.3135,1.3032,1.5849,1.0133,0.6623,0.7373,3
ACOT4,0.8180,0.8530,1.0818,1.1162,1.0255,0.8924,1.4755,1.3178,0.9768,1.0011,3
ACOT7,1.8592,1.8731,1.1930,1.1934,0.8426,0.8192,0.8695,0.7529,0.5450,0.5236,39
ACOT8,0.3774,0.4413,0.9678,0.8389,1.0154,1.0098,2.1066,1.4208,1.4206,1.2992,23
ACOT9,0.5595,0.5537,1.2137,1.1526,1.3050,1.3033,1.6554,1.4912,0.7119,0.6809,101
ACOX1,0.3960,0.4058,0.9502,0.9452,1.0370,1.0115,2.0413,1.5316,1.3134,1.3562,103
ACOX2,0.8576,0.8911,0.8259,0.9177,1.1227,1.1130,1.8020,1.7155,1.1940,0.9420,1
ACOX3,0.3571,0.4018,0.8803,0.8470,0.9966,0.9846,2.1375,1.6870,1.4571,1.6127,32
ACP1,2.6578,2.5366,1.0460,1.1144,0.6468,0.5829,0.6312,0.5820,0.5416,0.5259,48
ACP2,0.1892,0.2710,0.6817,0.6125,0.8644,0.9014,2.0290,1.6634,2.1916,2.1849,3
ACP5,0.3369,0.3955,1.5543,1.4132,0.7951,0.8045,1.4789,1.2600,1.1356,1.1540,3
ACPP,0.3962,0.4307,0.6869,0.5471,1.0496,1.0790,1.9842,1.6088,1.9521,1.9849,10
ACSF2,0.4495,0.4567,1.3046,1.2829,1.3549,1.3716,1.5632,1.4440,0.5139,0.5008,54
ACSF3,0.4681,0.3983,1.3266,1.2920,1.2828,1.2833,1.6272,1.3960,0.5970,0.5681,36
ACSL1,0.4966,0.5275,0.6125,0.6191,1.2996,1.2599,2.1320,1.6886,1.3646,1.4799,73
ACSL3,0.4371,0.4544,0.4121,0.4456,1.2488,1.3113,2.1369,1.8921,1.8005,1.9043,186
ACSL4,0.6813,0.6594,0.7190,0.7080,1.1827,1.1641,1.7619,1.5658,1.4214,1.5582,277
ACSL5,0.4829,0.4651,0.4857,0.4338,1.2205,1.2748,1.9985,1.7594,1.9339,2.0664,37
ACSM3,0.3318,0.3462,1.3266,1.4309,1.3783,1.3872,1.6244,1.5032,0.5528,0.4823,26
ACSM4,0.3759,0.3756,1.1500,1.2746,1.5193,1.8034,1.6519,1.5690,0.5168,0.4618,2
ACSM5,0.2951,0.4528,1.5537,1.4403,1.2605,1.2742,1.5151,1.1812,0.5242,0.4850,2
ACSS1,0.8063,0.9435,1.4229,1.2930,0.9967,1.0735,1.3198,1.3307,0.5424,0.6098,2
ACSS2,2.7936,2.4017,1.3277,1.1263,0.5392,0.5974,0.4799,0.4601,0.3992,0.4141,25
ACTBL2,1.1724,1.3272,1.1623,1.1718,0.7468,0.8102,0.9349,0.8518,0.9613,0.7060,7
ACTG1,2.0796,2.2776,1.2783,1.3272,0.7544,0.7318,0.5572,0.6863,0.6405,0.6592,8
ACTL6A,1.3034,1.2437,1.1877,1.2513,1.0174,0.9701,0.7690,0.7606,0.9783,1.0251,58
ACTN1,1.6766,1.5937,1.5299,1.4683,0.7283,0.6674,0.6254,0.6047,0.5241,0.5110,474
ACTN2,1.4751,2.1825,1.0726,1.3703,0.8340,0.9075,0.8175,0.7935,0.5954,0.7098,3
ACTN4,1.4712,1.3932,1.5751,1.4756,0.7687,0.7167,0.6638,0.6622,0.5477,0.5254,1126
ACTR10,2.1212,1.9401,1.0533,0.9865,0.7737,0.7713,0.8281,0.7721,0.8125,0.8863,23
ACTR1A,1.9984,1.8397,1.0187,1.0083,0.7897,0.7317,0.7826,0.7262,0.8577,0.9157,51
ACTR1B,2.0744,1.9912,1.0546,0.9739,0.7643,0.7454,0.8488,0.9092,1.0253,0.9218,20
ACTR2,2.1626,2.1444,1.1719,1.1069,0.7095,0.6474,0.6377,0.6216,0.6927,0.6306,223
ACTR3,1.9563,2.0029,1.1604,1.1509,0.7382,0.6940,0.6887,0.6623,0.7505,0.7165,166
ACTR3B,1.5441,1.4914,1.1732,1.1100,0.8629,0.8026,0.9488,0.9401,0.8539,0.7986,9
ACTR5,1.2139,1.1858,0.7695,0.8303,1.0573,1.1307,0.9881,1.0324,1.5367,1.5486,12
ACTR6,0.8956,0.7971,1.1285,1.1185,1.3447,1.3576,1.0102,0.8195,0.9829,0.8590,19
ACTR8,1.0497,0.9711,0.9473,0.9476,1.0846,1.0460,0.8724,0.9063,1.6296,1.5649,23
ACVR1,0.4558,0.6044,0.4411,0.5870,1.2304,1.3383,2.0608,1.8271,1.4733,1.3804,8
ACVR1B,0.5911,0.5372,0.4918,0.4727,1.2162,1.3101,1.7683,1.5863,1.8464,1.8033,9
ACVR2A,0.8629,0.9057,0.3990,0.4798,1.1014,1.1011,1.6165,1.3502,2.0936,2.1803,1
ACY1,2.5108,2.3757,0.9945,1.0409,0.5313,0.4721,0.3442,0.3449,0.5031,0.5210,6
ACY3,2.2446,2.4096,1.4039,1.4704,0.4755,0.4795,0.3628,0.4141,0.6785,0.2832,1
ACYP1,3.5054,3.3603,1.0611,1.0865,0.3174,0.3374,0.2532,0.2250,0.2825,0.2834,10
ACYP2,2.0309,1.7651,1.2626,1.2079,0.8579,0.8050,0.8925,0.8718,0.4904,0.4133,5
ADA,2.1963,2.1147,0.6576,0.7333,0.7687,0.7856,1.0920,0.9492,1.1256,1.2172,39
ADAL,2.9473,2.7708,1.1643,1.1252,0.5166,0.3985,0.4396,0.4066,0.3915,0.3368,8
ADAM10,0.5125,0.5142,0.5118,0.4959,1.4029,1.4471,1.9948,1.7442,1.6153,1.6904,72
ADAM15,0.4359,0.4091,0.4586,0.4308,1.3965,1.4158,1.9060,1.9014,1.6947,1.7392,30
ADAM17,0.4419,0.4066,0.4710,0.4641,1.4272,1.4280,2.0460,1.8727,1.6426,1.7285,73
ADAM22,0.6190,2.0636,0.5281,0.7388,1.0696,1.3278,1.5428,1.5249,1.2982,1.2612,1
ADAM28,0.6128,0.8812,0.8767,0.7948,1.1522,0.9609,1.2596,0.8895,1.5323,1.7537,5
ADAM9,0.3222,0.3494,0.4057,0.3839,1.2411,1.2761,1.9042,1.8015,2.2539,2.3498,89
ADAMTS15,0.7158,0.7627,0.6300,0.6378,1.3819,1.5276,1.3749,1.4926,1.5653,1.6763,1
ADAP1,1.0506,1.0545,1.6764,1.5903,0.8068,0.7258,0.7075,0.6851,0.6124,0.5786,18
ADAR,0.5022,0.4783,0.5057,0.5078,1.5953,1.7399,1.1312,1.1551,2.1051,2.0220,365
ADARB1,0.7021,0.7672,0.7572,0.7048,1.2838,1.3433,1.1191,1.1654,1.8940,1.9168,5
ADAT1,1.6226,1.4835,1.4349,1.2614,0.9397,0.8037,0.6280,0.6033,0.6792,0.5308,7
ADAT2,2.4923,2.4222,1.4221,1.0389,0.5762,0.4589,0.5104,0.5286,0.4504,0.3219,2
ADAT3,1.4179,1.3091,1.5611,1.4317,0.7919,0.7309,0.7477,0.7127,0.6671,0.6173,2
ADC,0.9442,0.7091,1.2714,1.2254,1.1267,1.1638,0.7290,0.8887,1.3730,1.1012,1
ADCK1,0.3083,0.3580,0.6599,0.6076,1.6033,1.6469,2.4231,2.3295,0.8720,0.8492,7
ADCK2,1.0488,1.1680,0.7066,0.8603,1.2430,1.3024,1.5962,1.4556,1.1299,1.0080,1
ADCK3,0.6063,0.5729,0.6627,0.7058,1.4885,1.5471,2.1191,1.8511,0.8991,1.0068,17
ADCK4,0.5585,0.4793,0.6423,0.6831,1.4748,1.4682,2.1862,1.9172,1.0640,1.1773,26
ADCK5,0.9726,1.0033,0.7445,0.7835,1.3480,1.3847,1.8811,2.0032,0.8910,0.8695,5
ADCY3,0.3495,0.3535,0.4845,0.3900,1.4172,1.4038,2.0193,1.9167,1.7467,1.8087,13
ADCY6,0.1692,0.1597,0.2674,0.2455,1.5445,2.0519,2.3325,2.4261,1.7074,1.6564,1
ADCY7,0.5477,0.6541,0.5327,0.5258,1.3913,1.4637,1.8369,1.7838,1.8939,1.7686,10
ADCY9,0.4490,0.3556,0.4060,0.4833,1.6278,1.7828,2.0415,2.0591,1.3901,1.5831,15
ADD1,1.5743,1.5121,1.2137,1.1508,0.9401,0.9393,0.8413,0.8407,0.7643,0.7552,45
ADD3,1.2764,1.1406,1.2563,1.2219,0.9962,1.0402,0.8631,0.9180,0.8279,0.7976,67
ADH5,2.8296,2.6997,1.1164,1.1402,0.5618,0.5067,0.4543,0.4859,0.4504,0.4551,175
ADI1,2.4189,2.3409,1.0013,1.0850,0.6792,0.5923,0.5723,0.5947,0.5523,0.5402,36
ADIPOR1,0.2521,0.3831,0.2922,0.3495,1.5330,1.4599,2.1274,2.2172,1.9200,1.9144,7
ADIPOR2,0.6908,0.5887,0.4018,0.4630,1.2095,1.1638,2.2381,2.2199,1.6716,1.7968,2
ADK,2.7376,2.6820,1.1827,1.1564,0.5266,0.4787,0.4321,0.3937,0.3731,0.3964,120
ADNP,0.4327,0.4635,1.3540,1.3547,1.4093,1.4045,0.9851,0.9855,0.9054,0.8673,106
ADNP2,0.5189,0.4664,1.0713,1.1195,1.6934,1.6968,1.2374,0.9563,0.9178,0.9801,11
ADO,2.5456,2.2283,1.2228,1.1714,0.6921,0.7117,0.6331,0.5703,0.4978,0.5067,14
ADPGK,0.5332,0.5800,0.4930,0.4883,1.2995,1.4011,1.9466,1.7015,1.4816,1.7042,30
ADPRH,2.7393,2.6587,1.0015,0.8171,0.7922,0.4676,0.5619,0.6914,0.9080,0.4545,1
ADPRHL2,1.9041,1.8286,1.1865,1.1666,0.8289,0.7181,0.7795,0.8642,0.6859,0.6991,40
ADRB2,1.0491,0.6192,0.6879,0.7223,1.4607,1.3636,1.4975,1.4931,1.6120,1.4017,2
ADRBK1,2.3880,2.3054,0.9968,1.0145,0.6764,0.7213,0.6458,0.6215,0.6330,0.7350,15
ADRBK2,1.5350,1.2713,0.8525,0.8062,1.1660,1.2594,1.1882,1.1156,1.0353,1.0406,1
ADRM1,1.4411,1.2877,1.2391,1.1709,0.6087,0.6039,0.4878,0.5595,1.4403,1.3843,28
ADSL,2.7744,2.6100,1.1784,1.1561,0.5423,0.5358,0.4892,0.4274,0.4590,0.4771,32
ADSS,2.7411,2.7415,1.0628,1.0496,0.6094,0.5879,0.5278,0.5850,0.5162,0.5402,102
ADSSL1,2.8674,2.6486,1.3030,1.2452,0.4837,0.4062,0.4029,0.3060,0.2364,0.2753,11
AEBP2,1.0121,0.9815,1.6885,1.3819,0.9442,0.9297,0.7617,0.8076,1.0442,0.9925,7
AES,1.8435,1.8282,1.3423,1.4044,0.7673,0.7351,0.7039,0.6319,0.5151,0.5229,2
AFAP1,0.7521,0.6872,1.3994,1.6359,1.0917,1.0504,1.0330,1.1107,1.0309,0.9481,4
AFAP1L1,1.2229,1.4002,1.2770,1.3112,1.0065,0.9120,0.9428,0.8789,0.7735,0.8142,4
AFAP1L2,2.5393,2.2901,1.0307,0.9988,0.7834,0.7905,0.7445,0.6930,0.5407,0.5848,21
AFF1,0.7161,0.6345,1.5350,1.5620,1.1047,1.0942,0.8639,0.9133,0.9370,0.9563,10
AFF4,0.3561,0.4006,1.7888,1.8229,0.9972,0.9223,0.8374,0.7823,0.7823,0.7804,24
AFG3L2,0.3898,0.4077,0.3691,0.3693,1.6908,1.7243,2.6188,2.4600,1.0345,1.1275,170
AFM,1.1795,1.2921,0.6790,0.7914,1.3055,1.6713,0.9717,1.3860,1.1344,1.1331,37
AFMID,2.1468,1.9552,0.8957,0.9413,1.0352,0.9883,0.9573,0.8719,0.6579,0.6752,2
AFP,3.9490,1.3642,0.9370,0.6421,0.6297,0.7112,0.5886,0.6908,0.5997,0.5762,6
AFTPH,1.3967,1.4056,1.3450,1.2525,0.8765,0.7180,0.8262,0.7233,0.7630,0.7315,36
AGA,0.4774,0.5076,0.7933,0.6300,1.0681,1.2462,2.1504,1.7269,1.4469,1.4095,10
AGAP1,0.8044,0.7537,1.2779,1.5704,1.0210,0.9179,0.9879,0.8215,1.0473,1.0536,7
AGAP2,0.9182,0.7464,1.0829,1.2306,1.0853,1.0710,0.9876,0.9895,1.2326,1.2836,5
AGAP3,1.0286,0.9722,1.3807,1.3020,0.9310,1.0029,0.9426,0.9434,0.8454,0.9477,22
AGFG1,1.7405,1.6804,1.2847,1.2566,0.8959,0.8510,0.8662,0.7980,0.5222,0.5129,36
AGFG2,2.6192,1.9145,1.0737,1.0128,0.7520,0.8160,0.7260,0.7340,0.5122,0.6284,3
AGGF1,0.7708,0.8184,1.6630,1.5851,0.9140,0.9284,0.7277,0.7657,0.7784,0.7423,24
AGK,0.3767,0.4298,0.4213,0.4249,1.7580,1.7582,2.6245,2.4412,0.9197,0.9487,108
AGL,1.9599,1.8637,1.0733,1.0658,0.6528,0.6070,0.6321,0.6496,1.0813,1.0369,117
AGMAT,0.3958,0.3867,1.5301,1.4756,1.2168,1.1796,1.4676,1.2667,0.5250,0.4431,8
AGO1,1.0246,1.0022,1.2459,1.2887,0.9141,0.8709,0.8348,0.8844,1.1570,1.1626,24
AGO2,0.9050,0.8813,1.2604,1.3771,0.9498,0.9813,0.9161,0.8436,1.2488,1.1971,42
AGO3,0.9095,0.8268,1.1080,1.1208,0.9758,1.0138,1.0121,0.9269,1.5081,1.4786,17
AGO4,1.4059,1.1757,1.3279,1.1816,0.9635,0.7943,0.7922,0.8065,0.9657,1.0161,2
AGPAT1,0.4201,0.3948,0.3221,0.4206,1.1825,1.2468,2.3203,1.9761,2.1354,2.2245,4
AGPAT2,0.5201,0.5116,0.5940,0.5544,1.3165,1.3402,2.0742,1.7065,1.6247,1.7520,11
AGPAT3,0.6979,0.5506,0.5137,0.4366,1.1967,1.2448,1.9559,1.9014,1.8149,1.9260,7
AGPAT4,0.3549,0.3599,0.4166,0.4419,1.2123,1.3735,2.1726,2.0252,1.8437,2.1619,5
AGPAT5,0.4419,0.4647,0.3609,0.3892,1.4727,1.5464,2.6325,2.2636,1.2703,1.4160,11
AGPAT6,0.5243,0.5946,0.3791,0.4539,1.1383,1.2653,2.1062,1.6480,1.9417,2.2586,10
AGPAT9,0.4124,0.3010,0.3898,0.3775,1.2108,1.3297,2.1326,1.9497,1.9983,2.2518,35
AGPS,0.5646,0.6026,0.5235,0.5451,1.1484,1.1689,2.2448,1.9251,1.5261,1.6168,179
AGR2,0.4965,0.5568,1.4339,1.4124,0.9221,0.8748,1.2063,1.1309,0.9347,0.9305,83
AGRN,0.4705,0.4564,0.9313,0.9400,1.0339,1.0711,1.4071,1.2339,1.7380,1.7057,86
AGT,1.2239,1.5738,0.6477,0.8244,1.2861,1.2982,1.1481,1.2222,1.1987,1.1430,6
AGTPBP1,1.8876,1.7851,0.9071,0.8765,0.9112,0.9843,0.8562,0.8799,0.8243,0.8713,16
AGTRAP,0.3972,0.7580,0.7986,0.7649,1.0841,1.0318,1.4376,1.1967,1.6631,1.5704,4
AHCTF1,0.3158,0.3673,0.3929,0.3952,2.3150,2.5103,1.6477,1.6477,1.1843,1.2726,114
AHCY,2.6814,2.6148,1.1439,1.1419,0.5907,0.5557,0.5096,0.5149,0.4927,0.4839,326
AHCYL1,2.0691,2.0666,1.1276,1.0246,0.7469,0.7599,0.7637,0.8377,0.5803,0.6177,36
AHCYL2,1.8373,1.8095,1.1058,1.1310,0.9376,0.8753,0.7731,0.8372,0.5822,0.6895,15
AHDC1,0.6784,0.9969,0.8711,0.9087,1.1128,1.1450,0.9551,0.9719,1.6053,1.6381,14
AHNAK,0.8401,0.8063,1.4198,1.3977,0.9563,0.9148,1.0356,1.0487,0.8306,0.8743,1852
AHNAK2,0.9436,0.8462,1.4023,1.3762,0.9191,0.8733,1.0195,1.0307,0.8379,0.8888,782
AHR,1.8416,1.7676,1.0400,1.0064,0.9150,0.8580,0.8562,0.8052,0.8083,0.8031,35
AHSA1,2.4902,2.3563,0.8636,0.8193,0.8198,0.8150,0.8083,0.8249,0.6503,0.6889,212
AHSG,2.1099,1.0315,1.1296,1.0588,0.9841,1.0620,0.7263,0.9521,0.6958,0.6872,115
