"","pepNumber","num_NA","s_1","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_17"
"AT3G52930",11,0,0.110227424577611,0.039588056932992,0.0296724800956909,0.0125875557075159,0.0206768375328684,0.0189933951748591,0.0169479808390079,0.0296344831828595,0.062919497278746,0.0827740216783533,0.0740794305744768,0.0726049284859788,0.0822795887227916,0.0164589535190133,0.191071925193477,0.0249653968482722,0.114518043655487
"AT2G31390",9,0,0.0869772050696708,0.0375815424374299,0.0196200402098157,0.011152497432233,0.00902718622016245,0.018565479650205,0.0411640639414122,0.0699111667908189,0.080968605722658,0.0728989477896981,0.0619017738733664,0.0619616054229251,0.083597532668042,0.0176948425479486,0.198508520775978,0.0271128250116206,0.101356164436016
"AT5G38480",8,0,0.0789821340996148,0.0412900689957544,0.0316772323965347,0.0267076063362544,0.0301956850285882,0.0375977838530426,0.0582714549266987,0.068115222156585,0.0695165944709131,0.0602953300893239,0.0522632004296728,0.0388163181487252,0.071565172500065,0.0147636800598608,0.192657120475946,0.0245502079332245,0.102735188099196
"AT4G02520",7,0,0.0486549315993852,0.046013674729966,0.0278288240656916,0.0275174361171149,0.0310241689006387,0.0378558770438979,0.0608573726589121,0.0948956754298169,0.0887963276071296,0.106473807849568,0.0854312311502513,0.078145857435329,0.0508754310183001,0.0185974124428822,0.101309308430078,0.0230151220155812,0.0727075415054576
"AT5G42980",8,0,0.0905192518133271,0.0440653456415086,0.0297288050064661,0.0332766827347581,0.0354443075224079,0.0385973591743847,0.0515989021073304,0.0626931976415437,0.0664015454642913,0.0570585677589416,0.0468824473056571,0.0391226873443563,0.0706638550897446,0.0175345554135679,0.157259191619656,0.0211292627808337,0.138024035581225
"AT1G77120",18,0,0.102270850009616,0.0486231357722238,0.0319090148283682,0.0135884012775537,0.0162769622776153,0.015371837426335,0.0267552549486748,0.0549243061000933,0.0693874361898457,0.0755324494291645,0.0640933039847388,0.0649607699843387,0.0800652422213061,0.0256687229655564,0.123368010984902,0.0332992977382749,0.153905003861392
"AT5G16050",5,0,0.032358452006669,0.0216448258694755,0.00891616362754819,0.0517931540827245,0.0289196705151534,0.0402835685284852,0.109260078409999,0.0538478470994601,0.0542521092041941,0.0524903937008758,0.039790966139628,0.0408523863269314,0.0504068274621557,0.00952885742671816,0.297668692872789,0.0157527633657121,0.0922332433614808
"AT2G36460",11,0,0.0854933377375661,0.0482404025162407,0.0340181849231259,0.0177560805951202,0.017399093889351,0.0135767790051017,0.0165141141901944,0.0315439222491477,0.0522247267274271,0.0706379804511066,0.0692516610674389,0.0640862372484829,0.0869277051878466,0.014829376759296,0.215353130189135,0.023608488748178,0.138538778515241
"AT5G20290",9,0,0.139824366318013,0.0619550977644929,0.0658366076429161,0.0390465206054601,0.0345930932895983,0.0308904516505669,0.0330957591536962,0.0239529327499409,0.0184157023407567,0.0117446448045104,0.0120899248772155,0.0102780300671633,0.107771713589203,0.0473714424436262,0.106941812987965,0.0726213903186511,0.183570509396225
"AT5G19550",20,0,0.0935881237027855,0.0383634154667173,0.0187961324745511,0.0126393400037554,0.0124892958352745,0.0135795930351374,0.0225527373842054,0.0466105784915423,0.069626009638158,0.0708918890892028,0.059863591062968,0.0601051260813514,0.0725762039085172,0.0218186572035628,0.118955080877192,0.0240873359391179,0.243456889805961
"AT1G04410",7,0,0.0864137050910352,0.0347502019062758,0.0226243579878717,0.0214266448585616,0.0165438417666312,0.0213040167770146,0.0363236544177903,0.0631748629708895,0.080653559015571,0.0675889973462288,0.0583126067344296,0.0535135604387436,0.058659495515174,0.0144445883522766,0.228897997772855,0.0225052993046196,0.112862609744031
"COMB_AT1G33120_AT1G33140",7,0,0.0925510470670093,0.0695385827493274,0.0624309829628751,0.0491437692845182,0.0488994755397736,0.0461180027816699,0.0341894453721408,0.0287634286793533,0.0186271461033277,0.0151332694413159,0.0135763640547845,0.0100257121235808,0.0935419912633333,0.0565565078434592,0.0767608754345561,0.118173314560472,0.165970084738503
"AT1G77940",4,0,0.0997157811568385,0.0297109400943249,0.0235813835729594,0.0151410680373019,0.0114847879413177,0.0190201252532238,0.0351997843083014,0.0212763971846499,0.0180551842880956,0.00915972606765868,0.120815895476411,0.0098486162144024,0.0897564196180238,0.0464403108288894,0.114662209816298,0.154490769425838,0.181640600715466
"AT3G55440",11,0,0.11279102869847,0.0360869404113625,0.0176422344223442,0.0121061749442569,0.0192854320166868,0.0261156617831545,0.0533528601953467,0.0593286992562593,0.071204859837519,0.0575016500415048,0.058149164332892,0.0441474295917782,0.0741880168095566,0.0211405021355929,0.153016990390385,0.0278596439082638,0.156082711224626
"AT3G09440",11,0,0.114238469319403,0.0392672572864392,0.0206137904597458,0.032504372136214,0.0213292992223784,0.0212003413698875,0.0343085931732791,0.0369131136560632,0.0474497374786552,0.0424154763176524,0.0359683610121948,0.0290426429091948,0.0841275948179283,0.0741384597408735,0.155360122936058,0.042199995133455,0.168922373030578
"AT3G14990",14,0,0.116523617591408,0.0259361845164834,0.0168356077255724,0.0144174012401601,0.021830067235908,0.0262463583536818,0.0451284412780593,0.0619918996713423,0.063795077542424,0.0568669369263807,0.0496912212320874,0.0425224643196388,0.0722190570223642,0.0128518925738624,0.177700591329413,0.020600551713764,0.17484262972745
"AT4G09000",6,0,0.100514377912726,0.0354395039607898,0.0253620791847792,0.0279094475079901,0.0284931135764772,0.0381664097049115,0.0568398476533995,0.0648218146365241,0.0671157253239506,0.0612595931593813,0.0531254240873086,0.0475158593106151,0.0945738760762923,0.0240930911577508,0.17747916451551,0.0292664725886625,0.0680241996429311
"AT5G09810",6,0,0.0834712122071135,0.070031224033976,0.0515527515599163,0.0368936025120604,0.0385255875281226,0.0414046267031488,0.0328296406139574,0.0460219015601076,0.0477124611627587,0.043654218919924,0.0403117069824032,0.0338226075958316,0.0915537082905286,0.0509797118667986,0.107632068573611,0.126009229879172,0.0575937400105704
"AT5G19510",6,0,0.0915151356412834,0.0406553884410348,0.0190322510288069,0.0152217169051268,0.0124261281122936,0.0327455113114665,0.0383842687782947,0.0672237338067416,0.0910822212635028,0.0811345595098472,0.0750200934865577,0.0741479964619174,0.10993044621485,0.00999684768523324,0.194263573658507,0.0164466035844127,0.0307735241101229
"AT1G07890",13,0,0.0792251472030179,0.0317467026379863,0.0166753704003509,0.0145882250656557,0.0196875386831687,0.0462026082147053,0.0371867658614907,0.0792131593869004,0.0806742035877751,0.0915415990205038,0.067078732765737,0.0675913640279825,0.0715166732559631,0.0170962953706024,0.178565055822033,0.0195530982628805,0.0818574604332467
"AT2G26400",8,0,0.111379804540615,0.0369662099337985,0.0258758180760344,0.0249214848003519,0.0280772205357879,0.0321828056542522,0.0458862155263322,0.063205956876126,0.0700872333541398,0.0292357732286172,0.0497277241084177,0.0458339757185327,0.107244557771602,0.0242327192665198,0.172793890233788,0.0289007017379997,0.103447908637085
"AT1G72370",8,0,0.117222512580998,0.0748797878226164,0.0520926308470459,0.048220080639907,0.0370916135595502,0.0347600721453317,0.0295862959610453,0.0230146773465433,0.0210866080586712,0.0185398725295268,0.0155585783767229,0.016299439893302,0.114273611052583,0.037125334326538,0.154142202180597,0.0750044461951183,0.131102236483903
"AT3G04920",3,0,0.082669259204615,0.0888056180192956,0.0527086079546633,0.0324478619622702,0.0353567426612321,0.0279992576253184,0.0224341292215641,0.0158768289492283,0.0164839128950057,0.0093972057182652,0.00686417661675747,0.00764268938971588,0.102605068580971,0.0425797126946958,0.178616134028181,0.0729203658268373,0.204592428651384
"AT2G30870",7,0,0.102933712053183,0.0392833450798227,0.0196634669722374,0.0104063257232597,0.0197493323003622,0.0258753287176718,0.0482246338310664,0.0671308800900485,0.0707079682771982,0.0719634533960369,0.055708673814401,0.0545377259519931,0.082676683082478,0.0163195194677333,0.158318143286315,0.0188771256351785,0.137623682321014
"AT5G27850",4,0,0.0788779140972527,0.0717744341856585,0.088916699457074,0.0263577263567963,0.0567529988680522,0.0498393435760794,0.0475560599405843,0.0244845845646001,0.0229605003032594,0.0173221395521015,0.010674452083334,0.0134606225102556,0.110274193198699,0.0712732145893998,0.119691253997737,0.137410994716519,0.0523728680025965
"AT1G79550",14,0,0.11269647211508,0.0292140042900995,0.018065111636062,0.0176819376797739,0.0221305317355071,0.0314453516693439,0.0436661549819082,0.0601220621178586,0.0705831784293626,0.0605117128615184,0.051386784407707,0.043362746269801,0.0680046776584652,0.0105958593308567,0.207870333675132,0.0113299147095076,0.141333166432017
"AT3G16420",9,0,0.0352234837737671,0.0460381131465247,0.0410144004410958,0.0337998237989957,0.0397488743449499,0.0401616677364169,0.0562601106678257,0.061951686850962,0.0516316454836861,0.0619566762476438,0.047615302388382,0.0495651104102747,0.0403909931073219,0.104856952125858,0.0492167874311328,0.14610189814878,0.094466473896383
"COMB_AT1G22780_AT1G34030_AT4G09800",5,0,0.0962042160685101,0.0692163755591988,0.0546957892482926,0.0342650457320391,0.032782759217273,0.0320573915436951,0.0256167948309391,0.0234109986242426,0.0187625284723248,0.014282424790031,0.0111205562807762,0.00768167591537387,0.138964986527989,0.0554549687787782,0.164285435729863,0.116289101672883,0.104908951007791
"AT5G20830",32,0,0.141006546888874,0.0473047366948634,0.0310066938010541,0.0135704001956249,0.0135275041180359,0.00858323438210152,0.00843760438243423,0.0115284967121485,0.00929328899053839,0.0145659224902276,0.0246898240751449,0.0434381936962738,0.103952405417764,0.0251120814769647,0.252662854906645,0.036940980118602,0.214379231652703
"AT1G65930",17,0,0.093653214524051,0.0383290057290641,0.022832756917996,0.0184594308264157,0.0198782847058866,0.0124420906191631,0.0266071867178289,0.0525035537906701,0.0694933593904657,0.0705059606914163,0.0654468433114268,0.053457580619258,0.072625550737861,0.0145788964440999,0.206724868688378,0.0170657853989475,0.145395630887071
"AT3G04840",4,0,0.101901179750314,0.0608831692609371,0.0490161968768367,0.0403278812168877,0.0376721454028889,0.0338204047436735,0.0304981903137678,0.0263261525903232,0.0219481683832876,0.0170490530556817,0.0117733456989823,0.0139497391237977,0.136439954440033,0.055603508768498,0.181775129403779,0.0737906038539453,0.107225177116367
"AT3G52580",2,2,0.150209622012355,0.0643808564389034,0.0327586298611739,0.0123235816030688,0.0280420993205788,0.0265128139098568,0.0301616600441088,0.0250621583579947,0,0.0152867723632897,0,0.0122814282654836,0.107014656969267,0.0399187356748222,0.0978581044289485,0.0920171467990767,0.266171733951073
"AT3G52880",18,0,0.109374814247108,0.0305252422890033,0.0219925619221617,0.0160032653062889,0.0173715576500258,0.0260673173617576,0.045363045024419,0.0512238646284618,0.0653194562112388,0.0685231114549598,0.0523858880032546,0.0472538888559009,0.082074332982971,0.0171631508905454,0.202400099293558,0.0178186295299611,0.129139774348385
"AT2G36530",21,0,0.1131927309651,0.0383594032252696,0.0181025551057842,0.0118685636565525,0.0137803976537503,0.0178486453834319,0.0339715440189102,0.0602768444464038,0.0813930235494732,0.0896181526254309,0.074068984422228,0.0619227420446905,0.0818924910681391,0.0108541721167704,0.148422233970754,0.0136398664289437,0.130787649318368
