Protein,FS1 A HCC827-rep1,FS1 B HCC827-rep1,FS2 A HCC827-rep1,FS2 B HCC827-rep1,FP1 A HCC827-rep1,FP1 B HCC827-rep1,FP2 A HCC827-rep1,FP2 B HCC827-rep1,FP3 A HCC827-rep1,FP3 B HCC827-rep1,MIN PSMs for quant
ABHD14B,3.2742,2.7839,0.9753,0.9545,0.6492,0.6254,0.6008,0.6270,0.7148,0.7538,14
ABHD15,1.2740,1.1573,0.4895,0.7447,0.9926,1.2661,1.4607,1.4390,1.2979,1.2982,2
ABHD16A,0.7457,0.7235,0.6674,0.6321,1.1085,1.1722,1.5012,1.4839,1.4346,1.4615,25
ABHD17A,0.6629,0.5858,0.6858,0.6331,1.0150,1.0745,1.3522,1.4230,2.0372,1.6700,2
ABHD17B,0.7430,0.7240,0.5918,0.5157,1.0716,0.9567,1.5264,1.5412,1.5990,1.6174,9
ABHD17C,0.6318,0.8524,0.5487,0.5931,0.9958,1.0173,1.5326,1.5522,2.1611,1.8869,9
ABHD2,0.2594,0.2392,0.3608,0.3653,1.3235,1.1905,2.1027,1.8002,1.5220,1.5867,10
ABHD3,0.6827,0.8828,0.5276,0.6119,1.1591,1.1195,1.5180,1.3623,1.2979,1.2853,6
ABHD4,1.4631,1.3201,1.0136,0.7908,1.0638,1.0736,1.3079,1.0552,0.9183,1.0237,3
ABHD5,1.0753,0.8647,0.8551,0.6725,0.9893,0.9806,1.5796,1.3986,1.2327,1.0518,6
ABHD6,0.3679,0.3710,0.5367,0.4074,1.1929,1.1184,1.9137,1.7168,1.5795,1.6515,14
ABI1,1.7820,1.7520,0.9440,1.0121,0.8314,0.8036,1.0942,1.0764,1.1076,1.0589,33
ABI2,2.1936,1.9029,0.7874,0.8021,0.8018,0.8889,1.0254,1.1235,1.1565,1.1611,11
ABL1,1.8164,1.7817,1.2815,1.2287,0.8230,0.8890,0.7619,0.8566,0.6366,0.7265,12
ABL2,1.9137,1.9837,1.0572,0.9960,0.9522,1.0619,0.8944,0.9146,0.7390,0.7687,23
ABLIM1,1.0683,1.1105,1.2040,1.1764,1.1223,1.0083,1.1688,1.1169,0.6793,0.7702,58
ABLIM3,0.7441,0.7820,0.8777,0.8413,1.4126,1.2198,1.3179,1.3515,0.8716,0.9207,5
ABR,2.3341,2.0997,1.0338,0.9890,0.8307,0.8340,0.9344,0.9051,0.6606,0.6497,93
ABRACL,5.0271,4.8582,1.0924,0.9794,0.6256,0.8316,0.6869,0.9283,0.6914,0.5613,2
ABT1,0.3937,0.4310,0.4621,0.5014,1.8481,1.8745,0.9637,1.1071,1.4001,1.5716,27
ABTB1,1.7077,1.7270,1.1513,1.1282,0.8732,0.8030,0.9555,0.9176,0.8588,0.8313,4
ABTB2,1.9898,1.6339,1.0731,1.1248,0.8603,0.7623,0.9264,0.9556,0.9135,0.8699,13
ACAA1,0.4922,0.5522,0.7002,0.7842,0.9665,0.8891,2.0870,1.6374,1.3044,1.1295,82
ACAA2,0.3539,0.3887,1.0167,1.2445,1.3126,1.1696,1.8541,1.2725,0.5881,0.5518,67
ACACA,2.1687,2.0646,1.0474,0.9781,0.8058,0.8139,0.9380,0.9162,0.8088,0.8189,295
ACAD10,0.5645,0.5687,0.7616,0.8273,1.3491,1.3014,1.8065,1.5247,0.6907,0.7410,83
ACAD11,0.5306,0.5093,0.6027,0.6917,1.0767,1.0002,1.8290,1.6031,1.3182,1.3263,31
ACAD8,0.4690,0.4538,0.9856,1.1270,1.2486,1.1050,1.8706,1.3639,0.6165,0.5860,37
ACAD9,0.4667,0.4761,0.5303,0.5778,1.4203,1.3439,2.0748,1.7892,0.7362,0.8119,264
ACADM,0.5165,0.5464,1.0554,1.2312,1.3081,1.1820,1.7313,1.2693,0.5494,0.5415,164
ACADS,0.5771,0.6208,1.0111,1.2632,1.2971,1.1744,1.7876,1.2806,0.5523,0.5160,47
ACADSB,0.4619,0.4506,0.9980,1.2333,1.2924,1.1842,1.8486,1.3134,0.5538,0.4959,67
ACADVL,0.4494,0.4402,0.7784,0.9268,1.4030,1.3268,1.9160,1.5177,0.6503,0.6930,475
ACAP2,2.8660,2.5417,1.0674,0.9731,0.7346,0.7202,0.7557,0.7449,0.6007,0.6013,66
ACAP3,2.0609,2.2042,0.7600,0.8299,0.9590,1.0393,1.0740,0.9596,0.8082,0.8784,1
ACAT1,0.3595,0.3923,1.0634,1.2464,1.3489,1.1854,1.8843,1.3072,0.5101,0.4658,321
ACAT2,2.8152,2.7410,1.4384,1.3779,0.5600,0.5507,0.6045,0.5247,0.4632,0.4382,67
ACBD3,0.8460,0.8427,1.2997,1.2713,0.9941,1.0223,1.2197,1.1156,0.8513,0.8905,99
ACBD4,0.3825,0.2414,0.3024,0.3080,1.0146,1.0072,2.3616,2.1392,1.4069,1.5334,6
ACBD5,0.4182,0.3793,0.4088,0.3978,1.0474,1.0362,2.2063,2.0069,1.3497,1.3979,101
ACBD6,3.0895,2.8805,1.1395,1.0947,0.5951,0.7209,0.5743,0.5088,0.3064,0.4030,13
ACBD7,3.8710,3.5556,1.0846,1.1032,0.4608,0.4657,0.5110,0.4662,0.3963,0.4018,9
ACD,1.5493,1.2728,1.1636,1.0610,1.2127,1.2466,0.9049,0.8922,0.7242,0.6552,6
ACE,0.3945,0.5801,0.4517,0.4208,1.1690,1.1391,1.7575,1.6122,1.6600,1.6122,3
ACHE,1.0945,1.9909,0.6549,0.8925,0.9182,0.8637,1.3758,1.2214,1.1713,1.3003,1
ACIN1,0.4909,0.4448,0.7203,0.7725,1.8301,1.9670,0.9855,1.0714,1.0611,1.0777,292
ACLY,2.7788,2.5827,1.4688,1.3839,0.5519,0.5493,0.5530,0.5190,0.5702,0.5444,751
ACN9,0.4717,0.4438,1.1192,1.3147,1.2662,1.1764,1.7582,1.2893,0.4811,0.4518,14
ACO1,2.4434,2.2676,1.3797,1.3636,0.6066,0.6334,0.5920,0.6041,0.6429,0.6139,103
ACO2,0.5006,0.5030,1.0855,1.2992,1.2871,1.1678,1.7144,1.2630,0.5510,0.5024,391
ACOT1,0.6925,0.7813,0.9120,1.0755,1.2886,1.0687,1.7144,1.2395,0.6689,0.6546,5
ACOT11,2.9087,2.7382,1.3706,1.3305,0.6160,0.5849,0.5811,0.5919,0.4989,0.4642,23
ACOT13,0.6076,0.6594,0.9722,1.1528,1.3201,1.1681,1.7551,1.3573,0.5732,0.5132,24
ACOT2,0.3316,0.2346,0.9071,1.0805,1.5669,1.2281,2.1208,1.3018,0.5355,0.5715,2
ACOT4,0.8311,1.0289,0.8470,0.8536,1.0469,0.9810,1.4424,1.4965,0.9613,0.9077,4
ACOT7,2.2682,2.0513,1.3045,1.2944,0.8266,0.7630,0.9939,0.8096,0.5309,0.5313,29
ACOT8,0.4333,0.4621,0.6279,0.6384,1.0468,0.9339,2.2023,1.6878,1.3548,1.2689,50
ACOT9,0.4788,0.4772,0.8951,1.0690,1.3324,1.1826,1.8434,1.3858,0.7060,0.6695,137
ACOX1,0.3824,0.4134,0.6787,0.7803,0.9568,0.9092,2.1668,1.7027,1.2884,1.2660,103
ACOX2,0.4928,0.5100,0.6341,0.7654,1.1830,1.2055,1.9166,1.6117,1.1106,1.1254,2
ACOX3,0.3114,0.3361,0.6736,0.7499,0.9578,0.8147,2.3441,1.7514,1.3556,1.2623,44
ACP1,3.1599,2.9486,1.2500,1.2866,0.5402,0.5366,0.5628,0.5309,0.4229,0.3739,56
ACP2,0.5739,0.5120,0.5723,0.6081,0.8685,0.9320,1.8696,1.6937,1.6925,1.7397,6
ACP5,0.5458,0.5082,1.1455,1.2071,0.8800,0.7335,1.8784,1.3542,1.1324,0.9574,8
ACPL2,0.7316,0.8712,0.7762,0.8640,1.0284,1.2211,1.4516,1.3200,1.3066,1.3098,1
ACPP,0.4994,0.5728,0.6198,0.5590,0.9972,0.8743,2.0175,1.6090,1.7153,1.6393,10
ACSF2,0.4320,0.4874,1.0017,1.2081,1.3753,1.2374,1.7796,1.3018,0.5580,0.4886,68
ACSF3,0.5411,0.6001,1.0390,1.1870,1.3108,1.2130,1.6910,1.3375,0.5740,0.6122,50
ACSL1,0.5032,0.5137,0.5602,0.5025,1.2231,1.1923,1.7825,1.7676,1.2446,1.2494,102
ACSL3,0.3976,0.4090,0.4123,0.4029,1.1610,1.1533,1.8749,1.7553,1.6272,1.6458,213
ACSL4,0.6496,0.6176,0.6600,0.6213,1.1362,1.0855,1.6681,1.5760,1.3534,1.4017,329
ACSL5,0.5579,0.4987,0.3932,0.4633,1.1551,1.1515,1.7640,1.6584,1.6703,1.6246,53
ACSM3,0.4029,0.4591,1.0229,1.1757,1.3399,1.2583,1.7859,1.4087,0.4920,0.5253,39
ACSM5,0.5337,0.2865,1.1695,1.3674,1.2544,1.2784,1.6160,1.2872,0.5957,0.4427,2
ACSS1,0.3974,0.4472,0.9601,1.1051,1.2586,1.1518,1.9094,1.5448,0.4467,0.4346,4
ACSS2,3.1546,2.9135,1.5399,1.4673,0.5346,0.4920,0.5046,0.4250,0.3714,0.3622,20
ACTB,1.4901,1.3960,1.9849,1.8546,0.6154,0.5877,0.5462,0.4503,0.9118,0.8817,1
ACTBL2,1.2747,1.3049,1.0599,0.9761,0.8724,0.8611,1.2112,1.0459,0.7429,0.8674,15
ACTG1,2.4559,2.3418,1.6824,1.5813,0.5623,0.5117,0.5782,0.5562,0.5390,0.5054,7
ACTL6A,1.4056,1.3757,1.2475,1.2361,1.0733,1.0809,0.7452,0.7111,1.0054,0.9735,74
ACTN1,1.9859,1.8970,1.7127,1.6167,0.6699,0.6307,0.7099,0.6084,0.5181,0.4891,459
ACTN3,1.4217,5.5679,2.3649,1.0871,1.4042,1.1473,1.1343,0.8168,0.2584,0.6653,1
ACTN4,1.7314,1.7187,1.7554,1.6837,0.7026,0.6414,0.7567,0.6274,0.5274,0.5021,1138
ACTR10,2.2235,2.0021,1.1842,1.1179,0.6860,0.7071,0.8431,0.7823,0.9797,0.9038,27
ACTR1A,2.0030,1.9954,1.1304,1.0375,0.7999,0.7411,0.9013,0.8879,1.0332,0.9908,65
ACTR1B,1.9844,1.8592,1.1325,1.0809,0.7858,0.7236,0.8960,0.8409,1.0688,0.9741,28
ACTR2,2.4249,2.3478,1.3974,1.3380,0.6444,0.6552,0.6526,0.6262,0.6648,0.6318,203
ACTR3,2.3397,2.1952,1.3984,1.3453,0.6567,0.6627,0.6650,0.5967,0.6390,0.6129,161
ACTR3B,1.8532,1.7699,1.4566,1.3824,0.8585,0.7971,0.8403,0.8414,0.6705,0.6742,7
ACTR5,1.0962,1.0710,0.8972,0.9311,1.1763,1.2714,0.8753,0.9206,1.4909,1.4228,25
ACTR6,0.8403,0.8636,1.1408,1.1879,1.3464,1.5011,0.7494,0.8011,0.7465,0.8427,20
ACTR8,0.9827,0.8734,0.9480,0.9189,1.1548,1.1874,0.8907,0.8415,1.5215,1.3091,33
ACVR1,0.3418,0.3555,0.4839,0.3307,1.3700,1.1350,1.9504,1.8046,1.4679,1.3361,8
ACVR1B,0.4602,0.3927,0.3796,0.3589,1.0966,1.0822,2.0464,1.8243,1.7584,1.6752,9
ACY1,2.9604,2.1640,1.2445,1.3229,0.5293,0.4493,0.4082,0.3885,0.2681,0.3128,7
ACY3,2.6541,2.6083,1.5568,1.5446,0.5500,0.6356,0.4189,0.4017,0.5621,0.5924,2
ACYP1,3.8154,3.4095,1.1986,1.3179,0.3980,0.3937,0.3847,0.2776,0.3825,0.3342,11
ACYP2,2.3968,2.6584,1.1873,1.2486,0.7211,0.5595,0.9568,0.7241,0.3937,0.4027,5
ADA,2.2791,2.1492,0.7291,0.6782,0.7468,0.6737,1.1025,1.0848,1.2236,1.2118,52
ADAL,3.3009,2.8364,1.3923,1.3566,0.4864,0.5338,0.5159,0.4779,0.4790,0.2491,9
ADAM10,0.4550,0.3861,0.3930,0.3855,1.2773,1.2044,1.8713,1.8665,1.4674,1.4786,115
ADAM15,0.4479,0.4525,0.3868,0.3808,1.2011,1.2392,1.7259,1.8028,1.6145,1.5779,31
ADAM17,0.4447,0.4517,0.4460,0.4689,1.2782,1.1834,1.8123,1.7781,1.5171,1.5589,81
ADAM19,1.0533,1.0437,0.7531,0.7123,1.0250,1.1165,1.4239,1.4908,1.2316,1.1235,1
ADAM22,0.8669,1.1592,0.6839,0.6635,1.1065,1.1435,1.4563,1.4820,1.2616,1.3274,3
ADAM28,0.7078,0.5317,0.6228,0.6977,1.0801,1.0007,1.5814,1.4985,1.3208,1.4655,7
ADAM9,0.2964,0.2513,0.3256,0.3233,1.1137,1.1061,1.6586,1.7150,2.2447,2.0098,108
ADAMTS15,0.5801,0.3878,0.5071,0.3169,1.3249,1.1001,1.4844,1.1526,2.4914,2.0432,1
ADAMTS9,0.3547,0.3284,1.2895,1.0438,1.1195,1.1972,1.2403,0.9142,1.4615,1.6193,1
ADAP1,1.2257,1.2791,1.7794,1.6700,0.7390,0.7190,0.7820,0.7715,0.6601,0.6531,24
ADAP2,1.2743,1.0861,1.0360,1.0072,0.8845,0.8998,1.3047,1.1655,1.1846,1.1507,1
ADAR,0.4866,0.5114,0.4799,0.4662,1.6615,1.7260,0.9031,1.0111,1.8013,1.8676,410
ADARB1,0.7601,0.5462,0.7273,0.5845,1.3137,1.3792,1.0590,1.0721,1.9629,1.8028,9
ADAT1,1.9815,1.8657,1.5980,1.5286,0.6827,0.7055,0.5547,0.6246,0.6408,0.6343,10
ADAT2,3.6029,3.0545,1.5269,1.4326,0.4548,0.4341,0.3163,0.2948,0.4198,0.3968,2
ADCK1,0.7077,0.7143,0.4921,0.6222,1.4494,1.2006,1.9549,2.0482,0.7500,0.6979,10
ADCK2,0.9588,1.0094,0.7823,0.6878,1.1054,1.2036,1.4906,1.4028,1.1068,1.1541,1
ADCK3,0.7314,0.6999,0.6790,0.6678,1.3161,1.3255,1.7763,1.4979,0.8746,0.8033,19
ADCK4,0.4691,0.5258,0.4847,0.5201,1.4040,1.3782,1.8027,1.6626,0.8403,1.0320,30
ADCK5,0.4635,0.6227,0.5732,0.6410,1.3286,1.4182,2.0543,1.8650,0.7448,0.8512,14
ADCY3,0.4682,0.3502,0.4610,0.5619,1.1851,1.1718,1.6053,1.7636,1.7082,1.6674,19
ADCY6,0.2929,0.1946,0.3049,0.2572,1.4236,1.3066,1.9963,2.1618,1.2353,1.4290,1
ADCY7,0.5084,0.5237,0.4644,0.4407,1.2604,1.2463,1.7098,1.6969,1.4905,1.5290,20
ADCY9,0.3681,0.3867,0.3546,0.3773,1.4354,1.2917,1.8787,2.0497,1.2835,1.3936,33
ADD1,1.5349,1.5145,1.2666,1.2783,0.9081,0.8967,0.8828,0.9003,0.7611,0.7165,61
ADD3,1.3309,1.1888,1.3038,1.3661,0.9633,0.9650,0.9623,0.9183,0.7983,0.7947,77
ADH1C,2.6120,2.4290,1.2242,1.2795,0.7034,0.7008,0.7545,0.7020,0.5485,0.5517,1
ADH5,3.4595,3.0317,1.4130,1.3665,0.4520,0.4690,0.4378,0.4009,0.4282,0.4153,205
ADI1,2.9267,2.6649,1.1704,1.2524,0.5284,0.5024,0.5669,0.4810,0.5622,0.4548,42
ADIPOR1,0.2089,0.2296,0.2098,0.1941,1.1995,1.2857,2.0475,1.9480,1.7471,1.9562,4
ADIPOR2,0.2017,0.2173,0.3437,0.3775,1.2458,1.2145,2.0088,1.6234,1.9733,1.9036,3
ADK,3.6344,3.3039,1.4921,1.4058,0.4105,0.4213,0.3797,0.3436,0.3185,0.3031,114
ADNP,0.4824,0.4653,1.2861,1.2918,1.4694,1.6773,0.8234,0.8960,0.7989,0.8495,122
ADNP2,0.6660,0.5022,0.9119,0.8836,1.6244,1.6715,0.9278,1.0218,0.7976,0.8568,12
ADO,2.3138,2.4130,1.2406,1.2179,0.7922,0.7726,0.8022,0.7166,0.5686,0.4827,15
ADORA1,0.2491,0.1838,0.1998,0.1757,1.3998,1.2452,1.9402,2.0818,1.7333,1.6495,1
ADPGK,0.6189,0.5855,0.5045,0.4787,1.2395,1.1617,1.9303,1.5745,1.5875,1.5392,28
ADPRHL2,2.2177,2.0098,1.2948,1.2653,0.7762,0.7648,0.8136,0.7730,0.6335,0.6617,55
ADPRM,1.5897,1.4660,1.2772,1.1153,0.9317,0.8806,1.1316,0.9035,0.7956,0.8714,1
ADRB2,0.5705,0.7409,0.6945,0.6541,1.1885,1.3246,1.5518,1.5839,1.0779,1.2278,3
ADRBK1,2.4964,2.2020,1.1718,1.1762,0.7313,0.6993,0.6868,0.6764,0.7105,0.7214,19
ADRM1,1.5883,1.5918,1.2614,1.1425,0.7140,0.6929,0.7270,0.6687,1.5875,1.5312,29
ADSL,3.3682,3.1582,1.3849,1.3019,0.4821,0.4919,0.4575,0.4300,0.4022,0.4312,50
ADSS,3.1684,2.9209,1.3918,1.2838,0.5510,0.5364,0.5419,0.5122,0.4653,0.4262,110
ADSSL1,3.1011,2.5507,1.7728,1.5864,0.5023,0.4984,0.3849,0.3907,0.3430,0.3776,10
AEBP2,0.5100,0.5110,1.2364,1.3292,1.1137,1.2580,0.8885,0.6984,1.4879,0.9895,6
AEN,0.6113,0.3468,0.4847,0.5409,1.4771,1.7358,1.3958,1.1944,1.4101,1.6341,2
AES,0.6342,0.7399,1.2422,1.2747,1.2579,1.2338,1.0369,1.2971,0.6263,0.9196,2
AFAP1,0.5616,0.6792,1.4410,1.2069,1.1868,1.0306,1.1280,1.0346,1.0398,1.0161,12
AFAP1L1,0.8604,0.9110,1.2985,1.6440,1.2248,0.9458,0.8891,0.9492,0.7675,0.8034,3
AFAP1L2,2.8114,2.3669,1.0904,1.1427,0.7982,0.8165,0.8004,0.7520,0.5175,0.5182,29
AFF1,0.4304,0.4325,1.5090,1.2983,1.0159,1.1875,0.8780,0.9566,1.0445,0.9954,12
AFF4,0.3812,0.3789,2.0837,1.8933,0.9373,1.0314,0.7080,0.8337,0.8136,0.8088,32
AFG3L2,0.4107,0.3609,0.3352,0.3341,1.4597,1.4579,2.2053,2.0472,0.7769,0.9164,221
AFM,1.5268,2.0278,0.8477,0.9141,0.8076,0.9739,0.9043,0.9124,1.2216,1.4398,15
AFMID,2.3718,2.2030,0.9968,1.1183,0.7724,0.8862,1.0235,0.8759,0.5504,0.4313,3
AFP,4.6311,3.7689,0.7988,0.8418,0.4975,0.5200,0.4834,0.4159,0.4496,0.4505,9
AFTPH,1.6126,1.5756,1.4576,1.4054,0.7782,0.7590,0.8544,0.8112,0.7954,0.7303,28
AGA,0.4351,0.3988,0.7006,0.5459,0.9322,0.8615,2.7504,1.7842,1.3520,1.1842,15
AGAP1,0.7330,0.7991,1.4097,1.3500,0.8919,1.0521,0.8692,0.9715,1.0532,1.0319,23
AGAP2,1.0740,0.9303,1.1378,1.1624,0.9515,0.9923,1.0345,1.0356,0.9912,1.1528,8
AGAP3,1.0386,0.9459,1.4276,1.4402,0.9778,1.0121,1.0622,1.0034,0.6830,0.8529,22
AGFG1,1.9601,1.8236,1.4066,1.3490,0.8387,0.8428,0.8522,0.8679,0.4733,0.5043,35
AGFG2,1.8691,2.0685,1.0676,1.0515,0.9783,1.0001,0.8709,0.8357,0.5910,0.8167,7
AGGF1,0.9470,0.8584,1.7477,1.8269,0.8493,0.8574,0.7293,0.7536,0.7699,0.7530,27
AGK,0.2788,0.2784,0.3256,0.3199,1.5324,1.5361,2.2493,2.1037,0.7588,0.8273,146
AGL,2.1445,1.9958,1.1687,1.1209,0.5715,0.5695,0.6951,0.6127,1.4987,1.1987,132
AGMAT,0.4678,0.3872,0.9481,1.2381,1.2577,1.1852,1.7686,1.3203,0.6164,0.5139,16
AGO1,0.9744,1.0189,1.4369,1.4068,0.8649,0.8422,0.7535,0.8011,1.3077,1.1471,24
AGO2,0.9466,0.9808,1.3683,1.3012,0.8912,0.9365,0.8288,0.8509,1.4119,1.2730,49
AGO3,0.8073,0.7640,1.1170,1.0489,0.9068,0.9864,1.0338,0.9832,1.7645,1.5168,19
AGO4,1.1540,1.1067,1.2244,1.1091,0.9674,0.9368,1.1684,0.9788,1.1592,1.0467,2
AGPAT1,0.6293,0.5882,0.4699,0.4825,1.1841,1.2152,1.7018,1.5670,1.6619,1.6307,7
AGPAT2,0.4606,0.5012,0.4084,0.4455,1.1499,1.0933,1.9141,1.6485,1.4073,1.7746,13
AGPAT3,0.2860,0.3011,0.3384,0.3143,1.2667,1.1891,2.0639,1.8628,1.6892,1.6365,14
AGPAT4,0.4482,0.4520,0.4869,0.5102,1.2228,1.1936,1.7922,1.6238,1.6415,1.6963,13
AGPAT5,0.2654,0.3693,0.3015,0.3041,1.3962,1.3635,2.2065,2.0354,1.1322,1.1401,20
AGPAT6,0.7842,0.6411,0.5804,0.4787,1.0918,1.0757,1.6147,1.6234,1.5914,1.6371,14
AGPAT9,0.3051,0.2781,0.3331,0.3693,1.1819,1.1231,1.9332,1.7946,1.8038,1.8827,38
AGPS,0.5122,0.5572,0.4653,0.4634,1.0409,0.9912,2.1830,1.9050,1.3437,1.3354,231
AGR2,0.4632,0.4883,1.2930,1.4270,0.8468,0.7991,1.6338,1.1685,1.0940,0.9563,85
AGRN,0.4736,0.4098,0.7943,0.8479,0.9860,0.9876,1.5495,1.3015,1.7622,1.6861,104
AGT,1.6346,1.8172,0.9850,0.9205,0.8385,0.9444,1.0194,0.7913,1.1763,1.3361,6
AGTPBP1,2.1578,1.8967,1.0485,0.9647,0.8520,0.9603,0.9279,0.8626,0.8394,0.7801,18
AGTRAP,0.7665,0.7477,0.6428,0.6914,0.8608,0.9389,1.6337,1.4366,1.9214,1.7054,5
AHCTF1,0.4082,0.3903,0.3306,0.3354,2.1109,2.3651,1.0765,1.2829,0.8966,0.9824,161
