Protein,FS1 A HCC827-rep1,FS1 B HCC827-rep1,FS2 A HCC827-rep1,FS2 B HCC827-rep1,FP1 A HCC827-rep1,FP1 B HCC827-rep1,FP2 A HCC827-rep1,FP2 B HCC827-rep1,FP3 A HCC827-rep1,FP3 B HCC827-rep1,MIN PSMs for quant
A1BG,1.6729,1.7782,1.0613,1.0503,0.8915,0.9168,0.8605,0.7937,1.1117,1.2652,23
A2M,3.5285,3.0807,0.8041,0.7711,0.6452,0.7101,0.7211,0.6711,0.6294,0.5657,19
A2ML1,0.7755,0.8991,0.6663,0.6365,1.4852,2.0457,1.2608,0.8260,1.0550,1.0911,2
A4GALT,0.3952,0.5322,0.4143,0.3502,1.0845,0.9450,2.0573,1.8764,1.7899,1.5942,2
AAAS,0.5542,0.6483,0.4273,0.4952,1.4600,1.4631,1.6210,1.5436,1.2568,1.2910,43
AACS,3.5568,3.2367,1.3193,1.2530,0.4875,0.4828,0.4563,0.4519,0.4024,0.4077,60
AADAT,0.5845,0.4552,0.8461,0.9607,1.2926,1.2117,1.7398,1.5256,0.8613,0.7747,1
AAED1,1.0106,0.8261,0.8688,0.7723,1.2345,1.1556,1.4827,1.2364,0.9703,1.0170,8
AAGAB,2.1923,2.4373,1.1639,1.1514,0.7410,0.8142,0.7412,0.6820,0.6243,0.7018,5
AAK1,2.5549,2.3112,1.0913,1.1020,0.7669,0.8147,0.8094,0.8205,0.6154,0.6228,38
AAMDC,2.9125,2.9884,1.3006,1.2956,0.5992,0.6733,0.5735,0.5429,0.4964,0.4172,15
AAMP,3.3740,3.0250,1.3270,1.2895,0.5351,0.5226,0.4624,0.5063,0.5881,0.4995,20
AAR2,1.6705,1.4237,1.3399,1.1965,0.8329,0.8154,0.7648,0.7671,1.2139,1.1002,27
AARS,3.2480,3.0285,1.3432,1.2670,0.5275,0.5290,0.5169,0.4929,0.4558,0.4380,538
AARS2,0.5762,0.6274,0.9024,1.0336,1.3321,1.2346,1.8279,1.4012,0.6688,0.6393,73
AARSD1,1.1351,0.9804,3.1712,1.6654,0.5426,0.3400,0.2991,0.2511,0.1266,0.1809,4
AASDH,2.0494,1.9796,1.5175,1.4193,0.7960,0.9853,0.7200,0.7202,0.4289,0.5079,8
AASDHPPT,2.7732,2.6362,1.2889,1.1971,0.6271,0.6498,0.6245,0.6438,0.5036,0.4481,51
AASS,0.5537,0.5736,0.9616,1.1483,1.3360,1.1520,1.8107,1.3179,0.5596,0.6328,21
AATF,0.4670,0.4854,0.4650,0.4676,1.7742,1.9178,0.8865,1.0433,1.4279,1.7242,91
ABAT,0.6840,0.7868,0.9477,1.1385,1.3001,1.1911,1.6090,1.3719,0.6736,0.6424,14
ABCA1,0.5877,0.4875,0.4809,0.3941,1.1787,1.0876,1.7316,1.6899,1.5319,1.5710,31
ABCA12,0.3956,0.4046,0.3622,0.3407,1.0745,1.0730,1.5765,1.6519,2.2282,2.1143,53
ABCA2,0.5304,0.5635,0.6264,0.6522,1.0864,0.9966,1.5165,1.3953,1.8693,1.7954,16
ABCA3,0.5714,0.6304,0.5044,0.4451,0.9706,0.9508,1.7967,1.6444,1.7322,1.7036,23
ABCA7,0.5678,0.4918,0.4774,0.4649,1.2005,1.1475,1.6360,1.7304,1.4624,1.4720,11
ABCB1,0.3782,0.3901,0.7734,0.5534,1.0232,1.2028,1.2982,1.3802,2.0782,1.9494,3
ABCB10,0.5280,0.5075,0.5329,0.5388,1.3848,1.3623,2.1293,1.8827,0.7182,0.8469,30
ABCB6,0.4465,0.3921,0.3953,0.3973,0.9560,0.9601,2.3257,1.7533,1.7269,1.7008,25
ABCB7,0.5392,0.5224,0.4851,0.4736,1.3771,1.3446,2.0857,1.8302,0.7863,0.9672,57
ABCB8,0.4756,0.4101,0.4669,0.4572,1.4423,1.4437,2.0659,1.9811,0.7763,0.8603,24
ABCB9,0.2470,0.2066,0.0804,0.1098,0.9507,0.9799,2.3567,1.9961,2.1417,2.1400,4
ABCC1,0.5049,0.4893,0.4247,0.4251,1.5241,1.3932,1.8436,2.0022,0.9935,1.0839,106
ABCC10,0.4201,0.4429,0.4351,0.4887,0.9649,0.8595,2.1527,1.7788,1.6481,1.6764,10
ABCC2,0.4243,0.3657,0.4048,0.3606,1.0304,1.0475,1.5197,1.6486,2.5264,2.1451,45
ABCC3,0.5457,0.5981,0.5189,0.4734,1.3798,1.2179,1.7342,1.8756,1.0983,1.1742,70
ABCC4,0.4474,0.4255,0.4343,0.4029,1.4209,1.3323,1.7019,1.9744,1.1557,1.2135,58
ABCC5,0.4698,0.5099,0.5039,0.5360,1.3457,1.2604,1.7392,1.7170,1.3460,1.4212,29
ABCD1,0.5873,0.4491,0.4174,0.4662,1.0886,1.0007,1.9639,1.8804,1.4991,1.5746,10
ABCD3,0.5277,0.4806,0.4103,0.3687,1.0828,1.0478,2.1511,1.9621,1.4310,1.4448,185
ABCD4,0.5051,0.3784,0.3248,0.3704,1.0713,1.0470,1.9699,1.7500,1.9044,1.8293,9
ABCE1,2.6237,2.5210,1.2501,1.1906,0.6769,0.6696,0.7023,0.6472,0.5968,0.6037,220
ABCF1,1.6777,1.6454,1.4005,1.2706,0.7950,0.8275,0.7447,0.6994,1.0610,0.9209,132
ABCF2,1.2446,1.3747,1.8100,1.5035,0.8137,0.8185,0.7541,0.7251,0.8097,0.7338,124
ABCF3,2.6001,2.4720,1.1167,1.0490,0.7858,0.8422,0.7706,0.7415,0.5136,0.5469,59
ABCG2,0.4807,0.5406,0.4814,0.4342,1.0897,1.0617,1.4609,1.5038,2.2431,2.0692,12
ABHD10,0.4775,0.4763,1.0096,1.2455,1.2852,1.1411,1.6749,1.2599,0.6520,0.6236,86
ABHD11,0.5173,0.5306,0.8323,0.9474,1.3813,1.2890,1.9292,1.4125,0.6363,0.6705,82
ABHD12,0.4416,0.4897,0.4723,0.4605,1.2055,1.1909,1.8120,1.7047,1.5888,1.6409,34
ABHD13,1.8450,1.6175,1.0864,0.8909,0.9202,0.7585,0.7856,0.8458,1.3978,1.4263,2
